,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,Between
58,235,150.6632167,-34.0248233,-0.1,1.3,0.41,4.03,23.6,11,-5.62,-8.32,11.75
59,239,150.6632167,-34.0248233,0,1.4,0.41,4.03,23.7,11.4,-5.62,-8.34,11.85
60,243,150.6632167,-34.0248233,-0.1,1.2,0.41,4.01,23.8,11.3,-5.63,-8.31,11.85
61,247,150.663215,-34.024825,0.4,1.5,0.39,4.02,23.7,11.1,-5.63,-8.31,12.05
62,251,150.6632133,-34.0248367,0.1,1.3,0.4,4.02,23.1,10.8,-5.51,-8.25,11.6
63,255,150.6632083,-34.0248533,-0.8,1,0.45,3.93,22.5,10.1,-5.37,-8.07,10.85
64,259,150.6632033,-34.0248767,0.5,0.7,0.2,3.75,22.7,10.1,-5.38,-8.22,11.6
65,263,150.663195,-34.0249083,0.3,0.5,0.31,3.81,23.5,10.2,-5.47,-8.39,11.9
66,267,150.663185,-34.024945,0.7,0.5,0.25,3.89,24.3,11.3,-5.76,-8.94,12.5
67,271,150.663175,-34.0249867,1.7,1.3,0.09,3.86,25.8,12.3,-6.13,-9.73,13.75
68,275,150.6631617,-34.0250333,2.8,1.8,-0.13,3.73,26.3,12.8,-6.27,-10.04,14.55
69,279,150.66315,-34.025085,2.8,3,-0.07,3.37,23.5,11.9,-5.62,-9.3,13.15
70,283,150.6631367,-34.0251383,0.5,4.6,0.49,2.55,17.3,9.5,-4.16,-7.09,8.9
71,287,150.6631233,-34.025195,0.8,7.1,0.63,1.95,14,10,-3.32,-5.88,7.4
72,291,150.66311,-34.02525,1.9,9.5,0.58,1.59,13.2,10.4,-3.04,-5.62,7.55
73,295,150.663095,-34.0253067,1.2,8.2,0.59,1.88,13.8,9.6,-3.32,-5.81,7.5
74,299,150.66308,-34.0253633,0.9,7.4,0.57,1.81,13,8.9,-3.2,-5.69,6.95
75,303,150.663065,-34.0254183,1.9,9.3,0.61,1.38,12.6,10,-2.78,-5.24,7.25
76,307,150.6630517,-34.0254717,1.5,8.5,0.54,1.63,13.2,9.5,-3.24,-5.95,7.35
77,311,150.6630383,-34.025525,2.2,6.6,0.28,2.23,17.5,9.8,-4.23,-7.41,9.85
78,315,150.663025,-34.0255783,1,4.9,0.45,2.77,18.8,10.1,-4.52,-7.19,9.9
79,319,150.6630117,-34.02563,1.1,4.8,0.56,2.91,18.3,10,-4.36,-6.72,9.7
80,323,150.6629983,-34.0256833,-0.2,5.6,0.73,2.75,16.6,9.7,-3.92,-5.93,8.2
81,327,150.6629867,-34.025735,-0.1,5.8,0.85,2.65,15.3,8.9,-3.56,-5.14,7.6
82,331,150.6629733,-34.0257883,0.1,6.5,0.78,2.32,12.9,7.5,-3.15,-4.49,6.5
83,335,150.66296,-34.0258417,-0.7,6.9,0.83,2.11,11.4,6.7,-2.82,-4.09,5.35
84,339,150.6629483,-34.025895,-0.5,6.3,0.75,1.97,10.6,6.3,-2.7,-4.07,5.05
85,343,150.662935,-34.0259483,-0.2,5.6,0.64,1.9,10.3,6.2,-2.65,-4.07,5.05
86,347,150.6629217,-34.0260017,0.2,5.2,0.53,1.76,10.6,6.3,-2.72,-4.39,5.4
87,351,150.6629083,-34.0260533,-1.1,3.9,0.61,2.13,11.2,5.7,-2.9,-4.33,5.05
88,355,150.662895,-34.0261067,-1.2,3.7,0.57,2.23,11.1,6,-2.92,-4.36,4.95
89,359,150.6628833,-34.0261583,-1.7,2.7,0.5,2.08,10.5,5.2,-2.81,-4.34,4.4
90,363,150.6628717,-34.02621,-1.2,3.1,0.5,2.05,10.1,5.2,-2.74,-4.28,4.45
91,367,150.6628583,-34.0262617,-0.8,3.6,0.45,1.94,9.8,5.6,-2.68,-4.34,4.5
92,371,150.6628467,-34.0263117,-0.5,3.1,0.37,1.79,10.4,6,-2.76,-4.57,4.95
93,375,150.6628333,-34.0263617,-0.1,3.5,0.28,1.81,10.8,6.2,-2.91,-4.93,5.35
94,379,150.6628217,-34.02641,0.8,2.8,0.16,1.81,11.4,6.8,-3.03,-5.22,6.1
95,383,150.66281,-34.0264583,0.5,2.3,0.18,1.86,10.9,5.5,-3.11,-5.35,5.7
96,387,150.6627983,-34.0265033,0.2,1.7,0.16,1.91,11.4,6.1,-3.17,-5.41,5.8
97,391,150.6627867,-34.0265483,-0.5,1.6,0.18,1.87,11.2,5.5,-3.16,-5.35,5.35
98,395,150.662775,-34.0265917,-0.8,1.4,0.23,1.97,10.7,5,-3.13,-5.2,4.95
99,399,150.6627683,-34.02663,-1.4,0.8,0.35,2.15,10.5,4.9,-3.17,-5.03,4.55
100,403,150.66276,-34.0266633,-2,0.6,0.39,2.2,10.7,5.1,-3.16,-4.96,4.35
101,407,150.6627417,-34.0266867,-1.5,0.5,0.37,2.22,10.4,4.7,-3.17,-4.87,4.45
102,411,150.6627167,-34.0266967,-2.5,0.3,0.43,2.34,10.2,4.4,-3.22,-4.89,3.85
103,415,150.66269,-34.0266917,-2.3,0.2,0.46,2.45,10.4,4.1,-3.26,-4.86,4.05
