Lat,Lon,ID,Conductivity,Quadrature
-34.02483843,150.66320072,13,7.85305563888889,-1.15416666388889
-34.02487523,150.66319272,14,7.34777780555556,-1.26222221944445
-34.02491886,150.66318062,15,6.77388894444444,-1.33916666666667
-34.02497309,150.66316427,16,6.1575,-1.45777777777778
-34.02503422,150.66314794,17,6.03527769444444,-1.58305555555556
-34.02526297,150.66308534,18,6.06249988888889,-1.61027777777778
-34.02532965,150.66306913,19,6.013611,-1.677222225
-34.02539378,150.66305357,22,6.07138875,-1.66750000555556
-34.02545794,150.66303628,23,6.20361097222222,-1.69500000277778
-34.02552398,150.66302078,24,6.32944433333333,-1.69000000277778
-34.02562264,150.66299956,25,6.33444438888889,-1.58333333055556
-34.02568809,150.66298563,26,6.19888894444444,-1.61305555
-34.02575529,150.66297107,27,6.36555563888889,-1.56527777222222
-34.02582064,150.66295757,28,6.47805563888889,-1.54361110277778
-34.02588459,150.66294069,29,6.4794445,-1.50472221666667
-34.02594701,150.66292264,30,6.47111116666667,-1.48694444027778
-34.02614927,150.66287209,31,6.60500002777778,-1.36583333472222
-34.02620016,150.66286442,32,6.81805547222222,-1.28250000341667
-34.02624986,150.66285194,35,6.74638877777778,-1.30805555619445
-34.02630006,150.66284201,36,6.75611108333333,-1.37444444508333
-34.02634868,150.66283453,37,6.77805555555556,-1.38777777841667
-34.02639423,150.66282397,38,6.74444444444444,-1.39638888813889
-34.02644076,150.66281335,39,6.75472222222222,-1.55333333536111
-34.0265114,150.66279299,40,6.72444447222223,-1.56750000555555
-34.02655701,150.66277902,41,6.78166669444444,-1.59750000555556
-34.02660604,150.66276412,42,6.75722216666667,-1.59500000555556
-34.02665624,150.66274998,43,6.68027769444445,-1.55361111388889
-34.02670161,150.66273956,44,6.68666661111111,-1.54583333611111
-34.02674036,150.66272636,45,6.63833327777778,-1.46638889166667
-34.02675782,150.66269172,46,6.55861102777778,-1.50361111111111
-34.02672547,150.6626396,47,6.52027766666667,-1.49805555277778
-34.02667658,150.66263954,48,6.48888877777778,-1.41555555555556
-34.02662446,150.66265996,49,6.56388883333333,-1.39444445
-34.02657405,150.66268642,50,7.04388875,-1.234722225
-34.02652454,150.66270826,51,7.31527763888889,-1.26777777777778
-34.02647691,150.66272034,52,8.06805547222222,-1.08472222222222
-34.02642669,150.66273455,53,8.47472211111111,-0.969722221840962
-34.02637779,150.66274885,54,8.93694427777778,-0.863333330174297
-34.02632957,150.66276299,55,9.48027758333333,-0.710555544063186
-34.02624984,150.66278997,56,9.5991665,-0.691666657952076
-34.02616666,150.66281752,57,10.0930553888889,-0.531944435729854
-34.02611092,150.66283343,59,10.0869442777778,-0.54222221350763
-34.02605849,150.66284943,60,10.4852776666667,-0.437777771944444
-34.02600365,150.66286395,61,10.9991666388889,-0.3238888825
-34.02595138,150.66287611,62,12.0155555277778,-0.037222221111111
-34.02587266,150.66289887,63,12.1483333333334,0.034444448055555
-34.02581734,150.66291417,64,12.0572222222222,0.079722221944444
-34.02576353,150.66292838,65,12.3769444444445,0.164999999722223
-34.02571008,150.6629406,66,12.2597222222222,0.114166671666666
-34.02566024,150.66295194,67,11.9236111111111,0.048055559999999
-34.02561177,150.66296307,68,11.3013888888889,-0.095277773611112
-34.0255619,150.66297547,69,11.6586111111111,-0.037499995555555
-34.02550946,150.66299018,70,11.6188888888889,-0.098888875
-34.02543006,150.66300852,71,11.3294444444445,-0.096111096666665
-34.02537582,150.66302025,72,11.4913888888889,0.08972223111111
-34.02532395,150.66303279,73,11.6655555555556,0.13361112010348
-34.02527172,150.6630441,74,11.3944444444445,0.024722230659036
-34.02522024,150.66305681,75,10.7949999444444,-0.051944438785409
-34.02517243,150.66307298,76,10.5466665277778,0.023055555659035
-34.02512313,150.66308974,77,10.24138875,0.002222224547924
-34.02504577,150.66310829,78,9.78777758333333,-0.157222217118741
-34.02499771,150.66311917,79,9.29694422222222,-0.164444439999999
-34.02494878,150.66313098,80,9.23666644444445,-0.178333322777778
-34.02490385,150.66314157,81,9.15666647222222,-0.209999989444445
-34.02485778,150.66315081,82,8.84388886111111,-0.358055547777778
-34.02478683,150.66316755,83,8.38749997222222,-0.434166658888888
-34.02473821,150.66317473,84,8.33361111111111,-0.434999994999999
-34.02470654,150.66315365,85,8.40388883333334,-0.382222219444445
-34.02470817,150.66310485,86,8.52249994444445,-0.297500002777778
-34.0247448,150.66307091,87,8.74999991666667,-0.273055563611111
-34.02479603,150.66305938,88,9.23749988888889,-0.084166680277778
-34.02485203,150.66304667,89,9.29194433333333,-0.087777794166667
-34.02491166,150.66303594,90,9.68249994444444,0.04305554
-34.02497855,150.66302177,91,10.2941666944445,0.110277767777777
-34.02502074,150.66301224,92,10.4350000277778,0.163888881666666
-34.02506984,150.66300155,93,10.91666675,0.1691666625
-34.02512772,150.66299142,94,11.32222225,0.184166673611112
-34.02518827,150.66297849,95,12.0683333611111,0.394722231944444
-34.02525269,150.66296471,96,12.0652777777778,0.413611120000001
-34.02531528,150.66295082,97,12.0886111111111,0.483888897777776
-34.0254115,150.66293284,98,12.0613888888889,0.487777781111111
-34.02547351,150.66291896,99,11.9280555555556,0.646666672222223
-34.0255318,150.66290549,100,11.9691666666667,0.649444447222222
-34.02559098,150.66289142,101,12.1008333333333,0.655000003055557
-34.02565116,150.66287913,102,12.3230555555555,0.701944444722222
-34.02570847,150.66286268,103,12.1466666666667,0.670277775277778
-34.02577277,150.6628466,104,11.9441666666667,0.706666666944444
-34.02583554,150.66283148,105,11.9669444444444,0.6947222225
