,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,smooth
615,2463,150.662495,-34.0248017,4,0.9,0.01,3.56,21.6,9.9,-4.77,-7.3,3.96
616,2467,150.66251,-34.0247783,3.2,1.3,0.2,3.12,18.4,8.9,-4.06,-6.26,3.7
617,2471,150.6625167,-34.0247533,2.9,1.2,0.27,2.89,17.4,8.1,-3.89,-6.02,3.74
618,2475,150.6625067,-34.02473,3.5,1.7,0.08,2.88,17.8,8.6,-4.04,-6.47,4.04
619,2479,150.6624833,-34.0247167,5.1,1.8,-0.06,2.98,19.3,9.7,-4.36,-6.99,4.52
620,2483,150.6624567,-34.024715,5.5,1.8,-0.15,3.11,20.4,10.5,-4.6,-7.4,5.12
621,2487,150.6624317,-34.0247267,5.6,2.7,-0.12,3.08,20.2,10.8,-4.56,-7.62,5.38
622,2491,150.6624183,-34.0247467,5.9,3.2,-0.23,2.92,19.9,10.7,-4.54,-7.67,5.42
623,2495,150.662415,-34.0247667,4.8,2.9,-0.05,2.91,19.1,10.1,-4.35,-7.28,5.32
624,2499,150.6624133,-34.0247867,5.3,2.3,-0.17,2.75,18.2,9.9,-4.2,-7.05,4.86
625,2503,150.6624117,-34.0248067,5,2.9,-0.1,2.53,17.8,9.5,-4.05,-6.76,4.32
626,2507,150.662405,-34.0248283,3.3,3.1,0.15,2.5,16.4,9.1,-3.73,-6.22,4.4
627,2511,150.6624,-34.02485,3.2,2.2,0.33,2.74,18.1,9.3,-3.95,-6.13,4.3
628,2515,150.6623933,-34.0248767,5.2,2.6,-0.03,3.32,22.6,11.7,-4.93,-7.58,3.96
629,2519,150.6623867,-34.0249017,4.8,2.5,0.05,3.69,24,12.3,-5.35,-8.06,4.2
630,2523,150.66238,-34.02493,3.3,2.3,0.26,3.74,24.4,11.3,-5.64,-8.18,5
631,2527,150.6623717,-34.0249583,4.5,2.7,0.07,3.86,25.7,12.4,-6.09,-8.92,5.6
632,2531,150.662365,-34.0249883,7.2,4.1,-0.33,3.21,25.4,14,-5.85,-9.66,6.22
633,2535,150.6623567,-34.0250183,8.2,5.1,-0.29,2.77,24,14.1,-5.53,-9.45,7.4
634,2539,150.66235,-34.0250483,7.9,6.8,-0.22,2.73,23.9,14.8,-5.49,-9.28,8.3
635,2543,150.6623417,-34.02508,9.2,7.1,-0.31,2.83,24.3,14.9,-5.49,-9.32,8.54
636,2547,150.662335,-34.0251117,9,7.1,-0.3,2.84,24.7,14.5,-5.45,-9.19,8.68
637,2551,150.6623267,-34.025145,8.4,7,-0.22,2.84,23.3,13.8,-5.19,-8.66,8.92
638,2555,150.6623167,-34.0251767,8.9,7.4,-0.14,2.7,22.7,13.8,-4.84,-8.12,8.8
639,2559,150.6623083,-34.02521,9.1,7.8,-0.04,2.49,22.1,14.3,-4.54,-7.58,8.84
640,2563,150.6623,-34.025245,8.6,8.1,0.01,2.61,21.7,13.9,-4.51,-7.45,8.94
641,2567,150.6622917,-34.0252783,9.2,8.1,-0.08,2.6,21.4,14.3,-4.53,-7.6,8.88
642,2571,150.6622817,-34.0253133,8.9,7.9,-0.14,2.55,21.3,14.2,-4.56,-7.68,8.62
643,2575,150.6622733,-34.0253467,8.6,7.8,-0.09,2.71,21,13.5,-4.56,-7.55,8.4
644,2579,150.6622633,-34.0253833,7.8,7.1,-0.04,2.78,20.8,13.4,-4.47,-7.27,8.12
645,2583,150.662255,-34.0254183,7.5,7,0.03,2.79,20.3,13.3,-4.35,-7.07,7.9
646,2587,150.6622467,-34.0254533,7.8,7.1,0.06,2.89,20.9,13.5,-4.46,-7.06,7.86
647,2591,150.662235,-34.02549,7.8,7.2,0.09,3.01,21.5,13.5,-4.55,-7.11,7.94
648,2595,150.662225,-34.025525,8.4,7.9,0.03,2.93,22,14.6,-4.54,-7.22,7.94
649,2599,150.6622167,-34.0255617,8.2,8.2,0.07,2.69,21,13.9,-4.38,-7.12,7.86
650,2603,150.6622067,-34.0255967,7.5,8.6,0.14,2.53,19.6,12.5,-4.2,-6.75,7.66
651,2607,150.6621983,-34.0256333,7.4,8.2,0.16,2.26,18.8,12.6,-3.9,-6.42,7.16
652,2611,150.66219,-34.0256683,6.8,8.4,0.25,2.1,18.1,12,-3.7,-6.1,6.68
653,2615,150.662185,-34.0256933,5.9,8.1,0.35,2.05,16.9,11.2,-3.51,-5.64,6.24
654,2619,150.66218,-34.02571,5.8,7.9,0.38,2.1,16.7,11,-3.44,-5.4,5.78
655,2623,150.6621767,-34.025725,5.3,7.6,0.43,2.13,16.6,10.5,-3.41,-5.24,5.4
656,2627,150.6621733,-34.0257417,5.1,7.6,0.48,2.19,15.9,10.5,-3.34,-5.05,4.98
657,2631,150.6621683,-34.0257617,4.9,7.2,0.47,2.13,15.2,9.7,-3.25,-4.83,4.36
658,2635,150.6621633,-34.0257783,3.8,6.4,0.54,2.1,13.8,8.1,-3.13,-4.62,4.12
659,2639,150.6621583,-34.0258017,2.7,6.2,0.7,2.26,13.4,7.2,-3.02,-4.16,3.62
660,2643,150.6621533,-34.0258233,4.1,6.4,0.47,2.05,12.4,6.4,-2.98,-4.35,3.06
661,2647,150.6621467,-34.0258483,2.6,6.2,0.67,2.28,12.5,7.1,-2.93,-3.89,2.72
662,2651,150.66214,-34.0258733,2.1,6,0.64,2.3,12.2,7.1,-2.92,-3.86,2.6
663,2655,150.6621333,-34.0259,2.1,4.8,0.62,2.36,11.6,6,-2.86,-3.64,2.26
664,2659,150.6621267,-34.0259267,2.1,5.5,0.64,2.2,11.1,6.2,-2.74,-3.61,2.04
665,2663,150.6621183,-34.025955,2.4,5.2,0.56,2.09,11.1,5.9,-2.73,-3.74,2.06
666,2667,150.6621117,-34.0259817,1.5,3.4,0.5,2.1,10.9,5.3,-2.77,-3.89,2.28
667,2671,150.6621067,-34.02601,2.2,4,0.43,2.13,11.9,6.9,-2.81,-4.01,2.36
668,2675,150.6621,-34.0260383,3.2,5.4,0.41,2.02,12.4,7.6,-2.82,-4.13,2.26
669,2679,150.6620917,-34.026065,2.5,4.2,0.45,2.1,12.5,7.5,-2.86,-4.17,2.28
670,2683,150.662085,-34.0260933,1.9,4.3,0.37,1.94,12.4,6.1,-2.95,-4.45,2.2
671,2687,150.6620767,-34.02612,1.6,2.8,0.39,2.05,12.8,5.8,-3.05,-4.53,1.96
672,2691,150.66207,-34.0261467,1.8,2.9,0.41,2.27,13.5,6.1,-3.24,-4.64,1.8
673,2695,150.6620633,-34.0261717,2,2.6,0.37,2.42,13.8,6.1,-3.37,-4.73,1.7
674,2699,150.6620567,-34.026195,1.7,2.3,0.39,2.57,14.3,6,-3.49,-4.73,1.52
675,2703,150.6620517,-34.0262183,1.4,2,0.43,2.4,14.6,6.2,-3.59,-4.85,1.58
676,2707,150.6620483,-34.02624,0.7,1.3,0.38,2.44,15.1,6.5,-3.7,-4.92,1.58
677,2711,150.66204,-34.0262583,2.1,3.7,0.45,2.54,15.2,6.7,-3.74,-4.91,1.46
678,2715,150.6620217,-34.0262667,2,4.5,0.42,1.66,14.5,6.1,-3.74,-4.96,1.4
679,2719,150.6620033,-34.026265,1.1,4.4,0.54,0.22,13.9,5.6,-3.7,-4.85,1.58
680,2723,150.66199,-34.0262533,1.1,-6.3,0.59,-1.01,12.7,4.5,-3.63,-4.87,1.52
681,2727,150.6619867,-34.0262383,1.6,7.6,0.56,-3.82,13.1,4.4,-3.63,-4.83,1.34
682,2731,150.6619883,-34.0262217,1.8,3.8,0.49,-8.19,13.9,5,-3.69,-4.92,1.22
683,2735,150.6619933,-34.026205,1.1,-9,0.57,-8.57,13.3,3.9,-3.72,-4.89,1.14
684,2739,150.662,-34.0261867,0.5,-2.7,0.59,-5.87,14.1,4.7,-3.76,-4.78,0.86
685,2743,150.662005,-34.02617,0.7,18.2,0.6,-4.34,14,5.3,-3.75,-4.74,0.58
686,2747,150.66201,-34.0261533,0.2,4.5,0.64,-3.72,14.5,5.7,-3.7,-4.68,0.5
687,2751,150.662015,-34.026135,0.4,-7.9,0.58,-1.02,15.2,5.8,-3.7,-4.78,0.26
688,2755,150.6620183,-34.0261133,0.7,1.8,0.54,1.19,14.9,6.5,-3.61,-4.78,0.32
689,2759,150.662025,-34.0260917,-0.7,2.2,0.56,1.75,16,6.5,-3.58,-4.78,0.3
690,2763,150.66203,-34.0260667,1,2.3,0.52,2.14,14.4,7,-3.39,-4.67,0.44
691,2767,150.6620367,-34.0260417,0.1,1.9,0.31,2.28,14.3,6.9,-3.25,-4.6,0.7
692,2771,150.6620433,-34.026015,1.1,2.3,0.44,2.31,13.4,6.5,-3.13,-4.61,1.26
693,2775,150.66205,-34.0259867,2,3.4,0.44,2.19,12.7,6.4,-3.02,-4.4,1.44
694,2779,150.6620567,-34.0259583,2.1,3.6,0.45,2.1,12.5,6.2,-2.91,-4.28,1.92
695,2783,150.6620633,-34.0259283,1.9,3.6,0.53,2.16,12.1,6.5,-2.9,-4.12,2.18
696,2787,150.6620717,-34.0259,2.5,3.6,0.49,2.2,12.5,6.5,-2.91,-4.1,2.22
697,2791,150.6620783,-34.0258717,2.4,4.3,0.51,2.09,11.7,6.3,-2.79,-3.99,2.26
698,2795,150.6620867,-34.025845,2.2,4.5,0.55,2.1,11.4,5.9,-2.76,-3.83,2.3
699,2799,150.662095,-34.0258183,2.3,4.9,0.58,2.18,11.8,6,-2.8,-3.75,2.2
700,2803,150.662105,-34.0257917,2.1,4.7,0.61,2.28,12.2,6.3,-2.88,-3.68,2.14
701,2807,150.6621133,-34.025765,2,4.9,0.67,2.32,12.7,6.8,-2.93,-3.78,2.3
702,2811,150.6621217,-34.0257367,2.1,4.9,0.67,2.31,13,7.5,-2.97,-3.95,2.44
703,2815,150.6621283,-34.02571,3,5.2,0.61,2.3,14,7.6,-3.13,-4.25,2.84
704,2819,150.6621333,-34.0256817,3,6,0.63,2.17,14.4,8.2,-3.09,-4.41,3.4
705,2823,150.66214,-34.0256533,4.1,7.2,0.48,1.98,15.1,9.1,-3.18,-4.82,3.98
706,2827,150.662145,-34.0256233,4.8,6.9,0.39,2.08,16.2,9.9,-3.39,-5.14,4.54
707,2831,150.66215,-34.025595,5,7.6,0.33,2.09,16.4,9.9,-3.53,-5.48,5.24
708,2835,150.6621567,-34.025565,5.8,7.7,0.24,2.02,17.2,11.1,-3.65,-5.8,5.72
709,2839,150.6621633,-34.0255367,6.5,7.5,0.19,2.01,17.7,11.6,-3.75,-6.15,5.9
710,2843,150.66217,-34.0255067,6.5,7.6,0.19,2.18,18.5,11.9,-3.91,-6.39,6.34
711,2847,150.6621767,-34.0254767,5.7,7.5,0.16,2.34,19.2,12.3,-4.02,-6.57,6.84
712,2851,150.6621833,-34.0254467,7.2,8,0.11,2.38,19.4,12.2,-4.1,-6.86,7.22
713,2855,150.6621883,-34.0254167,8.3,8.2,0.07,2.64,20.7,13.2,-4.33,-7.04,7.52
714,2859,150.662195,-34.0253883,8.4,8,0.04,2.9,21.5,13.6,-4.56,-7.18,7.98
715,2863,150.6622017,-34.0253583,8,7.4,0.07,3.09,21.8,13,-4.65,-7.12,8.06
716,2867,150.6622083,-34.0253283,8,6.8,0.07,3.12,21.8,13.3,-4.61,-7.09,8.02
717,2871,150.662215,-34.0252983,7.6,7,0.07,3.02,21.9,13.7,-4.6,-7.27,8.02
718,2875,150.6622217,-34.0252683,8.1,6.9,0.01,3.08,21.9,13.6,-4.7,-7.41,8.2
719,2879,150.66223,-34.0252383,8.4,7.1,0.03,2.98,21.7,13.5,-4.61,-7.41,8.5
720,2883,150.6622367,-34.0252083,8.9,7.5,0.02,3,22.8,14.8,-4.68,-7.39,8.94
721,2887,150.6622433,-34.0251783,9.5,8.5,0,3.08,23.2,15.2,-4.81,-7.64,9.12
722,2891,150.6622517,-34.0251483,9.8,8.9,0,3.02,22.9,15.1,-4.71,-7.57,9.1
723,2895,150.66226,-34.0251183,9,8.8,-0.02,2.75,22.4,15,-4.55,-7.45,9
724,2899,150.6622683,-34.0250867,8.3,8.7,0.01,2.75,22,14.6,-4.55,-7.47,8.92
725,2903,150.6622767,-34.0250567,8.4,8.4,-0.04,2.69,22.6,14.6,-4.7,-7.7,8.7
726,2907,150.662285,-34.0250267,9.1,8.2,-0.12,2.86,23.3,14.3,-5.04,-8.14,8.68
727,2911,150.6622917,-34.024995,8.7,8,-0.27,2.98,23.7,14.2,-5.38,-8.78,8.62
728,2915,150.6623,-34.024965,8.9,7.3,-0.35,3.04,24.9,14.7,-5.68,-9.35,8.58
729,2919,150.6623083,-34.0249333,8,7.1,-0.19,2.9,24.3,14.4,-5.56,-9.14,8.26
730,2923,150.6623167,-34.0249017,8.2,6.2,-0.26,2.97,25.1,14.8,-5.68,-9.25,8.06
731,2927,150.662325,-34.0248717,7.5,5.5,-0.23,3.33,25.2,13.6,-5.81,-9.15,7.8
732,2931,150.6623333,-34.0248417,7.7,4.8,-0.18,3.46,24.9,13.6,-5.6,-8.69,7.48
733,2935,150.6623417,-34.0248133,7.6,4.5,-0.05,3.45,23.6,13.5,-5.09,-7.79,6.92
734,2939,150.66235,-34.0247867,6.4,4.9,0.12,3.35,22.2,12.2,-4.72,-7.08,5.98
735,2943,150.6623617,-34.0247633,5.4,4.2,0.21,3.03,19.6,11,-4.27,-6.58,5.28
736,2947,150.6623667,-34.0247417,2.8,3.4,0.49,2.75,16.3,9.2,-3.68,-5.75,4.78
737,2951,150.66236,-34.02472,4.2,3.8,0.13,2.48,16.9,9.3,-3.87,-6.25,4.56
738,2955,150.6623417,-34.0247067,5.1,3.7,-0.01,2.63,18.4,9.8,-4.18,-6.8,4.36
739,2959,150.6623167,-34.0247033,5.3,3.9,0.01,2.79,18.9,10.2,-4.22,-6.92,4.86
740,2963,150.6622933,-34.0247117,4.4,4.5,-0.02,2.71,18.1,10.5,-4.15,-7.01,5.08
741,2967,150.6622767,-34.0247283,5.3,4.5,0.01,2.7,18.7,10.7,-4.23,-7.1,4.96
742,2971,150.66227,-34.02475,5.3,4.1,-0.01,2.74,18.6,10.2,-4.29,-7.14,4.56
743,2975,150.6622667,-34.0247733,4.5,3.9,0.11,2.76,18.5,10.3,-4.21,-6.74,4.22
744,2979,150.662265,-34.0247983,3.3,3.9,0.1,2.7,17.9,9.7,-4.15,-6.66,4.18
745,2983,150.66226,-34.024825,2.7,3.4,0.21,2.95,18.7,9.7,-4.35,-6.72,3.72
746,2987,150.662255,-34.0248517,5.1,3.5,0.05,3.27,21.9,11.1,-4.9,-7.38,3.54
747,2991,150.6622483,-34.0248783,3,3.3,0.04,3.62,23.1,11.2,-5.24,-7.68,3.86
748,2995,150.66224,-34.0249067,3.6,3.5,-0.1,3.44,23.8,11.8,-5.38,-8.26,4.68
749,2999,150.662235,-34.0249367,4.9,4,-0.17,3.26,24.3,12.3,-5.47,-8.7,5.08
750,3003,150.6622283,-34.024965,6.8,5,-0.3,3.25,24.7,13.3,-5.73,-9.2,5.88
751,3007,150.66222,-34.024995,7.1,5.5,-0.37,3.11,24.3,12.7,-5.77,-9.39,6.62
752,3011,150.6622133,-34.025025,7,5.5,-0.27,3.08,24,12.5,-5.77,-9.21,7.08
753,3015,150.6622067,-34.025055,7.3,5.6,-0.23,3.4,24.5,12.3,-5.84,-8.97,7.2
754,3019,150.6621983,-34.025085,7.2,6.3,-0.12,3.31,23.7,12.6,-5.45,-8.41,7.3
755,3023,150.6621883,-34.025115,7.4,6.5,-0.13,3.11,22.8,12.7,-5.16,-8.08,7.36
756,3027,150.66218,-34.0251467,7.6,7.1,-0.1,3.02,22.5,12.4,-4.97,-7.7,7.3
757,3031,150.6621717,-34.0251783,7.3,6.9,-0.04,3.04,22,12.6,-4.89,-7.6,7.26
758,3035,150.6621633,-34.02521,7,6.8,-0.03,3.16,22.2,12.3,-4.93,-7.64,7
759,3039,150.662155,-34.0252417,7,6.7,0.04,3.14,21.5,12,-4.73,-7.26,6.06
760,3043,150.6621467,-34.025275,6.1,6.4,0.07,3.12,21.8,12.1,-4.74,-7.3,5.7
761,3047,150.6621383,-34.0253067,2.9,4.6,0.15,3.34,22.2,10.8,-4.84,-7.23,5.52
762,3051,150.66213,-34.02534,5.5,5.2,0.14,3.49,22,11.9,-4.93,-7.32,5.2
763,3055,150.66212,-34.0253717,6.1,5.2,0.1,3.4,22.2,11.9,-4.91,-7.35,5.1
764,3059,150.6621117,-34.025405,5.4,5.8,0.09,3.26,21.6,12,-4.85,-7.46,5.74
765,3063,150.662105,-34.0254383,5.6,6,0.15,3.11,20.8,11.6,-4.63,-7.24,5.78
766,3067,150.6620967,-34.0254733,6.1,6.7,0.1,2.74,20.1,11.9,-4.41,-7.08,5.72
767,3071,150.6620883,-34.025505,5.7,6.4,0.05,2.5,20.1,11.5,-4.38,-7.2,5.64
768,3075,150.6620817,-34.0255383,5.8,6.9,0.16,2.3,19,11.5,-4.08,-6.79,5.54
769,3079,150.6620733,-34.02557,5,7.1,0.24,2.11,17.5,10.6,-3.75,-6.27,4.58
770,3083,150.6620667,-34.0256033,5.1,7.2,0.31,1.95,16,9.5,-3.5,-5.8,4.28
771,3087,150.6620583,-34.025635,1.3,6.1,0.45,2,14.9,9.4,-3.32,-5.29,3.9
772,3091,150.66205,-34.0256683,4.2,7,0.41,1.91,15.3,8.9,-3.3,-5.13,3.52
773,3095,150.6620433,-34.0257,3.9,6.5,0.46,2.09,14.6,8.3,-3.23,-4.76,3.08
774,3099,150.6620367,-34.0257317,3.1,6,0.61,2.15,14,7.7,-3.11,-4.4,3.52
775,3103,150.66203,-34.0257633,2.9,5.6,0.62,2.21,13,6.3,-2.96,-3.95,3.14
776,3107,150.6620217,-34.0257933,3.5,6,0.65,2.43,14.5,6.8,-2.98,-3.66,2.76
777,3111,150.6620133,-34.0258233,2.3,5.7,0.61,2.37,12.1,6.4,-2.83,-3.65,2.66
778,3115,150.662005,-34.0258533,2,5.3,0.64,2.21,11.8,5.9,-2.78,-3.61,2.48
779,3119,150.6619967,-34.0258833,2.6,5.5,0.56,2.32,12.7,6.7,-2.91,-3.79,2.2
780,3123,150.6619883,-34.0259133,2,4.9,0.54,2.2,12,6.1,-2.86,-3.88,2.04
781,3127,150.6619817,-34.0259433,2.1,4.4,0.5,2.02,11.9,6,-2.82,-3.94,1.92
782,3131,150.6619733,-34.0259733,1.5,3.1,0.44,1.99,11.9,6,-2.83,-4.05,1.36
783,3135,150.6619667,-34.026005,1.4,3,0.41,1.98,11.8,5.7,-2.86,-4.19,1.14
784,3139,150.66196,-34.026035,-0.2,2.4,0.41,2.08,12.4,5.7,-2.95,-4.29,1.1
785,3143,150.6619533,-34.026065,0.9,2.2,0.33,2.17,13,5.3,-3.06,-4.43,1.02
786,3147,150.6619467,-34.026095,1.9,2.5,0.31,2.3,13.9,6.8,-3.23,-4.64,1.04
787,3151,150.6619383,-34.026125,1.1,1.8,0.3,2.23,13.8,5.4,-3.42,-4.85,1.4
788,3155,150.6619317,-34.026155,1.5,0.5,0.29,2.01,14,5.7,-3.54,-4.96,1.54
789,3159,150.661925,-34.0261833,1.6,0.5,0.34,2.1,14.1,5.6,-3.64,-4.96,1.22
790,3163,150.6619167,-34.0262117,1.6,5.8,0.39,0.97,14.5,6.1,-3.64,-5.02,1.06
791,3167,150.66191,-34.0262383,0.3,1.2,0.46,-0.9,12.1,4.7,-3.71,-4.81,0.8
792,3171,150.661905,-34.026265,0.3,-6.3,0.47,-0.93,13.5,6.6,-3.56,-4.5,0.48
793,3175,150.6618983,-34.0262917,0.2,0.2,0.55,1.78,15.7,9.2,-3.34,-4.64,0.26
794,3179,150.661895,-34.0263183,0,1.4,0.56,2.69,9.4,-0.8,-3.09,-4.4,0.26
795,3183,150.6618967,-34.026345,0.5,1.1,0.52,2.56,5,-2.3,-3.01,-3.82,0.42
796,3187,150.6619017,-34.0263683,0.3,1.3,0.51,1.8,8.5,0.3,-3.08,-4.15,0.54
797,3191,150.6619117,-34.026385,1.1,-0.7,0.53,0.19,10.5,0,-3.21,-4.33,0.82
798,3195,150.6619217,-34.026395,0.8,-1.2,0.5,-0.83,10.3,3.5,-3.21,-4.16,0.9
799,3199,150.661925,-34.0264,1.4,4.6,0.45,-2.5,10.9,5.5,-3.27,-4.32,1.06
800,3203,150.6619267,-34.0264017,0.9,3.7,0.45,-3.26,11.6,6.2,-3.3,-4.37,0.94
801,3207,150.6619267,-34.0264017,1.1,-3.2,0.47,-4.55,11.4,6.1,-3.31,-4.38,0.94
802,3211,150.6619267,-34.0264017,0.5,-6.8,0.48,-3.93,10.9,5.2,-3.3,-4.34,0.7
803,3215,150.6619267,-34.0264017,0.8,1.9,0.47,-4.62,11.5,6.5,-3.32,-4.52,0.72
804,3219,150.6619267,-34.0264017,0.2,3.4,0.48,-5.67,10.2,3.5,-3.31,-4.49,0.78
805,3223,150.6619267,-34.0264017,1,-2.3,0.48,-5.82,11,5.1,-3.3,-4.42,0.9
806,3227,150.6619267,-34.0264017,1.4,0.2,0.47,-5.14,10.8,4.6,-3.3,-4.33,0.88
807,3231,150.6619267,-34.0264017,1.1,2,0.48,-4.69,10.7,5,-3.3,-4.32,0.96
808,3235,150.6619267,-34.0264017,0.7,-4.8,0.48,-3.54,11.1,5,-3.31,-4.39,0.92
809,3239,150.6619267,-34.0264017,0.6,-2.8,0.49,-2.21,10.9,5.4,-3.31,-4.43,0.86
810,3243,150.6619267,-34.0264017,0.8,2.6,0.48,-2.03,11,5,-3.32,-4.43,0.86
811,3247,150.6619267,-34.0264017,1.1,1,0.48,-2.12,10.5,4,-3.31,-4.41,1
812,3251,150.6619267,-34.0264017,1.1,-3.7,0.48,-2.74,10.5,4.3,-3.3,-4.33,1.1
813,3255,150.6619267,-34.0264017,1.4,-3.8,0.48,-2.18,10.9,5.1,-3.3,-4.3,1.2
