Latitude,Longitude,Accuracy,Time,Reading 
-34.02127536,150.66350918,8.0,130210,4.78
-34.02127537,150.66350922,7.0,130212,5.11
-34.02127539,150.66350923,7.0,130213,5.349999
-34.0212754,150.66350924,6.0,130214,5.19
-34.02127541,150.66350924,6.0,130215,5.29
-34.02127542,150.66350926,6.0,130216,4.98
-34.02127544,150.66350927,5.0,130217,5.3
-34.02127545,150.66350927,5.0,130218,5.56
-34.02127547,150.66350929,4.0,130219,5.3
-34.02127548,150.6635093,5.0,130220,5.08
-34.02127619,150.66350879,5.0,130222,5.93
-34.02127893,150.66350823,5.0,130223,4.88
-34.02128601,150.66350888,5.0,130224,5.68
-34.02129418,150.66351051,5.0,130225,5.02
-34.021298,150.6635113,4.0,130226,5.639999
-34.02488467,150.66319793,3.0,130922,5.14
-34.02488468,150.66319795,3.0,130924,4.77
-34.02488469,150.66319795,3.0,130925,4.92
-34.02488471,150.66319796,4.0,130926,4.760001
-34.02488469,150.663198,4.0,130927,5.42
-34.02488469,150.66319795,3.0,130928,4.89
-34.02488469,150.6631979,3.0,130929,5.050001
-34.02488472,150.66319785,3.0,130930,4.76
-34.02488472,150.66319789,3.0,130931,5.02
-34.02488471,150.6631979,3.0,130932,4.710001
-34.02488483,150.66319893,3.0,130933,5.23
-34.02488475,150.66320091,3.0,130934,4.95
-34.02488431,150.66320191,3.0,130935,5.46
-34.02488541,150.66320408,3.0,130936,5.05
-34.02488469,150.66320448,3.0,130937,5.04
-34.02488291,150.6632046,3.0,130939,5.059999
-34.0248828,150.66320498,3.0,130940,4.53
-34.02488332,150.663206,3.0,130941,4.650001
-34.02488406,150.66320666,3.0,130942,5.0
-34.02488412,150.66320602,3.0,130943,5.19
-34.02488455,150.6632058,3.0,130944,5.36
-34.02488486,150.66320534,3.0,130946,5.470001
-34.02488496,150.66320525,3.0,130948,5.89
-34.02488497,150.66320525,3.0,130949,5.06
-34.02488498,150.66320526,3.0,130950,5.039999
-34.02488498,150.66320526,3.0,130951,5.309999
-34.02488498,150.66320525,3.0,130952,5.05
-34.02488497,150.66320525,3.0,130953,5.89
-34.02488497,150.66320525,3.0,130954,5.529999
-34.02488496,150.66320525,3.0,130955,5.25
-34.02488496,150.66320525,3.0,130956,5.13
-34.02488496,150.66320525,3.0,130957,5.699999
-34.02488496,150.66320525,3.0,130958,5.63
-34.02488498,150.66320525,3.0,130959,5.05
-34.02488499,150.66320525,3.0,131000,4.44
-34.024885,150.66320525,3.0,131001,4.989999
-34.0248879,150.66320324,3.0,131003,5.14
-34.02489448,150.66319662,3.0,131005,5.46
-34.02489853,150.66319123,4.0,131006,5.58
-34.02490374,150.66318693,3.0,131007,5.01
-34.02491069,150.66318525,3.0,131008,5.17
-34.02491686,150.66318691,3.0,131009,5.14
-34.02491979,150.66319089,3.0,131010,5.12
-34.02492176,150.66319249,3.0,131011,5.21
-34.02492341,150.66319137,3.0,131012,4.86
-34.02492287,150.66319197,3.0,131013,5.17
-34.02492387,150.66319318,3.0,131014,5.09
-34.0249247,150.66319374,3.0,131015,5.5
-34.0249241,150.66319439,3.0,131017,5.400001
-34.02492512,150.66319244,3.0,131018,5.39
-34.02493213,150.66318997,3.0,131019,4.77
-34.02494109,150.66318807,3.0,131020,5.05
-34.02495657,150.66318477,3.0,131021,5.25
-34.02497104,150.6631804,4.0,131022,5.31
-34.02498375,150.66317672,3.0,131023,5.24
-34.02499568,150.66317409,4.0,131024,5.05
-34.02500748,150.66317189,3.0,131025,5.13
-34.02501901,150.66316939,3.0,131026,5.02
-34.02503113,150.66316627,3.0,131027,5.57
-34.02504509,150.66316252,4.0,131028,5.2
-34.02506788,150.66315713,3.0,131029,5.3
-34.02509184,150.66315262,3.0,131030,5.0
-34.02511556,150.6631483,3.0,131031,4.92
-34.02513918,150.66314316,3.0,131032,5.32
-34.02521764,150.66312334,3.0,131035,4.8104
-34.02524706,150.66311628,3.0,131036,5.22
-34.02527561,150.66310866,3.0,131037,5.13
-34.02530415,150.66310075,3.0,131038,5.22
-34.02533234,150.6630921,3.0,131039,5.39
-34.02536055,150.66308334,3.0,131040,5.13
-34.0253888,150.66307404,3.0,131041,5.18
-34.02541727,150.66306563,3.0,131042,5.65
