ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 
819.0-34.02491765,150.66315342,3.2160000801086426,134853,17.51,58.8
820.0-34.02491767,150.6631534,3.2160000801086426,134854,17.22,58.67
821.0-34.02491767,150.6631534,3.2160000801086426,134855,16.86,58.5
822.0-34.02491766,150.66315339,3.2160000801086426,134856,17.0,58.57
823.0-34.02492554,150.66315452,3.2160000801086426,134857,17.22,58.67
824.0-34.02493771,150.663157,3.2160000801086426,134858,17.3,58.7
825.0-34.02494747,150.6631582,3.2160000801086426,134859,17.23,58.67
826.0-34.02495817,150.66315799,3.2160000801086426,134900,17.26,58.69
828.0-34.02498338,150.66315619,3.2160000801086426,134902,17.77,58.92
829.0-34.02499811,150.66315395,3.2160000801086426,134903,17.93,59.0
830.0-34.02501384,150.66315117,3.2160000801086426,134904,18.03,59.04
52.82-34.02503301,150.66314783,3.2160000801086426,134905,17.55,5.0
833.0-34.0250715,150.66314062,3.2160000801086426,134907,17.52,58.81
834.0-34.02508877,150.66313389,3.2160000801086426,134908,18.08,59.07
835.0-34.0251048,150.66312824,3.2160000801086426,134909,17.77,58.92
837.0-34.02512136,150.6631222,3.2160000801086426,134910,17.62,58.85
838.0-34.02514929,150.66311043,3.2160000801086426,134912,17.37,58.74
839.0-34.02516207,150.66310684,3.2160000801086426,134913,17.35,58.73
840.0-34.02517806,150.66310032,3.2160000801086426,134914,17.15,58.63
842.0-34.02519851,150.66310549,3.2160000801086426,134915,17.0,58.57
843.0-34.0252151,150.6630979,3.2160000801086426,134916,16.9,58.52
844.0-34.02523223,150.66309214,3.2160000801086426,134917,16.66,58.41
52.51-34.02526539,150.66307984,3.2160000801086426,134919,16.88,5.0
847.0-34.02528051,150.66307336,3.2160000801086426,134920,15.85,58.03
848.0-34.02529624,150.66306777,3.2160000801086426,134921,16.17,58.18
849.0-34.02531219,150.66306082,3.2160000801086426,134922,16.36,58.27
850.0-34.02532966,150.66305662,3.2160000801086426,134923,17.17,58.64
851.0-34.02534772,150.66305236,3.2160000801086426,134924,16.72,58.44
852.0-34.0253647,150.66304887,3.2160000801086426,134925,17.14,58.63
853.0-34.02538001,150.66304543,3.2160000801086426,134926,17.72,58.9
854.0-34.02539742,150.66304384,3.2160000801086426,134927,17.97,59.02
855.0-34.0254166,150.66304249,3.2160000801086426,134928,17.6,58.84
856.0-34.02543545,150.66304255,3.2160000801086426,134929,17.71,58.9
859.0-34.02547482,150.66304244,3.2160000801086426,134931,17.19,58.65
860.0-34.02549538,150.66304032,3.2160000801086426,134932,17.26,58.69
861.0-34.02551573,150.66303719,3.2160000801086426,134933,17.84,58.96
863.0-34.02555607,150.66302741,3.2160000801086426,134935,17.42,58.76
864.0-34.02557803,150.66301795,3.2160000801086426,134936,17.44,58.77
865.0-34.02560372,150.66301123,3.2160000801086426,134937,17.86,58.96
867.0-34.02564815,150.66300108,3.2160000801086426,134939,17.61,58.85
868.0-34.02567029,150.66299592,3.2160000801086426,134940,18.37,59.2
869.0-34.02569361,150.66298643,3.2160000801086426,134941,17.12,58.62
870.0-34.0257171,150.66297752,3.2160000801086426,134942,17.08,58.6
871.0-34.02573998,150.6629689,3.2160000801086426,134943,17.75,58.91
873.0-34.02578689,150.66295225,3.2160000801086426,134945,17.46,58.78
874.0-34.02580943,150.66294573,3.2160000801086426,134946,17.96,59.01
876.0-34.02583077,150.6629387,3.2160000801086426,134947,18.13,59.09
877.0-34.02585174,150.66293143,3.2160000801086426,134948,17.61,58.85
878.0-34.02587086,150.66292486,3.2160000801086426,134949,16.91,58.52
879.0-34.02588884,150.66291888,3.2160000801086426,134950,17.34,58.72
880.0-34.02590688,150.66291287,3.2160000801086426,134951,17.12,58.62
881.0-34.02592595,150.66290888,3.2160000801086426,134952,17.53,58.81
882.0-34.02594534,150.66290567,3.2160000801086426,134953,17.1,58.61
883.0-34.02596588,150.66290184,3.2160000801086426,134954,17.39,58.75
884.0-34.02598568,150.66289652,3.2160000801086426,134955,17.63,58.86
886.0-34.02600419,150.66288971,3.2160000801086426,134956,16.96,58.55
887.0-34.02602503,150.66288644,3.2160000801086426,134957,17.06,58.59
888.0-34.02604528,150.66288303,3.2160000801086426,134958,16.77,58.46
890.0-34.02608758,150.66287947,3.2160000801086426,135000,16.92,58.53
891.0-34.02610757,150.66287415,3.2160000801086426,135001,17.21,58.66
892.0-34.02612709,150.662869,3.2160000801086426,135002,17.02,58.57
893.0-34.026146,150.66286313,3.2160000801086426,135003,16.99,58.56
894.0-34.02616411,150.66285751,3.2160000801086426,135004,16.6,58.38
895.0-34.02618223,150.66285214,3.2160000801086426,135005,17.35,58.73
896.0-34.02620278,150.66284806,3.2160000801086426,135006,17.04,58.58
897.0-34.02622186,150.66284361,3.2160000801086426,135007,16.64,58.4
899.0-34.02624214,150.66283253,3.2160000801086426,135008,17.08,58.6
900.0-34.02626132,150.66282302,3.2160000801086426,135009,16.73,58.44
901.0-34.02627965,150.66281523,3.2160000801086426,135010,16.83,58.49
903.0-34.02631852,150.66280283,3.2160000801086426,135012,17.13,58.63
904.0-34.02634561,150.66280204,3.2160000801086426,135013,16.91,58.52
905.0-34.02636893,150.66279995,3.2160000801086426,135014,17.36,58.73
906.0-34.02639053,150.6628,3.2160000801086426,135015,17.3,58.7
907.0-34.0264105,150.66279816,3.2160000801086426,135016,16.72,58.44
908.0-34.02643188,150.66279581,3.2160000801086426,135017,17.21,58.66
909.0-34.02645086,150.66279447,3.2160000801086426,135018,16.69,58.42
