,Lon,Lat,1m HCP con,2m HCP con,1m HCP in,2m HCP in,1m PRP con,2m PRP con,1m PPR in,2m PPR in
291,150.6635883,-34.023425,6.5,5.2,0.31,3.73,23,12.3,-4.29,-5.93
292,150.663575,-34.0234667,7.8,6,0.15,3.63,24.3,13,-4.56,-6.65
293,150.6635617,-34.0235083,7.5,6.1,0.21,3.81,24.7,13.7,-4.71,-6.78
294,150.66355,-34.0235517,7.7,6.1,0.07,3.6,24.8,13.7,-4.66,-6.76
295,150.6635367,-34.0235933,7.7,5.8,-0.04,3.21,23,12.9,-4.37,-6.68
296,150.6635233,-34.0236367,8.1,5.8,-0.21,2.68,21.3,12.5,-4.02,-6.91
297,150.6635083,-34.0236783,8.8,6.5,-0.29,2.23,20,12.9,-3.77,-7.17
298,150.663495,-34.02372,9.9,7.8,-0.33,1.79,19.1,14,-3.57,-7.29
299,150.6634817,-34.0237633,10.9,8.3,-0.34,1.81,20.5,14.9,-3.71,-7.61
300,150.66347,-34.023805,11.6,8.5,-0.42,1.84,21.1,15.6,-3.82,-8
301,150.66346,-34.0238467,12,8.7,-0.42,1.91,21.9,16,-3.9,-7.98
302,150.66345,-34.02389,11.7,8.3,-0.34,1.85,20.7,15,-3.66,-7.51
303,150.66344,-34.0239333,9.1,7.8,-0.16,1.79,18.9,13.8,-3.44,-6.93
304,150.6634283,-34.0239783,8.3,6.8,-0.08,1.72,16.8,12,-3.2,-6.34
305,150.6634183,-34.0240233,8.1,6.5,-0.1,1.86,17,11.5,-3.24,-6.29
306,150.6634083,-34.0240667,7.4,6.1,-0.09,1.79,17.3,11.4,-3.23,-6.35
307,150.6633983,-34.0241117,7.9,6.1,-0.17,1.9,18.1,12.2,-3.43,-6.75
308,150.6633867,-34.024155,9.3,7.1,-0.3,1.7,19,13.2,-3.41,-7.04
309,150.6633767,-34.0242,-71.6,-67.5,-2.27,-8.94,195.4,5.6,5.31,-6.76
310,150.663365,-34.024245,10.1,8.4,-0.48,1.61,19.6,15,-3.69,-7.65
311,150.6633533,-34.0242917,10.4,7.7,-0.44,1.72,20.5,14.1,-3.82,-7.94
312,150.66334,-34.0243367,11.6,9.3,-0.66,1.67,21.6,15.4,-4.03,-8.53
313,150.6633283,-34.0243817,11.9,9.2,-0.69,1.5,21,15.5,-3.95,-8.55
314,150.6633167,-34.0244283,11.8,9.5,-0.61,1.44,20,15,-3.8,-8.42
315,150.663305,-34.024475,10.7,9.3,-0.54,1.42,19.5,14.2,-3.77,-8.17
316,150.6632917,-34.0245217,10.9,9.1,-0.57,1.68,20.9,14.6,-4.08,-8.35
317,150.6632817,-34.0245667,10.3,8.3,-0.42,2.01,21.8,14.6,-4.25,-8.29
318,150.6632683,-34.0246133,9.4,6.9,-0.33,2.68,24.9,15,-4.88,-8.82
319,150.6632567,-34.0246567,8.1,6.7,-0.22,2.99,24.8,14.6,-5.12,-8.93
320,150.663245,-34.0247,9.1,7.5,-0.2,3.05,25.7,15.1,-5.23,-8.91
321,150.6632333,-34.02474,9.6,7.7,-0.23,3.13,26.1,15.2,-5.34,-8.8
322,150.6632233,-34.02478,8.1,7.3,0,3.52,25.7,14.5,-5.33,-8.35
323,150.663215,-34.0248183,7.2,6.3,0.18,4.01,26.1,14.1,-5.39,-7.96
324,150.6632083,-34.024855,5.9,5.1,0.24,3.97,24.3,12.7,-5.07,-7.39
325,150.6632,-34.0248883,5.6,4.1,0.15,3.68,23,11.6,-4.82,-7.12
326,150.6631917,-34.0249233,5.9,4.2,0.15,3.62,23.7,12,-4.87,-7.37
327,150.6631817,-34.0249583,6,4.4,0.11,3.76,24.7,12.5,-5.15,-7.86
328,150.6631717,-34.024995,6.4,4.6,0.09,3.79,26,14,-5.48,-8.57
329,150.6631633,-34.0250317,7.5,5.1,-0.05,3.74,26.8,14.4,-5.67,-8.96
330,150.6631533,-34.02507,8.1,5.8,-0.25,3.56,26.2,13.9,-5.61,-8.97
331,150.6631417,-34.0251083,7.5,6.5,-0.08,3.12,22.7,13,-4.79,-7.93
332,150.66313,-34.0251483,5.7,8.2,0.27,2.38,17.9,11,-3.66,-6.22
333,150.66312,-34.0251883,5.6,9.9,0.53,2.06,15.9,11.1,-3.04,-5.16
334,150.66311,-34.02523,7.2,12.1,0.47,1.62,14.3,11.8,-2.62,-4.72
335,150.6631017,-34.0252717,7.8,12.8,0.51,1.54,14.3,12.4,-2.54,-4.59
336,150.6630917,-34.025315,7.5,12.3,0.48,1.74,15,12.1,-2.78,-4.7
337,150.6630783,-34.0253567,6.8,10.9,0.42,1.86,14.4,10.6,-2.89,-4.84
338,150.663065,-34.0254,7.2,11.4,0.46,1.53,13.4,10.6,-2.52,-4.55
339,150.6630517,-34.0254433,6.8,12.7,0.51,1.3,12.4,10.6,-2.27,-4.25
340,150.6630417,-34.0254867,7.3,11.8,0.4,1.49,14,11.1,-2.69,-4.83
341,150.6630317,-34.02553,8.6,10.1,0.12,2.02,18.1,12.4,-3.61,-6.3
342,150.6630217,-34.0255717,7.8,8.9,0.21,2.46,19.3,12.3,-3.96,-6.35
343,150.6630117,-34.0256133,7.4,8.5,0.3,2.8,19.8,11.7,-4.06,-6.13
344,150.6630033,-34.0256517,6.8,8.7,0.43,2.8,19.1,11.4,-3.8,-5.59
345,150.6629967,-34.0256867,6.1,9.1,0.57,2.61,17.9,11.5,-3.46,-5.05
346,150.6629883,-34.02572,5.5,9.2,0.65,2.59,16.6,10.9,-3.21,-4.55
347,150.6629817,-34.025745,5.5,9.6,0.66,2.46,15.7,10.2,-2.99,-4.05
348,150.6629783,-34.0257617,5.6,9.6,0.58,2.31,14.9,9.3,-2.86,-3.8
349,150.6629767,-34.0257683,5.1,10.1,0.6,2.28,14,8.8,-2.72,-3.62
350,150.6629767,-34.0257683,4.8,10.1,0.64,2.21,13.4,8.3,-2.6,-3.44
351,150.6629767,-34.0257683,5.1,9.8,0.64,2.21,13.4,8.4,-2.59,-3.44
352,150.662975,-34.02577,5.3,10.2,0.64,2.18,13.4,8.7,-2.59,-3.48
353,150.6629733,-34.0257817,5.2,9.9,0.63,2.13,13,8.3,-2.54,-3.41
354,150.66297,-34.025795,5.1,9.8,0.61,2.01,12.6,8.1,-2.43,-3.34
355,150.662965,-34.0258133,5.2,10.2,0.63,1.91,12.3,8.3,-2.38,-3.26
356,150.66296,-34.0258333,4.5,9.3,0.72,1.98,12.1,8.1,-2.31,-3.07
357,150.6629533,-34.0258583,4.8,9.5,0.63,1.98,11.6,7.7,-2.28,-3.17
358,150.6629467,-34.0258867,5.3,9,0.6,1.91,11.5,7.8,-2.22,-3.14
359,150.66294,-34.0259167,5,9.4,0.57,1.85,11.2,7.5,-2.16,-3.05
360,150.6629317,-34.02595,5.4,8.7,0.52,1.83,11.2,7.2,-2.15,-3.05
361,150.6629217,-34.025985,5.9,8.9,0.39,1.65,11.1,7.2,-2.13,-3.27
362,150.6629133,-34.02602,5.7,8.4,0.36,1.7,11.7,8,-2.24,-3.45
363,150.662905,-34.0260583,4.9,7.9,0.46,2.01,12.1,7.4,-2.39,-3.39
364,150.662895,-34.026095,4.2,6.5,0.46,2.12,11.8,7,-2.41,-3.33
365,150.6628867,-34.0261333,4.3,6.9,0.37,2.09,11.8,7.4,-2.41,-3.43
366,150.6628767,-34.0261717,3.3,6.2,0.34,1.9,11,6.7,-2.28,-3.33
367,150.6628667,-34.02621,4.2,6.1,0.34,1.94,11.1,6.8,-2.25,-3.29
368,150.6628583,-34.02625,4.6,6.2,0.36,1.91,11.3,6.8,-2.22,-3.33
369,150.66285,-34.0262883,4.7,6.6,0.32,1.82,10.9,7.1,-2.16,-3.34
370,150.6628417,-34.0263267,5,6.2,0.25,1.66,11.1,6.9,-2.24,-3.61
371,150.6628333,-34.0263617,5.6,6.1,0.15,1.71,12.1,8,-2.4,-3.91
372,150.6628283,-34.0263933,6.5,6.6,0.05,1.65,12,8,-2.42,-4.03
373,150.6628217,-34.0264217,6.4,6.4,0.02,1.74,12.2,7.9,-2.58,-4.26
374,150.6628167,-34.0264433,6,6,0.01,1.78,12.3,7.8,-2.59,-4.36
375,150.66281,-34.026465,6.1,6.1,0.05,1.75,12.4,7.9,-2.63,-4.37
376,150.6628033,-34.0264867,5.6,5.7,0.03,1.78,12,7.4,-2.65,-4.38
377,150.6627967,-34.0265083,5.6,5.2,0,1.75,11.9,7.2,-2.63,-4.43
378,150.6627917,-34.02653,5.6,5,-0.03,1.73,12.1,7,-2.66,-4.49
379,150.6627867,-34.0265517,4.7,4.6,0.05,1.77,11.7,6.7,-2.62,-4.33
380,150.6627783,-34.0265717,4.7,4.1,0.03,1.85,11.5,6.3,-2.65,-4.3
381,150.6627633,-34.026585,1.7,3.7,0.14,1.91,10.3,5.7,-2.55,-4.12
382,150.6627433,-34.02659,4,4.1,0.12,1.93,11,6,-2.6,-4.18
383,150.662725,-34.0265833,3.8,4.3,0.26,2.09,11.3,6,-2.67,-4.08
384,150.662715,-34.02657,4.5,4.7,0.23,2.2,11.5,5.6,-2.71,-4.1
385,150.6627133,-34.0265533,4.5,4.6,0.17,2.28,11.8,5.8,-2.79,-4.23
386,150.6627167,-34.0265367,4.1,4,0.23,2.29,12.1,5.9,-2.77,-4.18
387,150.6627217,-34.0265183,3.4,4.1,0.31,2.32,12.2,6,-2.83,-4.12
388,150.6627267,-34.0264983,3.4,3.5,0.33,2.37,13.3,6.4,-2.93,-4.13
389,150.6627317,-34.0264783,3.3,3.7,0.32,2.36,13.1,6.6,-2.9,-4.17
390,150.6627367,-34.0264583,3.5,3.9,0.25,2.2,12.6,6.8,-2.86,-4.27
391,150.6627417,-34.0264367,3.4,4,0.27,2.16,12.7,7.1,-2.83,-4.24
392,150.6627467,-34.0264133,4.6,4.4,0.18,2.13,13.4,7.7,-2.88,-4.38
393,150.6627533,-34.0263917,3.9,4.5,0.24,2.15,13.1,7.2,-2.86,-4.35
394,150.6627583,-34.02637,4.2,4.5,0.32,2.23,13.4,7.1,-2.87,-4.3
395,150.6627633,-34.0263483,4,4.9,0.37,2.21,13.1,7.4,-2.82,-4.15
396,150.6627683,-34.0263267,4,4.8,0.33,2.13,12.3,7,-2.68,-3.99
397,150.662775,-34.0263067,4.4,5.2,0.26,2.05,12,6.9,-2.62,-3.99
398,150.66278,-34.026285,4.4,5.2,0.26,2.03,11.7,7.1,-2.56,-3.93
399,150.6627867,-34.0262617,4,5.2,0.28,1.89,11.2,7,-2.42,-3.8
400,150.6627917,-34.02624,4.2,5.8,0.28,1.85,10.9,7,-2.31,-3.6
401,150.6627967,-34.0262183,4.1,5.2,0.29,1.83,10.8,6.4,-2.27,-3.52
402,150.6628033,-34.0261967,4,5.1,0.31,1.87,10.7,6.3,-2.26,-3.42
403,150.6628083,-34.026175,3.8,5.8,0.33,1.9,10.7,6.1,-2.24,-3.33
404,150.6628133,-34.0261517,3.9,5.3,0.33,1.95,10.4,6.1,-2.23,-3.25
405,150.6628183,-34.0261283,4.1,5.6,0.34,1.95,10.3,6,-2.23,-3.26
406,150.662825,-34.0261067,3.9,5.5,0.35,1.96,10.5,6.1,-2.23,-3.21
407,150.6628317,-34.0260833,4.3,5.9,0.36,1.97,10.8,6.6,-2.28,-3.25
408,150.6628383,-34.0260617,4.7,6.5,0.37,2.1,11.8,7,-2.43,-3.35
409,150.662845,-34.0260383,4.6,6.5,0.42,2.14,11.8,6.8,-2.41,-3.26
410,150.66285,-34.0260167,4.9,6.5,0.42,2.17,11.9,7.2,-2.44,-3.29
411,150.6628583,-34.025995,4.6,6.7,0.45,2.23,12.3,7.4,-2.5,-3.33
412,150.662865,-34.025975,4.7,6.8,0.43,2.27,12.6,7.3,-2.57,-3.38
413,150.6628683,-34.025955,4.7,6.6,0.46,2.31,12.6,7.4,-2.56,-3.39
414,150.6628633,-34.0259367,4.7,6.8,0.48,2.22,12.3,7.3,-2.49,-3.36
415,150.66285,-34.0259233,4.6,7.3,0.49,2.19,12.1,7.8,-2.5,-3.37
416,150.66283,-34.0259183,5.2,7.4,0.43,2.18,12.1,7.4,-2.48,-3.42
417,150.66281,-34.02592,4.7,7.6,0.53,2.2,11.9,7.4,-2.43,-3.33
418,150.6627933,-34.02593,5.1,8,0.55,2.16,12.2,7.3,-2.44,-3.3
419,150.662785,-34.025945,5.6,8.6,0.43,2.1,12.2,7.8,-2.45,-3.41
420,150.66278,-34.0259633,4.8,7.9,0.48,2.1,12.9,7.5,-2.42,-3.35
421,150.6627767,-34.0259817,5.2,7.3,0.44,2.12,12.4,7.4,-2.46,-3.41
422,150.6627733,-34.026,5.1,7.3,0.41,2.14,12.5,7.9,-2.5,-3.45
423,150.66277,-34.0260183,4.9,7,0.42,2.19,12.5,7.7,-2.47,-3.41
424,150.6627667,-34.0260367,4.2,6.8,0.45,2.16,12.6,7.5,-2.42,-3.28
425,150.6627633,-34.026055,4.5,6.8,0.45,2.16,12.3,7.5,-2.43,-3.3
426,150.6627617,-34.026075,4.6,6.8,0.44,2.2,12.3,7.4,-2.43,-3.29
427,150.66276,-34.0260933,4.3,6.7,0.46,2.21,11.9,7.1,-2.41,-3.22
428,150.6627567,-34.0261133,4.5,6.5,0.42,2.23,11.7,6.7,-2.4,-3.26
429,150.6627517,-34.0261317,4.2,6.4,0.43,2.16,11.5,6.7,-2.41,-3.3
430,150.6627483,-34.0261517,4.2,5.8,0.43,2.26,11.3,6.6,-2.42,-3.19
431,150.6627433,-34.0261717,4.4,6.1,0.39,2.16,10.8,6.3,-2.32,-3.2
432,150.66274,-34.0261917,4.2,5.5,0.35,2,10.3,5.8,-2.22,-3.16
433,150.6627367,-34.0262117,4.1,5.4,0.34,1.96,9.9,5.8,-2.16,-3.16
434,150.6627333,-34.0262317,3.6,5.5,0.35,1.88,9.7,5.7,-2.15,-3.12
435,150.66273,-34.0262517,3.8,5.3,0.36,1.91,9.9,5.7,-2.17,-3.12
436,150.6627267,-34.0262733,3.2,5.4,0.35,1.95,10.2,6,-2.2,-3.2
437,150.6627233,-34.0262933,3.4,5.1,0.38,1.98,10.2,5.8,-2.22,-3.21
438,150.6627183,-34.026315,3.4,5.7,0.35,1.94,10.5,6.2,-2.25,-3.28
439,150.6627133,-34.026335,4,5.3,0.28,1.86,10.8,6.5,-2.29,-3.46
440,150.6627083,-34.0263567,3.5,4.9,0.27,1.95,11.1,6.1,-2.42,-3.62
441,150.662705,-34.0263783,3.6,4.7,0.32,2.01,11.4,6.1,-2.46,-3.66
442,150.6627,-34.0264,3.8,5.1,0.34,2.1,11.8,6.8,-2.56,-3.77
443,150.662695,-34.02642,4,4.4,0.31,2.1,12,6.5,-2.62,-3.85
444,150.66269,-34.0264417,4,4.4,0.29,2.13,12.2,6.6,-2.73,-4.05
445,150.662685,-34.0264633,3.8,4.3,0.29,2.18,12.8,6.9,-2.87,-4.21
446,150.66268,-34.0264833,3.7,3.8,0.24,2.22,12.3,6.2,-2.88,-4.23
447,150.6626767,-34.0265033,4,4.4,0.15,2.13,12.6,6.9,-2.88,-4.3
448,150.6626717,-34.0265233,3.8,3.8,0.21,2.13,12.2,6.7,-2.84,-4.24
449,150.6626667,-34.0265417,3.5,3.7,0.24,2.26,13,6.6,-2.96,-4.24
450,150.662655,-34.026555,3,3.6,0.32,2.39,12.8,6.3,-2.93,-4.14
451,150.6626367,-34.0265583,3.2,3.9,0.27,2.38,12.9,6.3,-2.95,-4.17
452,150.6626217,-34.0265533,3,3.5,0.4,2.49,12.5,5.9,-2.9,-3.99
453,150.6626117,-34.02654,3.1,4,0.47,2.66,11.9,5.6,-2.89,-4.02
454,150.6626117,-34.0265267,3.5,4.6,0.46,2.72,11.4,4.7,-2.84,-3.89
455,150.6626167,-34.0265117,3.1,4.6,0.48,2.81,11.2,4.9,-2.87,-3.92
456,150.6626217,-34.0264967,2.7,4.1,0.42,2.7,11.7,4.9,-2.89,-3.95
457,150.6626283,-34.02648,2.4,3.4,0.43,2.57,12.2,5.4,-2.91,-3.98
458,150.6626333,-34.026465,2.4,3,0.34,2.41,12.2,6,-2.89,-4.03
459,150.66264,-34.0264483,2.7,3.6,0.35,2.34,12.3,5.7,-2.82,-4.03
460,150.6626467,-34.0264317,2.8,3.3,0.35,2.31,12.7,6.3,-2.88,-4.05
461,150.6626517,-34.026415,2.3,3.4,0.28,2.25,12.3,6,-2.85,-4.04
462,150.6626583,-34.0263967,3.7,3.8,0.14,2.15,12.5,6.3,-2.89,-4.31
463,150.662665,-34.0263767,3.4,4,0.33,2.29,12.8,6.3,-2.91,-4.15
464,150.6626717,-34.0263567,4,4.1,0.28,2.31,13.4,7.1,-2.92,-4.21
465,150.6626783,-34.0263367,3.8,4.4,0.31,2.23,13,6.8,-2.8,-4.03
466,150.662685,-34.0263167,4,4.7,0.33,2.18,12.5,7.1,-2.69,-3.89
467,150.6626917,-34.0262967,4.3,4.6,0.33,2.15,12.1,6.8,-2.55,-3.7
468,150.6626967,-34.026275,4.1,4.9,0.3,2.01,11.2,6.8,-2.41,-3.56
469,150.6627017,-34.0262533,3.8,5,0.31,1.93,10.6,6.4,-2.28,-3.41
470,150.6627083,-34.0262317,3.5,5.1,0.27,1.89,10,6,-2.21,-3.3
471,150.6627133,-34.0262083,4,5.1,0.31,1.9,10.1,6.1,-2.19,-3.26
472,150.6627183,-34.0261867,3.6,5.1,0.35,1.94,10,5.7,-2.19,-3.17
473,150.6627233,-34.0261633,3.4,5.1,0.32,1.95,9.9,5.5,-2.18,-3.17
474,150.6627267,-34.02614,3.8,5.3,0.36,1.95,9.8,5.8,-2.15,-3.06
475,150.6627333,-34.0261167,4.1,5.6,0.33,1.86,9.7,6,-2.1,-3.06
476,150.6627383,-34.0260933,3.6,5.4,0.36,1.89,10.1,6,-2.11,-3.04
477,150.6627433,-34.0260683,4,5.8,0.35,1.97,10.5,6.1,-2.22,-3.11
478,150.66275,-34.026045,3.9,5.8,0.39,2.12,11.4,6.3,-2.35,-3.16
479,150.6627567,-34.0260217,4.6,6.3,0.38,2.13,11.8,7,-2.32,-3.19
480,150.6627617,-34.026,4.6,6.9,0.37,2.05,11.9,7,-2.35,-3.25
481,150.6627683,-34.0259783,4.5,7.1,0.4,2.1,12.1,7.4,-2.39,-3.21
482,150.662775,-34.0259583,4.6,6.4,0.4,2.13,12.2,7.3,-2.4,-3.27
483,150.6627767,-34.02594,5.2,6.8,0.38,2.09,12.4,7.4,-2.41,-3.32
484,150.6627683,-34.0259233,5.3,6.6,0.42,2.12,12.4,7.7,-2.45,-3.38
485,150.6627517,-34.025915,5.1,7.2,0.41,2.22,12.8,7.4,-2.5,-3.4
486,150.6627317,-34.025915,5.1,7,0.41,2.29,12.3,7.3,-2.48,-3.41
487,150.662715,-34.025925,4.8,7.2,0.49,2.29,12.2,7,-2.45,-3.36
488,150.6627017,-34.0259383,5,7.6,0.55,2.32,11.9,7.1,-2.4,-3.34
489,150.6626967,-34.0259533,5.3,7.3,0.48,2.32,12.2,7.1,-2.46,-3.34
490,150.6626933,-34.0259717,4.4,7.1,0.42,2.18,12.1,7.5,-2.43,-3.39
491,150.66269,-34.0259883,4.8,7.2,0.42,2.1,12.2,7.7,-2.39,-3.29
492,150.6626867,-34.0260067,4.9,7.6,0.4,2.07,12.3,7.6,-2.37,-3.27
493,150.6626833,-34.026025,4.5,6.6,0.37,2.08,12.5,7.2,-2.42,-3.37
494,150.66268,-34.0260433,4.4,6.5,0.38,2.13,12.3,7.3,-2.42,-3.36
495,150.662675,-34.0260617,4.6,6.8,0.37,2.16,12.1,7,-2.4,-3.34
496,150.6626717,-34.02608,4.3,6.3,0.39,2.15,11.6,6.8,-2.33,-3.24
497,150.6626683,-34.0261,4.3,6.4,0.38,2.02,11.2,6.9,-2.27,-3.18
498,150.6626633,-34.02612,4.7,6.1,0.36,2.06,11.2,6.7,-2.27,-3.15
499,150.66266,-34.02614,4.8,6.1,0.39,2.14,10.9,6.4,-2.32,-3.08
500,150.6626567,-34.02616,4.3,6,0.39,2.13,10,6.1,-2.23,-3.04
501,150.6626517,-34.02618,4,6.1,0.38,2.07,9.8,5.8,-2.2,-3.04
502,150.6626467,-34.0262017,4,5.6,0.37,2.03,9.6,5.3,-2.17,-3.09
503,150.6626417,-34.0262233,3.7,5.7,0.39,2,9.6,5.9,-2.16,-3.08
504,150.6626383,-34.0262433,3.4,5.2,0.41,2.03,9.6,5.3,-2.16,-3.01
505,150.6626317,-34.026265,3.5,5.5,0.43,2.02,9.5,5.4,-2.17,-3.02
506,150.6626267,-34.0262867,3,5.4,0.47,2.1,9.9,5.4,-2.23,-3.03
507,150.66262,-34.0263083,3,5.1,0.45,2.11,10.1,5.7,-2.2,-3.01
508,150.662615,-34.02633,3.3,5.1,0.42,2.05,10,5.7,-2.21,-3.1
509,150.6626083,-34.0263517,3.1,5.1,0.42,2.05,10.4,6.3,-2.28,-3.25
510,150.6626033,-34.0263733,3.5,5.1,0.4,2.09,11.2,6.3,-2.36,-3.38
511,150.6625983,-34.026395,3.7,5.1,0.35,2.11,11.8,6.3,-2.51,-3.58
512,150.6625917,-34.0264183,3.8,5.2,0.38,2.24,12.7,6.8,-2.74,-3.84
513,150.6625867,-34.0264383,2.1,4.1,0.24,2.31,13.3,6.8,-2.93,-4.1
514,150.66258,-34.02646,3.6,4.5,0.31,2.41,13.5,6.7,-3,-4.14
515,150.662575,-34.0264817,3.6,3.5,0.31,2.38,12.8,6,-2.93,-4.07
516,150.6625683,-34.0265017,3.1,3.9,0.27,2.28,12.1,5.8,-2.85,-4.07
517,150.6625617,-34.0265217,2.7,3.5,0.34,2.33,12.3,5.9,-2.85,-3.95
518,150.6625533,-34.02654,2.8,3.3,0.34,2.37,12.2,5.6,-2.87,-3.99
519,150.662535,-34.0265483,2.4,3.3,0.37,2.38,12,5.3,-2.88,-4
520,150.662515,-34.0265483,2.1,3.5,0.48,2.46,12.5,5.2,-2.81,-3.75
521,150.6624983,-34.02654,2.6,3.7,0.4,2.46,11.5,5.3,-2.81,-3.83
522,150.6624917,-34.026525,2.8,4,0.48,2.58,11.2,4.6,-2.8,-3.7
523,150.662495,-34.0265067,2.8,4,0.5,2.67,11.1,5,-2.78,-3.73
524,150.6625,-34.02649,2.7,4.3,0.46,2.6,11.7,5.5,-2.85,-3.77
525,150.6625067,-34.0264717,2.7,3.6,0.43,2.55,12.1,5.7,-2.87,-3.84
526,150.6625117,-34.0264517,2.4,3.4,0.47,2.47,12.3,5.8,-2.86,-3.84
527,150.6625167,-34.0264317,2.7,3.6,0.36,2.39,12.3,5.6,-2.9,-3.92
528,150.6625217,-34.02641,2.6,3.7,0.35,2.41,12.5,5.7,-2.89,-3.88
529,150.6625283,-34.0263867,2.8,3.9,0.39,2.44,12.6,6.4,-2.88,-3.89
530,150.662535,-34.0263633,3.1,4.7,0.31,2.38,12.6,6.5,-2.86,-3.95
531,150.6625417,-34.0263383,2.5,4,0.22,2.28,13,6.9,-2.75,-3.87
532,150.6625467,-34.026315,3.7,4.8,0.3,2.14,12.7,6.4,-2.68,-3.8
533,150.6625533,-34.0262917,4.4,5.4,0.37,2.2,13,7.2,-2.58,-3.61
534,150.66256,-34.0262683,4.7,5.5,0.38,2.2,13.7,6.8,-2.48,-3.39
535,150.6625667,-34.026245,3.8,5.5,0.42,2.11,10.7,6.2,-2.28,-3.15
536,150.662575,-34.0262217,3.8,5.7,0.45,2.03,10.1,5.7,-2.18,-2.97
537,150.6625817,-34.0261983,3.9,5.5,0.43,2.06,10,5.5,-2.18,-2.92
538,150.6625883,-34.026175,3.8,5.1,0.44,2.15,10.2,5.7,-2.23,-2.93
539,150.6625967,-34.0261517,3.6,5.4,0.42,2.17,10,5.6,-2.21,-2.9
540,150.6626033,-34.02613,3.7,5.6,0.4,2.1,9.9,5.7,-2.16,-2.92
541,150.66261,-34.0261067,3.2,5.5,0.38,2.02,9.6,5.6,-2.14,-2.94
542,150.6626183,-34.0260833,3.8,5.6,0.36,2.07,10.1,6.1,-2.19,-3.02
543,150.662625,-34.02606,3.4,5.7,0.4,2.1,10.2,6.3,-2.17,-2.94
544,150.6626333,-34.0260367,3.8,6.2,0.43,2.1,10.8,6.4,-2.2,-2.94
545,150.66264,-34.0260133,4,6.2,0.4,2.11,11,6.8,-2.23,-2.96
546,150.6626483,-34.0259917,4.4,7,0.37,2.03,11,6.9,-2.19,-3.1
547,150.662655,-34.0259683,4.2,6.8,0.42,2.1,11.5,6.9,-2.28,-3.1
548,150.66266,-34.0259483,4.3,6.5,0.41,2.12,11.8,7.2,-2.31,-3.1
549,150.6626617,-34.0259283,4.6,6.7,0.41,2.04,11.9,7.4,-2.32,-3.17
550,150.66265,-34.0259133,4.9,6.8,0.43,2.16,12.4,7.7,-2.41,-3.26
551,150.6626317,-34.0259067,5.3,7.1,0.44,2.19,12.7,7.3,-2.46,-3.3
552,150.6626133,-34.0259067,5.8,7.7,0.39,2.28,12.7,7.6,-2.53,-3.36
553,150.662595,-34.025915,5.5,7.1,0.47,2.37,12.6,7.8,-2.53,-3.27
554,150.6625833,-34.0259283,5.6,7.5,0.53,2.39,12.5,7.4,-2.53,-3.24
555,150.662575,-34.0259433,5.1,7.9,0.53,2.4,12.6,7.5,-2.56,-3.25
556,150.6625717,-34.0259617,5.1,7.5,0.51,2.4,12.8,7.6,-2.58,-3.27
557,150.6625683,-34.0259783,5.2,7.9,0.48,2.32,13,7.7,-2.59,-3.3
558,150.662565,-34.025995,5,7.5,0.44,2.3,12.5,7.6,-2.48,-3.22
559,150.6625617,-34.0260133,4.5,7.2,0.44,2.15,12.1,7.4,-2.37,-3.11
560,150.66256,-34.0260333,4.7,7.2,0.44,2.15,11.9,7.6,-2.36,-3.11
561,150.6625567,-34.0260517,4.7,7.1,0.38,2.11,11.6,7.3,-2.29,-3.07
562,150.6625533,-34.0260717,4.7,6.8,0.37,2.03,11,6.8,-2.23,-3.12
563,150.66255,-34.02609,4.8,6.8,0.31,1.94,10.7,6.9,-2.14,-3.13
564,150.6625467,-34.02611,4.6,7,0.31,1.94,10.7,6.7,-2.2,-3.1
565,150.6625433,-34.02613,3.7,6.1,0.38,2.1,10.3,5.7,-2.23,-3
566,150.6625383,-34.02615,3.6,5.8,0.4,2.1,9.8,5.7,-2.18,-2.94
567,150.662535,-34.0261717,3.7,5.5,0.4,2.06,9.7,5.3,-2.13,-2.87
568,150.66253,-34.0261933,3.9,5.5,0.37,2,9.6,5.5,-2.06,-2.83
569,150.6625267,-34.026215,4,5.9,0.39,2,9.6,5.6,-2.08,-2.83
570,150.6625217,-34.0262367,3.6,5.6,0.4,2.08,9.6,5.4,-2.14,-2.86
571,150.6625167,-34.0262583,3.8,5.3,0.42,2.12,9.9,5.2,-2.18,-2.86
572,150.6625117,-34.02628,2.8,5,0.39,2.09,9.9,5.4,-2.18,-2.85
573,150.6625067,-34.0263017,3.1,5.6,0.41,2.03,9.9,6,-2.13,-2.9
574,150.6625017,-34.0263233,3.5,5.3,0.42,2.01,10.3,5.9,-2.16,-3
575,150.6624967,-34.026345,3.3,5.5,0.4,2.03,10.6,6,-2.26,-3.15
576,150.6624917,-34.0263683,3.7,5.5,0.37,2.06,11.1,6.2,-2.38,-3.29
577,150.6624867,-34.02639,3.7,5.3,0.35,2.16,11.7,6.5,-2.52,-3.54
578,150.6624817,-34.0264117,4,5.5,0.29,2.23,12.6,6.7,-2.71,-3.78
579,150.6624767,-34.0264333,3.8,5.1,0.29,2.32,13,7,-2.83,-3.93
580,150.6624733,-34.026455,3,4.6,0.34,2.43,12.8,6.6,-2.9,-3.96
581,150.6624683,-34.026475,3.1,4.2,0.34,2.47,13.2,6.4,-2.97,-3.98
582,150.662465,-34.026495,2.6,3.7,0.35,2.45,12.5,6.1,-2.9,-3.88
583,150.66246,-34.026515,2.9,4.1,0.35,2.44,12.7,6,-2.96,-3.94
