start,end,direction
3407,3792,0
3831,4165,1
4221,4587,0
4625,4980,1
5017,5386,0
5423,5738,1
5776,6162,0
6200,6493,1
6530,6842,0
6880,7172,1
7209,7506,0
7542,7817,1
