ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 
3387.0,-34.02489725,150.66307567,6.432000160217285,140041,43372.0,7.483388
3390.0,-34.02489789,150.66307977,4.288000106811523,140042,43460.0,7.49
3392.0,-34.02489732,150.66308376,3.2160000801086426,140043,42534.0,7.489999
3393.0,-34.02489677,150.66308829,3.2160000801086426,140044,43456.0,7.49
3396.0,-34.02489688,150.66309334,3.2160000801086426,140045,43935.0,7.48
3397.0,-34.02489767,150.66309822,3.2160000801086426,140046,42664.0,7.49
1.0,-34.02489838,150.66310217,3.2160000801086426,140047,7.49,7.48
3401.0,-34.02489933,150.66310712,3.2160000801086426,140048,43538.0,7.49
3402.0,-34.02489986,150.66311152,3.2160000801086426,140049,43301.0,7.49
3405.0,-34.02490009,150.66311385,3.2160000801086426,140050,42498.0,7.48
3407.0,-34.0249002,150.66311525,3.2160000801086426,140051,43031.0,7.48
3408.0,-34.02490017,150.66311614,3.2160000801086426,140052,43526.0,7.48
3410.0,-34.02490155,150.66312049,3.2160000801086426,140053,43425.0,7.49
3412.0,-34.02490996,150.66312442,3.2160000801086426,140054,43028.0,7.5
3414.0,-34.02492455,150.6631259,3.2160000801086426,140055,43207.0,7.52
3416.0,-34.02494144,150.66312705,3.2160000801086426,140056,43165.0,7.55
3417.0,-34.02495681,150.66312625,3.2160000801086426,140057,42787.0,7.539999
0.0,-34.02496949,150.66312553,3.2160000801086426,140058,7.52,7.52
3421.0,-34.02497706,150.66312658,3.2160000801086426,140059,43077.0,7.5
3423.0,-34.02498431,150.66312666,3.2160000801086426,140100,43579.0,7.490001
3425.0,-34.02499228,150.66312802,3.2160000801086426,140101,42927.0,7.49
3427.0,-34.024998,150.66313024,3.2160000801086426,140102,43041.0,7.5
3429.0,-34.02500376,150.66313257,3.2160000801086426,140103,42856.0,7.51
3430.0,-34.02501271,150.66313409,3.2160000801086426,140104,42844.0,7.51
3432.0,-34.02502166,150.66313542,3.2160000801086426,140105,43554.0,7.5
3434.0,-34.02503147,150.66313553,3.2160000801086426,140106,43770.0,7.51
3436.0,-34.02504117,150.66313592,3.2160000801086426,140107,43742.0,7.51
3438.0,-34.02504978,150.66313644,3.2160000801086426,140108,43840.0,7.5
3439.0,-34.02505788,150.66313627,3.2160000801086426,140109,42497.0,7.5
3441.0,-34.02506662,150.66313519,3.2160000801086426,140110,43312.0,7.51
3443.0,-34.02507481,150.66313428,3.2160000801086426,140111,43799.0,7.49
3445.0,-34.02508287,150.66313387,3.2160000801086426,140112,43578.0,7.5
3446.0,-34.02509088,150.66313389,3.2160000801086426,140113,43797.0,7.5
3449.0,-34.02509821,150.66313472,3.2160000801086426,140114,43079.0,7.5
3450.0,-34.02510617,150.66313509,3.2160000801086426,140115,43781.0,7.5
3452.0,-34.02511409,150.66313507,3.2160000801086426,140116,42965.0,7.5
3454.0,-34.02512286,150.66313408,3.2160000801086426,140117,43602.0,7.5
0.0,-34.02513163,150.66313365,3.2160000801086426,140118,7.51,7.5
3458.0,-34.02513888,150.66313257,3.2160000801086426,140119,43574.0,7.51
3460.0,-34.0251453,150.66313087,3.2160000801086426,140120,42860.0,7.489999
3461.0,-34.02515329,150.66312882,3.2160000801086426,140121,43322.0,7.51
3463.0,-34.02516204,150.6631271,3.2160000801086426,140122,43671.0,7.5
3465.0,-34.02516964,150.66312586,3.2160000801086426,140123,43318.0,7.51
3467.0,-34.0251764,150.66312486,3.2160000801086426,140124,42635.0,7.49
3468.0,-34.02518321,150.66312342,3.2160000801086426,140125,43230.0,7.49
3471.0,-34.02519046,150.66312151,3.2160000801086426,140126,44190.0,7.5
3472.0,-34.02519788,150.66311848,3.2160000801086426,140127,43905.0,7.51
3474.0,-34.02520577,150.66311351,3.2160000801086426,140128,43697.0,7.5
3475.0,-34.02521345,150.66310966,3.2160000801086426,140129,42840.0,7.5
3478.0,-34.02522185,150.66310661,3.2160000801086426,140130,43284.0,7.5
3480.0,-34.02523089,150.66310321,3.2160000801086426,140131,43794.0,7.49
3482.0,-34.02523791,150.66309948,3.2160000801086426,140132,43882.0,7.51
3483.0,-34.02524428,150.66309571,3.2160000801086426,140133,43781.0,7.5
3484.0,-34.02525071,150.66309203,3.2160000801086426,140134,43793.0,7.500001
3487.0,-34.02525667,150.66308845,3.2160000801086426,140135,43779.0,7.51
13489.0,-34.02526366,150.66308435,3.2160000801086426,140136,43646.0,7.51
3490.0,-34.02527578,150.66307558,3.2160000801086426,140137,43642.0,7.5
3492.0,-34.02528787,150.66306726,3.2160000801086426,140138,43658.0,7.49
3494.0,-34.02529888,150.66305955,3.2160000801086426,140139,43800.0,7.5
3496.0,-34.02530879,150.66305453,3.2160000801086426,140140,43642.0,7.51
3498.0,-34.02531846,150.66305059,3.2160000801086426,140141,42497.0,7.5
3500.0,-34.02532778,150.66304731,3.2160000801086426,140142,43510.0,7.5
3501.0,-34.02533628,150.66304531,3.2160000801086426,140143,42501.0,7.49
3503.0,-34.02534358,150.66304389,3.2160000801086426,140144,43504.0,7.5
3505.0,-34.02535097,150.66304261,3.2160000801086426,140145,43204.0,7.5
3506.0,-34.02536017,150.66304078,3.2160000801086426,140146,43429.0,7.53507
0.0,-34.02536865,150.66303922,3.2160000801086426,140147,7.49,7.49
3510.0,-34.0253769,150.66303775,3.2160000801086426,140148,43615.0,7.5
3512.0,-34.02538714,150.66303667,3.2160000801086426,140149,43527.0,7.5
3513.0,-34.02539813,150.66303454,3.2160000801086426,140150,43674.0,7.5
3516.0,-34.02540855,150.66303297,3.2160000801086426,140151,42853.0,7.5
