ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 ,Amp,Shift,Voltage,Temp,Humidity,Hs,Hp
3387.0,-34.02489725,150.66307567,6.43200016021729,140041,43372.0,7.4833880000000015,43338.77699999994,7.48,12.35724099999811,30.576046499999922,20.66987,-84.52646036363448,43333.11761946387
3390.0,-34.02489789,150.66307977,4.28800010681152,140042,43460.0,7.49,43362.41549999994,7.49,12.350001999998106,30.584992499999924,20.68666,-313.56528027504595,43360.91493250627
3392.0,-34.02489732,150.66308376,3.2160000801086404,140043,42534.0,7.489999000000001,43376.695499999936,7.489999000000001,12.344830999998104,30.59260299999993,20.66987,-354.4776042587397,43374.98084109188
3393.0,-34.02489677,150.66308829,3.2160000801086404,140044,43456.0,7.49,43355.07149999994,7.49,12.346899499998104,30.59473899999993,20.65461,-354.3417375536285,43353.357267931126
3396.0,-34.02489688,150.66309334,3.2160000801086404,140045,43935.0,7.48,43325.51699999995,7.48,12.343624499998105,30.603150499999927,20.68818,-394.8292719308165,43323.506200546886
3397.0,-34.02489767,150.66309822,3.2160000801086404,140046,42664.0,7.49,43289.86799999994,7.49,12.340177499998102,30.605286499999927,20.75685,-394.3813051750148,43287.86001524207
3398.0,-34.02489838,150.66310217,3.2160000801086404,140047,7.49,7.48,43272.78299999995,7.48,12.3356959999981,30.608089999999933,20.793470000000006,-394.16661438360774,43270.77636420185
3401.0,-34.02489933,150.66310712,3.2160000801086404,140048,43538.0,7.49,43310.844999999936,7.49,12.3320759999981,30.619971999999944,20.86061,-394.58482280143403,43308.83592524558
3402.0,-34.02489986,150.66311152,3.2160000801086404,140049,43301.0,7.49,43328.235999999946,7.49,12.3279394999981,30.62344299999994,20.91249,-394.69409295813904,43326.22658196213
3405.0,-34.02490009,150.66311385,3.2160000801086404,140050,42498.0,7.48,43325.15099999994,7.48,12.332765499998095,30.632654499999934,20.74159,-299.83804118186487,43322.928651261056
3407.0,-34.024900200000005,150.66311525,3.2160000801086404,140051,43031.0,7.48,43264.922499999935,7.48,12.340694499998095,30.639062499999934,20.793470000000006,-149.77457233660743,43261.81032846216
3408.0,-34.02490017,150.66311614,3.2160000801086404,140052,43526.0,7.48,43271.09349999994,7.48,12.344486499998094,30.64333499999993,20.846870000000006,-82.60923643939105,43267.3478252051
3410.0,-34.02490155,150.66312049,3.2160000801086404,140053,43425.0,7.49,43208.261499999935,7.49,12.351035999998093,30.649610499999927,20.86214,25.915095874535538,43204.17917936908
3412.0,-34.02490996,150.66312442,3.2160000801086404,140054,43028.0,7.5,43198.90299999993,7.5,12.358964499998093,30.655217999999927,20.89876,94.23414133441902,43194.86256700766
3414.0,-34.02492455,150.6631259,3.2160000801086404,140055,43207.0,7.52,43220.02549999994,7.52,12.359136999998093,30.661493499999928,20.94911,107.79702634202476,43216.027680508436
3416.0,-34.02494144,150.66312705,3.2160000801086404,140056,43165.0,7.55,43264.109999999935,7.55,12.366203999998092,30.667768999999925,20.98573,148.2223952928175,43260.408552593595
3417.0,-34.02495681,150.66312625,3.2160000801086404,140057,42787.0,7.539999000000001,43285.096499999934,7.539999000000001,12.367237999998093,30.669905499999924,20.95217,175.2356237960999,43281.564783947615
3418.0,-34.02496949,150.66312553,3.2160000801086404,140058,7.52,7.52,43285.606499999936,7.53,12.369650999998093,30.672709499999925,20.95217,202.27224398262518,43282.24466227784
3421.0,-34.02497706,150.66312658,3.2160000801086404,140059,43077.0,7.5,43232.958499999935,7.5,12.367410999998093,30.67965299999991,21.00405,297.7573592696091,43229.726577014175
3423.0,-34.02498431,150.66312666,3.2160000801086404,140100,43579.0,7.490000999999999,43256.29099999993,7.490000999999999,12.362929499998089,30.684593999999908,20.98573,325.0688100793649,43253.05913540257
3425.0,-34.02499228,150.66312802,3.2160000801086404,140101,42927.0,7.49,43309.075999999935,7.49,12.360860999998085,30.6894014999999,20.93385,284.60835883150054,43306.141559970136
3427.0,-34.024998,150.66313024,3.2160000801086404,140102,43041.0,7.5,43359.61699999993,7.5,12.359826499998086,30.69273999999989,20.8835,203.3608984564769,43357.875254822946
3429.0,-34.02500376,150.66313257,3.2160000801086404,140103,42856.0,7.51,43434.867499999935,7.51,12.358447499998086,30.69621149999989,20.72786,109.08667974773432,43434.18319654883
3430.0,-34.02501271,150.66313409,3.2160000801086404,140104,42844.0,7.51,43413.03949999993,7.51,12.358102999998085,30.69768049999989,20.71107,82.1109420244439,43412.52469233823
3432.0,-34.02502166,150.66313542,3.2160000801086404,140105,43554.0,7.5,43401.76849999993,7.5,12.356379499998082,30.701152499999885,20.60884,81.87003122246023,43401.340551922025
3434.0,-34.02503147,150.66313553,3.2160000801086404,140106,43770.0,7.51,43419.75849999993,7.51,12.354483499998086,30.70462399999989,20.60884,95.53755389217044,43419.28716637398
3436.0,-34.02504117,150.66313592,3.2160000801086404,140107,43742.0,7.51,43449.853499999925,7.51,12.348794999998086,30.70889699999989,20.57374,109.02360613583036,43449.42453419602
3438.0,-34.02504978,150.66313644,3.2160000801086404,140108,43840.0,7.5,43521.90649999993,7.5,12.352241999998084,30.713169999999884,20.59205,122.87751446766987,43521.434010716184
3439.0,-34.02505788,150.66313627,3.2160000801086404,140109,42497.0,7.5,43502.99149999993,7.5,12.353620499998081,30.713971499999882,20.59205,109.06060757064354,43502.56241795219
3441.0,-34.02506662,150.66313519,3.2160000801086404,140110,43312.0,7.51,43560.98999999994,7.51,12.35741249999808,30.717576999999885,20.55848,82.13721001534469,43560.64550057843
