ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 ,Amp,Shift,Voltage,Temp,Humidity,Hs,Hp
7904.0,-34.02486825,150.66320268,3.2160000801086404,105617,42700.0,7.679999,42576.20100000016,7.679999,11.890998000000005,27.13732799999971,44.55329,4592.369686543083,42327.669062825065
7906.0,-34.02486825,150.66320316,3.2160000801086404,105618,42881.0,7.67,42555.02250000016,7.67,11.886861000000005,27.142267999999717,44.54414000000001,4603.182543396664,42305.168242482585
7908.0,-34.02486827,150.6632034,3.2160000801086404,105619,42787.0,7.67,42482.32150000016,7.67,11.886516000000006,27.147208499999717,44.46937,4582.050793569636,42234.35885397332
7910.0,-34.02486828,150.66320352,3.2160000801086404,105620,42275.0,7.68,42425.56300000016,7.68,11.888067500000005,27.151480999999727,44.40528,4575.999687358411,42177.92383438556
7912.0,-34.02486828,150.66320358,3.2160000801086404,105621,42747.0,7.67,42416.95800000015,7.67,11.884620000000005,27.156421499999727,44.32746,4575.082298375874,42169.367876084194
7914.0,-34.02486828,150.66320362,3.2160000801086404,105622,41858.0,7.68,42434.46050000016,7.68,11.881345000000005,27.161228499999726,44.24964,4576.950908505001,42186.7703417006
7915.0,-34.02486828,150.66320364,3.2160000801086404,105623,42423.0,7.67,42427.65200000016,7.67,11.882551500000005,27.16469999999973,44.17335,4562.894060413322,42181.47239931713
7917.0,-34.02486827,150.66320366,3.2160000801086404,105624,42649.0,7.67,42429.48800000016,7.67,11.879449000000005,27.170307999999718,44.14893,4576.220529534293,42181.84828522474
7919.0,-34.02486827,150.66320367,3.2160000801086404,105625,42633.0,7.670000999999999,42424.84700000016,7.670000999999999,11.884620000000005,27.174313999999715,44.09553,4602.367404403482,42174.292468914915
7921.0,-34.02486826,150.66320369,3.2160000801086404,105626,42687.0,7.67,42462.84250000015,7.67,11.884964500000004,27.179254499999708,44.12299,4606.5739014442515,42212.054229313064
7923.0,-34.02486826,150.66320369999997,3.2160000801086404,105627,42633.0,7.670000999999999,42440.412500000144,7.670000999999999,11.887894500000005,27.184862499999703,44.20081,4604.1923248355715,42189.75099466597
7924.0,-34.02486891,150.6632032,3.2160000801086404,105628,42564.0,7.670000999999999,42459.91050000015,7.670000999999999,11.893410000000005,27.187666499999704,44.24048,4606.27102912163,42209.13787147713
7926.0,-34.02487454,150.66320337,3.2160000801086404,105629,42054.0,7.68,42440.70900000015,7.68,11.900304500000004,27.192606499999695,44.3595,4604.243523208585,42190.04364229669
7928.0,-34.02487959,150.66320251,3.2160000801086404,105630,42811.0,7.68,42461.33900000015,7.68,11.898926000000005,27.19621099999969,44.5243,4606.442911321285,42210.556067602585
7930.0,-34.02488338,150.66320265,3.2160000801086404,105631,42205.0,7.68,42479.49500000015,7.67,11.897202000000005,27.20248599999969,44.64332,4608.378541080547,42228.60859300585
7931.0,-34.02488243,150.66320167,3.2160000801086404,105632,42263.0,7.67,42490.29550000015,7.67,11.900994000000004,27.20595699999969,44.64332,4609.529994852296,42239.34753869253
7934.0,-34.02487998,150.66320275,3.2160000801086404,105633,41920.0,7.68,42487.47750000014,7.68,11.903925000000005,27.213032499999684,44.52888,4622.464369058687,42235.08446302816
7935.0,-34.02487771,150.66320262,3.2160000801086404,105634,41977.0,7.67,42497.346000000136,7.67,11.908751500000005,27.215168499999685,44.48921,4650.211123586052,42241.86467811193
7937.0,-34.024876500000005,150.66320305,3.2160000801086404,105635,42730.0,7.67,42498.44150000014,7.67,11.909096000000005,27.219306999999684,44.52888,4676.779218864347,42239.949979403886
7939.0,-34.02487434,150.66320469999997,3.2160000801086404,105636,42557.0,7.670000999999999,42358.829000000136,7.670000999999999,11.912888000000004,27.224913999999682,44.50294,4661.023056831198,42101.229420313924
7941.0,-34.02487217,150.66320677,3.2160000801086404,105637,42951.0,7.67,42340.01350000014,7.67,11.909096000000005,27.23132299999968,44.59297,4685.287561882904,42079.536804208656
7943.0,-34.02487135,150.66320701,3.2160000801086404,105638,42392.0,7.679999,42297.342000000135,7.679999,11.909268500000005,27.236930999999682,44.7364,4746.210120409016,42029.37858277355
7945.0,-34.02487585,150.66320533,3.2160000801086404,105639,42494.0,7.68,42271.897000000135,7.68,11.901684500000005,27.24253899999968,44.77607,4795.839921601391,41997.967909694045
7946.0,-34.02488365,150.66320397,3.2160000801086404,105640,42149.0,7.69,42281.15350000015,7.69,11.897548000000004,27.24534299999969,44.8539,4836.2949796820085,42002.56313761156
7947.0,-34.02489111,150.6632015,3.2160000801086404,105641,41566.0,7.687948,42266.10850000014,7.68,11.898582000000005,27.24881449999969,44.8539,4873.6880201444155,41983.05038545431
7950.0,-34.0249006,150.66319924,3.2160000801086404,105642,42331.0,7.69,42215.819500000136,7.69,11.899271500000005,27.25589149999969,44.86916,4987.2340502069455,41919.16372305041
7952.0,-34.02491353,150.66319769,3.2160000801086404,105643,42164.0,7.7000009999999985,42174.418000000136,7.7000009999999985,11.899099000000005,27.26149949999969,44.83101,5049.071176564785,41870.346440262234
7954.0,-34.02492592,150.66319414,3.2160000801086404,105644,42474.0,7.69,42103.961500000136,7.69,11.898754000000006,27.26844349999969,44.6891,5080.309727626891,41795.76618808544
7955.0,-34.0249388,150.66319139,3.2160000801086404,105645,42162.0,7.7,42083.51050000015,7.7,11.895651000000004,27.27057999999969,44.56092,5064.658468699924,41777.003869691056
7956.0,-34.02495134,150.66318917,3.2160000801086404,105646,7.7,7.7,42003.714500000155,7.7,11.898753500000005,27.27271649999969,44.45716,5081.167474912312,41694.657175051776
