ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 ,Data1_ave7
179,-34.0248815,150.66316301,3.21600008010864,114101,73,9.18,73
181,-34.02488175,150.66316643,3.21600008010864,114102,73,9,73
183,-34.02488237,150.66316848,3.21600008010864,114103,73,9.18,73
184,-34.0248845,150.66316886,3.21600008010864,114104,72,9.18,72.4285714285714
186,-34.02488683,150.66317116,3.21600008010864,114105,72,9.2,72.2857142857143
188,-34.02488672,150.66317109,3.21600008010864,114106,72,9.21,72.1428571428571
189,-34.02488714,150.6631725,3.21600008010864,114107,72,9.21,72
191,-34.02488869,150.6631733,3.21600008010864,114108,72,9.2,72
193,-34.02488831,150.66317776,3.21600008010864,114109,72,9.19,72.1428571428571
194,-34.02488785,150.66318038,3.21600008010864,114110,72,9.2,72.2857142857143
196,-34.02488794,150.66318411,3.21600008010864,114111,72,9.2,72.5714285714286
198,-34.02488846,150.66318645,3.21600008010864,114112,73,9.21,73
199,-34.02489274,150.6631888,3.21600008010864,114113,73,9.21,73.4285714285714
201,-34.02489463,150.6631895,3.21600008010864,114114,74,9.21,74
203,-34.02489517,150.66318916,3.21600008010864,114115,75,9.2,74.4285714285714
204,-34.02489376,150.66318709,3.21600008010864,114116,75,9.2,74.7142857142857
206,-34.02489183,150.66318576,3.21600008010864,114117,76,9.19,75
208,-34.02489212,150.66318558,3.21600008010864,114118,75,9.18,75.2857142857143
209,-34.02489316,150.66318568,3.21600008010864,114119,75,9.17,75.5714285714286
211,-34.02489424,150.66318527,3.21600008010864,114120,75,9.17,75.7142857142857
213,-34.02489568,150.66318659,3.21600008010864,114121,76,9.18,75.2857142857143
214,-34.02489707,150.66318787,3.21600008010864,114122,77,9.18,75
216,-34.02489769,150.6631884,3.21600008010864,114123,76,9.17,74.7142857142857
218,-34.02489792,150.6631884,3.21600008010864,114124,73,9.15,74.5714285714286
219,-34.02489797,150.66318835,3.21600008010864,114125,73,9.15,74.1428571428571
221,-34.02489801,150.6631883,3.21600008010864,114126,73,9.16,73.2857142857143
223,-34.02489803,150.66318829,3.21600008010864,114127,74,9.17,72.2857142857143
224,-34.02489802,150.66318825,3.21600008010864,114128,73,9.17,71.8571428571429
226,-34.024898,150.66318824,3.21600008010864,114129,71,9.16,71.2857142857143
228,-34.02489796,150.6631882,3.21600008010864,114130,69,9.15,70.8571428571429
229,-34.02489796,150.66318816,3.21600008010864,114131,70,9.15,70.4285714285714
231,-34.02489795,150.66318815,3.21600008010864,114132,69,9.15,70.4285714285714
233,-34.02489793,150.66318814,3.21600008010864,114133,70,9.17,70.8571428571429
234,-34.02489788,150.66318804,3.21600008010864,114134,71,9.17,71.5714285714286
236,-34.02489786,150.66318798,3.21600008010864,114135,73,9.18,72.2857142857143
238,-34.02489788,150.66318795,3.21600008010864,114136,74,9.17,73.2857142857143
44.17,-34.02489789,150.66318796,3.21600008010864,114137,74,9,74.1428571428571
241,-34.02489786,150.66318795,3.21600008010864,114138,75,9.19,74.7142857142857
243,-34.0248978,150.66318791,3.21600008010864,114139,76,9.2,74.8571428571429
