Lon,Lat,Result
150.663190343089,-34.0249198,2.18931399649843
150.663177851442,-34.02496982,2.37828407018344
150.663165534607,-34.02501914,1.71044563560851
150.66315251852,-34.02507126,1.79976403875689
150.663133014368,-34.02514936,1.87714994061527
150.663121102101,-34.02519706,2.18931399649843
150.663107736388,-34.02525058,2.37828407018344
150.66309495505,-34.02530176,2.30893348468372
150.663082371001,-34.02535215,2.25151549722322
150.663061882901,-34.02543419,2.06251869139327
150.663047273517,-34.02549269,1.76387285950552
150.663033440803,-34.02554808,1.67646293448052
150.663019505698,-34.02560388,1.48746606415108
150.663007620902,-34.02565147,1.31040163061215
150.662995134249,-34.02570147,1.26846351931264
150.662981990798,-34.0257541,1.50806555894193
150.66296330577,-34.02582892,1.64317843448452
150.662951688188,-34.02587544,1.6360700122975
150.662938062753,-34.02593,1.69733110765434
150.662923650658,-34.02598771,1.55735381291829
150.662895008773,-34.0261024,1.41995678779009
150.662880741524,-34.02615953,1.48283020899832
150.662865987295,-34.02621861,1.65116025430356
150.662845341863,-34.02630128,1.55536517060983
150.662824354296,-34.02638532,1.6753206996612
150.662809877271,-34.02644329,1.73948436854745
150.662797345666,-34.02649347,2.50959488985887
150.6627723,-34.02650383,3.30260237324461
150.66276165,-34.02645916,3.85857447866336
150.66277751,-34.0264103,5.12178342618739
150.662742326272,-34.02636407,5.312688548892
150.662754257187,-34.02631776,6.17922596003831
150.662766672449,-34.02626957,6.7210082112259
150.66277875279,-34.02622268,6.25692091261989
150.662791964134,-34.0261714,6.60520474404484
150.662804861167,-34.02612134,5.82894000735833
150.662817307345,-34.02607303,5.05848019198246
150.662830665539,-34.02602118,5.9063128495168
150.662842702083,-34.02597446,6.13011245106558
150.662869351486,-34.02587102,6.63158255700034
150.662881846614,-34.02582252,7.82609961855944
150.662894632865,-34.02577289,7.89187561329709
150.66290771797,-34.0257221,7.77382823987167
150.662926009806,-34.0256511,8.11469459838641
150.662944783414,-34.02557823,8.29173246102911
150.662957902011,-34.02552731,7.8863398863653
150.662971466309,-34.02547466,7.41290019482843
150.662990742299,-34.02539984,6.67372253244533
150.663002992677,-34.02535229,6.00549420571755
150.663016368905,-34.02530037,5.88873640272557
150.663029665267,-34.02524876,5.95161011418148
150.663042201616,-34.0252001,5.77196576578186
150.663054529283,-34.02515225,5.25982648059175
150.663065782627,-34.02510857,4.10591736181029
150.66307787585,-34.02506163,2.92943332687817
150.663091450454,-34.02500894,2.47050621274069
150.66310484,-34.02495276,2.18863008544531
150.66311449,-34.02489223,2.17765179096726
150.66308963,-34.02484385,2.19440827461099
150.663032776452,-34.02485832,1.92252947058702
150.663023603395,-34.0248952,1.78061738482931
150.663012079866,-34.02494153,1.94056265846272
150.662999384832,-34.02499257,2.43751770376796
150.662987878714,-34.02503883,3.19827567089982
150.662975999505,-34.02508659,3.73264032017823
150.66296304082,-34.02513869,4.38116921739265
150.662949957772,-34.02519129,5.02550568039654
150.662937638316,-34.02524082,5.43377383844688
150.662924159792,-34.02529501,5.85171701584706
150.662912394997,-34.02534231,6.07970924510483
150.662900652589,-34.02538952,5.96198407885176
150.662888437598,-34.02543863,5.94133086177309
150.662871509228,-34.02550669,6.34508421719185
150.662860152346,-34.02555235,6.3898980731266
150.662848240803,-34.02560024,6.88459602348859
150.662835341813,-34.0256521,7.02615913767928
150.662816423625,-34.02572816,6.57174701967183
150.662797893453,-34.02580266,5.73678765579234
150.662786071451,-34.02585019,4.40808496760944
150.66277393854,-34.02589897,3.81403130548434
150.662762621455,-34.02594447,3.73532864955119
150.662751466042,-34.02598932,4.00911567370059
150.6627400818,-34.02603509,4.12745855440315
150.662720934784,-34.02611207,3.75012306178269
150.662706904086,-34.02616848,3.3324751981612
150.662694253823,-34.02621934,2.99254930951391
