,DUALEM,OpenEM,X1,X2,Y1,Y2
0,3.92199,8.54167,150.662225,150.662225,-34.024635,-34.024635
1,3.79524,8.51212,150.662225,150.662225,-34.024645,-34.024645
2,3.88117,8.48594,150.662235,150.662235,-34.024645,-34.024645
3,3.97627,8.4602,150.662245,150.662245,-34.024645,-34.024645
4,4.0728,8.43509,150.662255,150.662255,-34.024645,-34.024645
5,4.14416,8.41083,150.662265,150.662265,-34.024645,-34.024645
6,4.12867,8.3877,150.662275,150.662275,-34.024645,-34.024645
7,3.61399,8.50973,150.662215,150.662215,-34.024655,-34.024655
8,3.68418,8.4804,150.662225,150.662225,-34.024655,-34.024655
9,3.76801,8.45122,150.662235,150.662235,-34.024655,-34.024655
10,3.85736,8.42242,150.662245,150.662245,-34.024655,-34.024655
11,3.92532,8.39418,150.662255,150.662255,-34.024655,-34.024655
12,3.93646,8.36668,150.662265,150.662265,-34.024655,-34.024655
13,3.88265,8.34017,150.662275,150.662275,-34.024655,-34.024655
14,3.77519,8.3151,150.662285,150.662285,-34.024655,-34.024655
15,3.63643,8.29225,150.662295,150.662295,-34.024655,-34.024655
16,3.49156,8.27264,150.662305,150.662305,-34.024655,-34.024655
17,3.35537,8.25713,150.662315,150.662315,-34.024655,-34.024655
18,3.23323,8.24596,150.662325,150.662325,-34.024655,-34.024655
19,3.12597,8.23859,150.662335,150.662335,-34.024655,-34.024655
20,3.51323,8.47901,150.662215,150.662215,-34.024665,-34.024665
21,3.58587,8.44632,150.662225,150.662225,-34.024665,-34.024665
22,3.68948,8.4137,150.662235,150.662235,-34.024665,-34.024665
23,3.83358,8.38139,150.662245,150.662245,-34.024665,-34.024665
24,3.97985,8.34958,150.662255,150.662255,-34.024665,-34.024665
25,3.97586,8.31831,150.662265,150.662265,-34.024665,-34.024665
26,3.81088,8.28765,150.662275,150.662275,-34.024665,-34.024665
27,3.63139,8.25798,150.662285,150.662285,-34.024665,-34.024665
28,3.47214,8.23041,150.662295,150.662295,-34.024665,-34.024665
29,3.32914,8.2068,150.662305,150.662305,-34.024665,-34.024665
30,3.2013,8.18903,150.662315,150.662315,-34.024665,-34.024665
31,3.08911,8.17767,150.662325,150.662325,-34.024665,-34.024665
32,2.9924,8.17136,150.662335,150.662335,-34.024665,-34.024665
33,2.90962,8.16807,150.662345,150.662345,-34.024665,-34.024665
34,2.8378,8.16695,150.662355,150.662355,-34.024665,-34.024665
35,2.77268,8.16856,150.662365,150.662365,-34.024665,-34.024665
36,2.70978,8.17317,150.662375,150.662375,-34.024665,-34.024665
37,2.64797,8.1795,150.662385,150.662385,-34.024665,-34.024665
38,3.41161,8.4463,150.662215,150.662215,-34.024675,-34.024675
