,Time,Lon,Lat,Reading
127,298,150.66297466,-34.025766,0.0659
128,300,150.66296081,-34.02585017,0.0681
129,302,150.66293891,-34.02592723,0.0596
130,305,150.66291582,-34.02604308,0.064
131,307,150.66290803,-34.02611661,0.0631
132,309,150.6628933,-34.0261879,0.0705
133,312,150.66287149,-34.02629309,0.0707
134,314,150.66285457,-34.02635726,0.0723
135,316,150.66283934,-34.026414,0.0657
136,319,150.66281389,-34.02649252,0.0709
137,321,150.66280465,-34.02652812,0.0696
138,323,150.66279558,-34.02655447,0.0655
139,326,150.66278457,-34.02657996,0.0722
140,328,150.66277272,-34.02660148,0.0657
141,331,150.66274435,-34.02662426,0.0651
142,333,150.66271789,-34.02661143,0.0676
143,335,150.6627143,-34.0265835,0.0631
144,338,150.66272555,-34.026535,0.0703
145,340,150.66273464,-34.02649599,0.0707
146,342,150.66273951,-34.02645601,0.076
147,345,150.66275329,-34.02639353,0.0698
148,347,150.66277259,-34.02634986,0.0756
149,349,150.66278842,-34.02630364,0.0718
150,352,150.66281163,-34.02623328,0.0686
151,354,150.66282788,-34.02618433,0.0696
152,356,150.66284242,-34.02613466,0.0724
153,359,150.66285758,-34.02606667,0.0655
154,361,150.66287012,-34.02602229,0.0801
155,363,150.6628883,-34.02597841,0.0656
156,367,150.66288435,-34.02593184,0.0729
157,369,150.66284022,-34.02592237,0.0747
158,371,150.66280041,-34.02595164,0.073
159,374,150.66277569,-34.02602072,0.0755
160,376,150.66276477,-34.02606752,0.0711
161,378,150.66275724,-34.02611441,0.0738
162,381,150.66274604,-34.02618563,0.0709
163,383,150.66273861,-34.02623524,0.073
164,385,150.66273225,-34.02628441,0.0664
165,388,150.66272414,-34.02635245,0.0717
166,390,150.66271776,-34.02639688,0.0725
167,393,150.6627021,-34.02645894,0.0675
168,395,150.6626927,-34.0264979,0.0748
169,397,150.6626868,-34.0265358,0.0692
170,400,150.66267131,-34.02657266,0.0747
171,402,150.66264108,-34.02658266,0.0687
172,404,150.66261303,-34.02656364,0.0733
173,407,150.66262302,-34.02651955,0.0738
174,409,150.66263839,-34.02649419,0.0738
175,411,150.66264723,-34.02646715,0.0758
176,414,150.66266315,-34.02641582,0.0708
177,416,150.66266694,-34.02637548,0.0686
178,418,150.66267508,-34.02633708,0.0654
179,421,150.66268844,-34.0262774,0.0673
180,423,150.66270192,-34.02623743,0.0709
181,425,150.66271267,-34.02619795,0.0707
182,428,150.66272377,-34.02614245,0.0744
183,430,150.66273035,-34.02610395,0.0764
184,433,150.66274501,-34.02604969,0.0706
185,435,150.66275947,-34.02601459,0.0692
186,437,150.6627729,-34.02597983,0.0666
187,439,150.66278527,-34.0259475,0.0732
188,442,150.66274571,-34.02590924,0.0706
189,444,150.66269365,-34.02591179,0.0727
190,447,150.66266191,-34.0259659,0.0752
191,449,150.66266531,-34.02601413,0.0717
192,451,150.66266676,-34.02605614,0.0754
193,454,150.66266455,-34.02611299,0.075
194,456,150.6626525,-34.02615232,0.0756
195,458,150.6626436,-34.0261932,0.0796
196,461,150.66263352,-34.02625588,0.0776
197,463,150.66262135,-34.02630049,0.0763
198,465,150.66260492,-34.02634559,0.074
199,468,150.66258393,-34.02641754,0.0743
200,470,150.66257772,-34.02646329,0.0753
201,472,150.66257159,-34.02650614,0.0768
202,475,150.66254269,-34.02655865,0.0777
203,477,150.66251458,-34.02657202,0.0776
204,479,150.66247973,-34.02655221,0.0724
205,482,150.66247306,-34.02650001,0.077
206,484,150.66250287,-34.02646698,0.079
207,487,150.6625321,-34.02640778,0.0733
208,489,150.66254153,-34.02636374,0.0793
209,491,150.6625468,-34.02631918,0.0761
210,493,150.66255409,-34.02626909,0.0762
211,496,150.66257522,-34.02619613,0.0786
212,498,150.66259277,-34.02615007,0.0747
213,501,150.66261834,-34.02608431,0.0685
214,503,150.66263571,-34.02604551,0.0781
215,505,150.6626577,-34.02601164,0.0746
216,508,150.66267137,-34.02595552,0.0781
217,510,150.66266427,-34.02591491,0.0775
218,512,150.66262651,-34.02589586,0.0773
219,515,150.66256839,-34.02594704,0.077
220,517,150.66256574,-34.02600079,0.0743
221,519,150.66256589,-34.02604476,0.0709
222,522,150.66255964,-34.02610792,0.0736
223,524,150.66255737,-34.02615181,0.0802
224,527,150.66254378,-34.02621331,0.0745
225,530,150.66254029,-34.02628038,0.0822
226,532,150.66255026,-34.02632391,0.0778
227,534,150.66254531,-34.0263699,0.0787
228,536,150.66250659,-34.02640232,0.0768
229,538,150.6624856,-34.02643485,0.0786
230,540,150.66247857,-34.02645612,0.076
231,543,150.66246997,-34.02647844,0.0762
232,545,150.66245041,-34.02649922,0.0765
233,548,150.66238731,-34.02649028,0.0784
234,550,150.66238391,-34.02645495,0.069
235,552,150.6623956,-34.02640839,0.0769
236,555,150.66239938,-34.02632003,0.073
237,557,150.66240288,-34.02626295,0.0774
238,559,150.66240819,-34.02621225,0.079
239,562,150.66242844,-34.0261379,0.0839
240,564,150.66245657,-34.02609498,0.0718
241,566,150.66247695,-34.02605261,0.0733
242,569,150.6625236,-34.02599393,0.0778
243,571,150.66253689,-34.02596,0.0726
244,574,150.6625711,-34.02590838,0.0777
245,576,150.66254724,-34.02587333,0.0717
246,578,150.66248193,-34.02587252,0.0765
247,581,150.66242191,-34.02592167,0.0811
248,583,150.66241126,-34.02597911,0.0778
249,585,150.6624059,-34.02603768,0.0805
250,588,150.66239927,-34.02611037,0.0795
251,590,150.6623935,-34.02616487,0.0772
252,592,150.66239386,-34.02620455,0.0779
253,595,150.66238387,-34.02626833,0.0742
254,597,150.66237489,-34.02631557,0.0793
255,599,150.66237711,-34.0263562,0.0785
256,602,150.66237081,-34.02641833,0.0796
257,604,150.66236316,-34.02645126,0.0808
258,606,150.66235427,-34.02648164,0.0769
259,609,150.66232877,-34.02651958,0.0829
260,611,150.66230066,-34.02652767,0.0812
261,613,150.66228027,-34.0265,0.0783
262,616,150.66228923,-34.02643258,0.0799
263,618,150.66229246,-34.02638701,0.0812
264,620,150.66230439,-34.02634055,0.0775
265,623,150.66231732,-34.02626861,0.0771
266,625,150.66233418,-34.02621675,0.0752
267,627,150.66235121,-34.02616411,0.0772
268,630,150.66234813,-34.0260846,0.0744
