,Time,Lon,Lat,Reading
130,305,150.6629133,-34.0260267,0.06400001
131,307,150.6628967,-34.0260983,0.0631
132,309,150.66288,-34.02617,0.0705
133,312,150.662855,-34.0262767,0.0707
134,314,150.6628417,-34.0263417,0.0723
135,316,150.662825,-34.0264,0.0657
136,319,150.6628033,-34.02648,0.0709
137,321,150.6627917,-34.026525,0.0696
138,323,150.6627833,-34.0265567,0.0655
139,326,150.6627733,-34.0265867,0.0722
140,328,150.66276,-34.0266067,0.0657
141,331,150.6627233,-34.0266167,0.0651
142,333,150.6627067,-34.0265983,0.0676
143,335,150.66271,-34.026575,0.0631
144,338,150.66272,-34.02653,0.0703
145,340,150.66273,-34.0264933,0.0707
146,342,150.66274,-34.0264533,0.076
147,345,150.6627583,-34.0263883,0.0698
148,347,150.66277,-34.026345,0.0756
149,349,150.6627817,-34.0262983,0.0718
150,352,150.6627983,-34.0262283,0.0686
151,354,150.6628117,-34.02618,0.0696
152,356,150.6628233,-34.0261317,0.0724
153,359,150.6628433,-34.0260617,0.0655
154,361,150.6628567,-34.0260167,0.0801
155,363,150.6628683,-34.025975,0.0656
156,367,150.6628283,-34.0259317,0.0729
157,369,150.662795,-34.0259483,0.0747
158,371,150.66278,-34.025985,0.073
159,374,150.6627667,-34.0260467,0.0755
160,376,150.66276,-34.0260883,0.0711
161,378,150.6627533,-34.0261317,0.0738
162,381,150.66274,-34.0261967,0.0709
163,383,150.6627317,-34.02624,0.073
164,385,150.662725,-34.0262817,0.0664
165,388,150.6627133,-34.0263433,0.0717
166,390,150.6627033,-34.026385,0.0725
167,393,150.6626883,-34.0264467,0.0675
168,395,150.6626833,-34.0264833,0.0748
169,397,150.662675,-34.0265183,0.0692
170,400,150.6626367,-34.0265467,0.0747
171,402,150.66261,-34.026535,0.0687
172,404,150.66261,-34.02651,0.0733
173,407,150.66263,-34.0264783,0.0738
174,409,150.6626367,-34.026455,0.0738
175,411,150.662645,-34.0264283,0.0758
176,414,150.6626583,-34.02638,0.0708
177,416,150.66267,-34.026345,0.0686
178,418,150.66268,-34.0263083,0.0654
179,421,150.6627,-34.0262533,0.0673
180,423,150.6627117,-34.026215,0.0709
181,425,150.66272,-34.0261767,0.0707
182,428,150.6627317,-34.0261167,0.0744
183,430,150.6627417,-34.0260783,0.07639999
184,433,150.6627567,-34.0260267,0.0706
185,435,150.6627667,-34.0259933,0.0692
186,437,150.6627717,-34.02596,0.0666
187,439,150.6627617,-34.0259333,0.0732
188,442,150.662715,-34.0259267,0.0706
189,444,150.6627,-34.0259533,0.0727
190,447,150.66269,-34.0260017,0.0752
191,449,150.6626817,-34.0260383,0.0717
192,451,150.6626767,-34.026075,0.0754
193,454,150.6626633,-34.0261333,0.075
194,456,150.662655,-34.026175,0.0756
195,458,150.662645,-34.0262167,0.0796
196,461,150.66263,-34.02628,0.0776
197,463,150.6626183,-34.0263233,0.0763
198,465,150.6626067,-34.0263667,0.074
199,468,150.66259,-34.02643,0.0743
200,470,150.6625783,-34.02647,0.0753
201,472,150.6625667,-34.0265083,0.0768
202,475,150.6625267,-34.02655,0.0777
203,477,150.6624967,-34.0265383,0.0776
204,479,150.662495,-34.0265083,0.0724
205,482,150.6625133,-34.02646,0.077
206,484,150.6625217,-34.0264233,0.079
207,487,150.6625367,-34.026365,0.0733
208,489,150.6625467,-34.026325,0.0793
209,491,150.6625583,-34.026285,0.0761
210,493,150.66257,-34.026245,0.0762
211,496,150.6625917,-34.0261817,0.0786
212,498,150.662605,-34.0261383,0.0747
213,501,150.662625,-34.0260733,0.06849999
214,503,150.66264,-34.0260317,0.0781
215,505,150.6626533,-34.0259933,0.07460001
216,508,150.662655,-34.0259367,0.0781
217,510,150.662625,-34.0259167,0.0775
218,512,150.6625883,-34.02593,0.0773
219,515,150.66257,-34.02598,0.077
220,517,150.6625633,-34.0260167,0.0743
221,519,150.6625567,-34.0260533,0.0709
222,522,150.662545,-34.02611,0.0736
223,524,150.6625383,-34.02615,0.0802
224,527,150.6625267,-34.02621,0.0745
225,530,150.662515,-34.0262733,0.08219999
226,532,150.6625033,-34.0263133,0.0778
227,534,150.662495,-34.026355,0.0787
228,536,150.662485,-34.0263967,0.0768
229,538,150.6624767,-34.0264383,0.0786
230,540,150.6624683,-34.0264783,0.076
231,543,150.662445,-34.02653,0.0762
232,545,150.66241,-34.026535,0.0765
233,548,150.6624,-34.0264867,0.0784
234,550,150.6624117,-34.0264483,0.069
235,552,150.662425,-34.0264033,0.0769
236,555,150.6624417,-34.02633,0.073
237,557,150.6624533,-34.0262817,0.0774
238,559,150.6624667,-34.026235,0.079
239,562,150.6624833,-34.026165,0.08389999
240,564,150.662495,-34.02612,0.0718
241,566,150.6625083,-34.0260717,0.0733
242,569,150.6625267,-34.026,0.0778
243,571,150.66254,-34.0259533,0.0726
244,574,150.6625417,-34.0258933,0.0777
245,576,150.662505,-34.025875,0.0717
246,578,150.66247,-34.0259,0.0765
247,581,150.6624517,-34.02596,0.0811
248,583,150.6624417,-34.0260017,0.0778
249,585,150.662435,-34.0260433,0.0805
250,588,150.6624217,-34.026105,0.0795
251,590,150.662415,-34.0261467,0.0772
252,592,150.662405,-34.02619,0.0779
253,595,150.66239,-34.0262517,0.0742
254,597,150.6623783,-34.026295,0.0793
255,599,150.6623667,-34.0263383,0.0785
256,602,150.6623483,-34.0264017,0.0796
257,604,150.6623383,-34.0264433,0.0808
258,606,150.66233,-34.02648,0.0769
259,609,150.66229,-34.0264983,0.0829
260,611,150.6622733,-34.0264733,0.08120001
261,613,150.6622817,-34.02644,0.0783
262,616,150.6623017,-34.0263817,0.0799
263,618,150.662315,-34.0263383,0.08120001
264,620,150.6623283,-34.0262933,0.0775
265,623,150.6623467,-34.026225,0.0771
266,625,150.6623617,-34.0261783,0.0752
267,627,150.662375,-34.0261333,0.0772
268,630,150.662395,-34.026065,0.0744
269,632,150.6624083,-34.0260217,0.0799
270,635,150.6624267,-34.0259583,0.0826
271,637,150.6624417,-34.0259183,0.0767
272,639,150.6624483,-34.02588,0.0754
273,642,150.66241,-34.0258483,0.0841
274,644,150.6623767,-34.0258667,0.0754
275,646,150.6623633,-34.0259,0.0796
