,Time,Lon,Lat
171,170,150.663525,-34.02201
172,171,150.6635483,-34.022015
173,172,150.66357,-34.02202
174,173,150.6635917,-34.022025
175,174,150.6636133,-34.02203
176,175,150.6636333,-34.022035
177,176,150.663655,-34.0220383
178,177,150.6636767,-34.0220433
179,178,150.6636983,-34.0220467
180,179,150.66372,-34.0220517
181,180,150.6637433,-34.022055
182,181,150.6637667,-34.0220583
183,182,150.66379,-34.0220617
184,183,150.6638133,-34.0220667
185,184,150.6638367,-34.0220733
186,185,150.6638567,-34.02208
187,186,150.6638717,-34.0220883
188,187,150.663885,-34.0221
189,188,150.6638983,-34.022115
190,189,150.663905,-34.0221333
191,190,150.663905,-34.022155
192,191,150.6639,-34.0221783
193,192,150.6638933,-34.0222033
194,193,150.6638867,-34.02223
195,194,150.6638817,-34.0222583
196,195,150.663875,-34.0222883
197,196,150.6638683,-34.02232
198,197,150.66386,-34.0223517
199,198,150.6638517,-34.0223833
200,199,150.6638417,-34.0224167
201,200,150.6638333,-34.0224483
202,201,150.6638233,-34.0224817
203,202,150.663815,-34.0225167
204,203,150.663805,-34.02255
205,204,150.6637967,-34.0225817
206,205,150.6637883,-34.0226133
207,206,150.66378,-34.022645
208,207,150.6637733,-34.0226783
209,208,150.6637667,-34.0227117
210,209,150.6637583,-34.0227433
211,210,150.66375,-34.022775
212,211,150.6637433,-34.022805
213,212,150.6637367,-34.022835
214,213,150.6637317,-34.0228667
215,214,150.6637233,-34.0228967
216,215,150.6637167,-34.0229283
217,216,150.6637117,-34.0229567
218,217,150.6637033,-34.0229833
219,218,150.6636967,-34.02301
220,219,150.6636917,-34.0230383
221,220,150.663685,-34.0230683
222,221,150.66368,-34.0231
223,222,150.6636717,-34.0231317
224,223,150.6636633,-34.0231617
225,224,150.6636533,-34.0231933
226,225,150.663645,-34.0232233
227,226,150.6636367,-34.0232533
228,227,150.6636283,-34.023285
229,228,150.66362,-34.0233167
230,229,150.6636117,-34.0233483
231,230,150.6636033,-34.02338
232,231,150.663595,-34.02341
233,232,150.663585,-34.02344
234,233,150.6635767,-34.0234717
235,234,150.6635667,-34.0235017
236,235,150.6635567,-34.0235333
237,236,150.6635467,-34.023565
238,237,150.6635367,-34.023595
239,238,150.663525,-34.0236267
240,239,150.663515,-34.0236583
241,240,150.6635067,-34.02369
242,241,150.6634983,-34.0237233
243,242,150.6634883,-34.0237533
244,243,150.6634783,-34.023785
245,244,150.66347,-34.0238167
246,245,150.6634633,-34.0238467
247,246,150.6634567,-34.0238783
248,247,150.66345,-34.02391
249,248,150.6634417,-34.02394
250,249,150.663435,-34.0239733
251,250,150.6634267,-34.0240067
252,251,150.6634183,-34.0240417
253,252,150.66341,-34.0240767
254,253,150.6634017,-34.0241133
255,254,150.6633917,-34.0241483
256,255,150.6633833,-34.0241833
257,256,150.6633733,-34.0242183
258,257,150.663365,-34.0242533
259,258,150.663355,-34.0242883
260,259,150.6633467,-34.024325
261,260,150.6633367,-34.02436
262,261,150.6633283,-34.0243967
263,262,150.6633183,-34.0244317
264,263,150.66331,-34.0244683
265,264,150.6633017,-34.024505
266,265,150.6632917,-34.0245417
267,266,150.6632817,-34.0245767
268,267,150.66327,-34.0246117
269,268,150.66326,-34.0246467
