Lat,Lon,ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64
-34.02126247,150.66342959,185,3.38,4.329999,4.74,4.79,4.84,5.73,6.41,6.39,5.97,5.81,6.190001,6.399999,5.5,4.94,5.11,4.98,4.73,3.91,3.38,3.68,3.75,2.7,1.61,1.4,1.56,1.04,-0.35,-1.1,-1.12,-1.39,-2.45,-3.67,-4.08,-3.89,-4.32,-5.51,-6.32,-5.88,-5.85,-6.15,-7.03,-7.01,-6.0,-5.84,-6.16,-6.17,-5.27,-4.28,-4.06,-4.25,-3.73,-2.89,-2.12,-2.23,-2.31,-1.52,-0.1,0.2,-0.03000003,0.5399999,1.57,2.52,2.67,2.66
-34.02126246,150.66342957BTM-GG-34.02126248,150.66342955,187,3.27,3.36,3.92,4.7,4.72,4.74,4.879999,5.44,5.38,5.11,4.93,5.01,4.99,4.599999,4.43,3.91,3.99,3.8,3.15,2.7,2.61,2.62,2.21,1.55,1.1,0.9300001,0.6700001,-0.2,-1.19,-1.58,-2.18,-2.73,-3.65,-4.66,-4.74,-4.91,-5.33,-6.1,-5.95,-5.81,-5.52,-5.84,-5.809999,-5.28,-4.85,-3.83,-4.08,-3.69,-3.41,-2.74,-2.75,-2.67,-2.31,-1.73,-1.41,-1.34,-0.9300001,-0.24,0.24,0.54,0.86,1.69,2.29,3.02
-34.02126248,150.66342948,188,3.8,4.68,4.34,4.39,5.79,6.11,5.86,5.42,5.17,5.42,5.12,4.82,4.61,4.13,4.61,4.08,4.2,3.99,3.07,3.8,3.01,2.17,1.93,2.25,1.73,0.53,-0.67,-0.45,-0.1899999,-1.03,-2.52,-3.25,-3.36,-3.55,-4.17,-4.99,-5.31,-5.34,-5.84,-6.170001,-6.56,-6.0,-5.61,-5.31,-5.8,-5.18,-4.15,-3.58,-3.69,-3.88,-2.89,-2.29,-1.91,-1.67,-1.47,-1.47,-1.02,-0.76,-0.53,-0.12,0.9,1.22,1.65,2.17
-34.02126249,150.66342942,189,2.28,2.85,3.13,3.59,4.02,4.05,4.19,4.66,4.89,5.099999,4.85,4.3,4.25,4.22,3.99,3.4,3.29,3.18,2.87,2.26,2.72,2.05,1.65,1.09,0.62,0.37,0.009999983,-0.31,-0.95,-1.63,-1.99,-2.28,-2.31,-3.14,-3.68,-3.66,-4.1,-3.85,-4.6,-4.63,-4.53,-4.85,-4.94,-5.06,-4.91,-4.35,-3.71,-3.69,-2.91,-2.34,-2.15,-2.16,-2.16,-1.83,-1.23,-0.86,-0.64,-0.4,0.04000002,0.79,0.88,0.95,1.66,1.83
-34.02126249,150.66342933,191,3.43,3.710001,3.64,4.14,4.66,4.68,4.67,4.4,4.93,5.23,5.380001,4.83,5.099999,5.440001,5.8,5.33,4.67,4.13,4.14,3.89,2.8,2.15,1.81,1.05,-0.03999999,-0.86,-0.8999999,-1.15,-1.82,-2.51,-2.88,-3.0,-3.04,-3.2,-3.94,-4.32,-4.22,-4.53,-5.15,-5.27,-5.09,-5.16,-5.42,-5.45,-5.24,-5.09,-4.71,-4.57,-4.5,-3.98,-3.22,-2.98,-2.66,-2.06,-1.18,-0.6999999,-0.26,0.08999997,0.2799999,0.6799999,1.51,1.53,2.16,2.73
-34.02126251,150.66342927,192,4.02,3.6,3.79,4.029999,4.83,4.76,4.18,4.39,5.19,5.48,5.04,4.85,5.01,5.71,5.82,5.49,4.89,4.800001,4.58,3.43,2.69,2.22,2.0,0.8500002,0.17,-0.3699999,-0.3400001,-0.39,-1.6,-2.4,-3.02,-2.75,-2.82,-3.7,-3.81,-4.07,-4.860001,-4.43,-4.59,-4.840001,-4.84,-5.27,-5.130001,-5.75,-5.53,-4.900001,-5.08,-5.59,-5.420001,-4.32,-3.609999,-3.85,-3.71,-3.089999,-2.32,-1.44,-0.8799999,-0.12,0.4,1.59,2.23,2.59,3.04,3.539999
-34.02126255,150.66342926BTM-GG-34.02126257,150.66342925,194,3.35,3.81,4.55,5.41,5.190001,5.21,5.22,5.679999,5.66,5.32,5.350001,5.24,5.68,5.57,5.35,5.37,5.19,5.27,4.48,3.81,3.5,3.41,2.51,1.5,0.55,0.12,-0.14,-1.29,-2.17,-2.9,-3.27,-3.76,-4.04,-4.5,-4.16,-4.43,-4.75,-5.73,-5.53,-5.05,-5.31,-5.67,-6.36,-5.81,-5.240001,-5.04,-5.280001,-5.0,-4.27,-3.81,-3.65,-3.18,-2.92,-2.23,-1.98,-1.69,-1.29,-0.7400001,0.08000001,0.5400001,0.7,1.67,2.61,3.28
-34.02126258,150.66342922,195,3.22,4.859999,5.05,3.63,4.25,5.4,6.759999,6.14,4.29,5.56,6.01,5.369999,4.16,4.57,4.97,5.259999,3.96,3.17,3.25,3.65,3.53,1.78,1.23,1.78,2.11,1.57,-0.3899999,-0.47,-0.73,-1.26,-1.44,-2.96,-3.26,-3.15,-3.94,-5.23,-5.89,-5.66,-5.47,-6.07,-7.35,-6.77,-5.809999,-5.579999,-5.9,-6.56,-5.17,-3.82,-3.59,-4.15,-3.76,-2.07,-1.65,-1.9,-1.95,-1.36,-0.01999997,0.01,-0.7700002,0.3900001,1.56,2.52,1.49,2.17
-34.02126256,150.66342919,196,2.81,3.4,3.73,3.93,4.48,5.08,5.340001,5.47,5.66,5.48,5.87,5.98,5.54,5.360001,5.45,4.89,4.59,3.98,3.79,3.53,3.63,2.77,2.41,1.82,1.23,1.08,0.06999999,-0.54,-1.15,-1.88,-2.33,-3.44,-3.89,-4.26,-4.99,-5.4,-5.309999,-5.46,-5.72,-6.0,-6.060001,-6.0,-5.54,-5.459999,-4.92,-5.14,-5.03,-4.36,-3.21,-3.68,-3.45,-3.06,-2.41,-2.04,-1.87,-1.48,-0.8299999,-0.2699999,0.07999999,0.47,1.33,1.74,2.0,2.22
-34.02126256,150.66342917,197,3.39,3.670001,3.99,3.96,4.51,4.460001,4.56,4.58,4.45,4.49,4.7,4.55,4.54,4.46,4.39,4.38,3.89,3.65,3.32,2.88,2.62,1.96,1.4,0.92,0.5900001,0.34,-0.17,-0.5700001,-0.9200001,-1.32,-1.8,-2.24,-2.81,-3.28,-3.73,-4.05,-4.6,-4.95,-5.11,-5.46,-5.43,-5.329999,-5.11,-4.93,-4.61,-4.39,-4.09,-3.81,-3.57,-3.14,-3.0,-2.73,-2.42,-2.16,-1.87,-1.31,-0.85,-0.3,0.06000001,0.77,1.4,1.95,2.46,2.89
