ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 
83.0-34.02488397,150.66318028,3.2160000801086426,110429,3.0,0.36
85.0-34.02488396,150.66318029,3.2160000801086426,110430,3.0,0.51
86.0-34.02488396,150.6631803,3.2160000801086426,110431,2.0,0.44
88.0-34.02488394,150.66318031,3.2160000801086426,110432,2.0,0.39
90.0-34.02488391,150.6631803,3.2160000801086426,110433,3.0,0.32
91.0-34.02488391,150.66318029,3.2160000801086426,110434,3.0,0.45
93.0-34.0248839,150.66318029,3.2160000801086426,110435,3.0,0.67
95.0-34.02488386,150.66318029,3.2160000801086426,110436,3.0,0.75
96.0-34.02488384,150.66318029,3.2160000801086426,110437,4.0,0.74
98.0-34.02488383,150.66318031,3.2160000801086426,110438,4.0,0.8
100.0-34.02488382,150.66318033,3.2160000801086426,110439,4.0,0.81
101.0-34.02488383,150.66318032,3.2160000801086426,110440,3.0,0.7
103.0-34.02488381,150.6631803,3.2160000801086426,110441,3.0,0.65
105.0-34.0248838,150.66318029,3.2160000801086426,110442,3.0,0.61
106.0-34.02488379,150.66318029,3.2160000801086426,110443,3.0,0.66
108.0-34.02488377,150.66318028,3.2160000801086426,110444,3.0,0.72
110.0-34.02488376,150.66318025,3.2160000801086426,110445,3.0,0.76
111.0-34.02488173,150.66318125,3.2160000801086426,110446,4.0,0.82
113.0-34.02488071,150.66318257,3.2160000801086426,110447,4.0,0.85
115.0-34.02488096,150.66318029,3.2160000801086426,110448,3.0,0.79
116.0-34.02488129,150.66317995,3.2160000801086426,110449,3.0,0.79
118.0-34.02488214,150.6631772,3.2160000801086426,110450,4.0,0.79
120.0-34.02488513,150.66317587,3.2160000801086426,110451,5.0,0.92
122.0-34.02488516,150.6631743,3.2160000801086426,110452,4.0,0.84
123.0-34.02488553,150.66317484,3.2160000801086426,110453,4.0,0.81
125.0-34.02488864,150.66317116,3.2160000801086426,110454,4.0,0.82
127.0-34.02488977,150.66316908,3.2160000801086426,110455,4.0,0.76
128.0-34.02489153,150.66317157,3.2160000801086426,110456,4.0,0.79
130.0-34.02489191,150.66317324,3.2160000801086426,110457,4.0,0.71
132.0-34.02489199,150.66317435,3.2160000801086426,110458,3.0,0.74
133.0-34.02489198,150.66317269,3.2160000801086426,110459,3.0,0.77
135.0-34.0248882,150.66317516,3.2160000801086426,110500,3.0,0.71
137.0-34.02488653,150.66317633,3.2160000801086426,110501,4.0,0.8
138.0-34.0248829,150.66317521,3.2160000801086426,110502,3.0,0.74
140.0-34.02487608,150.66316918,3.2160000801086426,110503,4.0,0.83
142.0-34.0248705,150.66316011,3.2160000801086426,110504,4.0,0.69
143.0-34.02487008,150.66315566,3.2160000801086426,110505,4.0,0.7
145.0-34.02487687,150.66315891,3.2160000801086426,110506,14.0,1.82
53147.0-34.02489151,150.66316526,3.2160000801086426,110507,29.0,3.17
148.0-34.02490879,150.66317404,3.2160000801086426,110508,35.0,3.82
150.0-34.02492378,150.66318238,3.2160000801086426,110509,35.0,3.95
151.0-34.02493242,150.66318795,3.2160000801086426,110510,32.0,3.94
