,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,1.5mHCPcon
255,1026,150.6625467,-34.0264817,2.3,0.6,0.57,2.7,11.7,5.7,-2.67,-5.59,1.45
256,1030,150.6625267,-34.0264917,2.1,0.6,0.63,2.76,11.3,5.1,-2.6,-5.44,1.35
257,1034,150.6625033,-34.02649,2.7,0.6,0.61,2.83,11.4,4.8,-2.63,-5.5,1.65
258,1038,150.662485,-34.0264767,2.3,1,0.63,2.88,11.3,4.6,-2.66,-5.5,1.65
259,1042,150.6624783,-34.026455,1.9,1,0.75,2.94,10.7,4.2,-2.59,-5.33,1.45
260,1046,150.6624817,-34.0264317,2.3,1.1,0.65,2.94,11.5,4.7,-2.65,-5.37,1.7
261,1050,150.6624883,-34.0264083,2.2,0.5,0.6,2.86,12,5,-2.7,-5.48,1.35
262,1054,150.662495,-34.0263833,2,0.7,0.65,2.87,12.5,5.7,-2.71,-5.49,1.35
263,1058,150.6625017,-34.0263567,3.2,1.4,0.53,2.83,13.1,6.6,-2.71,-5.55,2.3
264,1062,150.66251,-34.02633,4,2,0.54,2.72,13.4,7,-2.58,-5.5,3
265,1066,150.6625183,-34.0263033,4.4,2.7,0.6,2.67,12.8,7.2,-2.44,-5.3,3.55
266,1070,150.662525,-34.026275,4.2,2.9,0.64,2.53,11.7,7,-2.23,-5,3.55
267,1074,150.6625333,-34.0262467,3.9,3,0.68,2.44,11.1,6.8,-2.07,-4.72,3.45
268,1078,150.6625417,-34.0262183,3,3.2,0.69,2.43,10.5,5.8,-1.96,-4.51,3.1
269,1082,150.66255,-34.02619,3.1,2.6,0.67,2.43,10.4,6.2,-1.96,-4.45,2.85
270,1086,150.6625567,-34.02616,2.3,2.7,0.72,2.54,10.4,6.1,-2,-4.4,2.5
271,1090,150.662565,-34.0261317,4,3.4,0.73,2.56,10.3,5.9,-1.96,-4.39,3.7
272,1094,150.6625717,-34.0261017,3.9,3.9,0.68,2.38,9.8,5.9,-1.88,-4.42,3.9
275,1109,150.6625983,-34.025985,5.1,4.3,0.64,2.38,11.1,7.5,-1.95,-4.63,4.7
276,1113,150.662605,-34.025955,5.6,4.5,0.66,2.4,11.5,7.7,-2.02,-4.66,5.05
277,1117,150.66261,-34.0259267,5.6,4.8,0.67,2.49,12.6,8.1,-2.12,-4.72,5.2
278,1121,150.6626167,-34.0258967,6.1,4.6,0.67,2.51,13.1,8.6,-2.24,-4.87,5.35
279,1125,150.6626217,-34.0258683,6.1,5.2,0.69,2.6,13.4,8.9,-2.35,-4.96,5.65
280,1129,150.6626267,-34.0258383,5.5,4.6,0.69,2.57,13,8.2,-2.34,-4.9,5.05
281,1133,150.6626333,-34.02581,5.2,4.7,0.74,2.52,13,8.1,-2.33,-4.96,4.95
282,1137,150.6626383,-34.0257833,5.9,5.3,0.7,2.32,13.6,8.6,-2.32,-5.15,5.6
283,1141,150.6626433,-34.0257567,6.3,5.9,0.62,2.16,13.2,8.8,-2.27,-5.29,6.1
284,1145,150.6626467,-34.02573,6.4,6.4,0.65,2.14,13.4,9.5,-2.31,-5.32,6.4
285,1149,150.6626517,-34.025705,7,6.7,0.66,2.22,14,9.6,-2.43,-5.46,6.85
286,1153,150.6626567,-34.0256783,7.2,7.7,0.65,2.25,14.9,10.3,-2.57,-5.71,7.45
287,1157,150.6626617,-34.0256517,7.6,7.7,0.68,2.41,15.8,11.4,-2.77,-5.94,7.65
288,1161,150.6626667,-34.025625,8.2,8.5,0.61,2.47,16.4,11.4,-2.85,-6.16,8.35
289,1165,150.6626733,-34.0255983,8.8,8.3,0.52,2.47,16.9,11.6,-2.88,-6.3,8.55
290,1169,150.6626783,-34.0255717,8.2,8,0.52,2.42,17.1,11.9,-2.9,-6.43,8.1
291,1173,150.662685,-34.025545,8.9,8,0.41,2.34,17.4,12.1,-2.91,-6.59,8.45
292,1177,150.66269,-34.0255183,9.3,8.2,0.33,2.2,16.8,12,-2.82,-6.7,8.75
293,1181,150.6626983,-34.0254917,9.7,8.6,0.31,1.97,16,12.5,-2.59,-6.65,9.15
294,1185,150.6627033,-34.0254667,10,9.4,0.33,1.76,15.4,12.3,-2.43,-6.58,9.7
295,1189,150.66271,-34.02544,10,9.9,0.31,1.57,14.8,12.7,-2.35,-6.54,9.95
296,1193,150.6627167,-34.0254133,9.8,10.4,0.36,1.61,14.7,12.5,-2.38,-6.47,10.1
297,1197,150.662725,-34.0253867,10.4,10,0.36,1.82,15.8,12.5,-2.6,-6.6,10.2
298,1201,150.6627317,-34.0253583,9.9,9.4,0.35,2.19,17.9,13.6,-3.02,-7.04,9.65
299,1205,150.6627383,-34.0253317,10.1,8.8,0.26,2.58,20.2,14.1,-3.54,-7.69,9.45
300,1209,150.662745,-34.025305,10.3,8,0.19,2.85,22.1,14,-3.97,-8.2,9.15
301,1213,150.6627517,-34.0252783,10.6,7.3,0.15,3.08,23.3,14.5,-4.29,-8.57,8.95
302,1217,150.66276,-34.02525,10.6,7.2,0.13,3.23,24,15,-4.49,-8.87,8.9
303,1221,150.6627667,-34.0252233,10.5,7.1,0.11,3.41,24.3,14.8,-4.61,-8.98,8.8
304,1225,150.6627733,-34.0251967,10,6.7,0.18,3.05,22.8,14.4,-4.14,-8.68,8.35
305,1229,150.66278,-34.0251683,10.1,7.5,0.18,2.59,21.2,14.7,-3.65,-8.26,8.8
306,1233,150.6627867,-34.02514,11.1,9.1,0.15,2.1,18.7,14.6,-3.17,-7.9,10.1
307,1237,150.6627933,-34.0251133,11.9,10.7,0.01,2.08,16.4,14.9,-3.14,-7.98,11.3
308,1241,150.6627983,-34.025085,12.8,10.8,-0.14,1.54,16.8,15.4,-2.77,-8.13,11.8
309,1245,150.6628033,-34.0250583,13.5,10.8,-0.2,1.63,16.8,15.4,-2.76,-8.04,12.15
310,1249,150.6628083,-34.02503,13.2,10.8,-0.14,1.85,17.8,15.3,-2.9,-8.07,12
311,1253,150.662815,-34.0250033,13.9,11.3,-0.22,1.84,17.7,16.2,-2.88,-8.13,12.6
312,1257,150.66282,-34.0249767,13.3,10.6,-0.2,2.04,19.1,16,-3.16,-8.35,11.95
313,1261,150.6628267,-34.0249483,13.2,10.3,-0.2,2.32,20.9,16.3,-3.5,-8.76,11.75
314,1265,150.6628317,-34.0249217,13.1,8.5,-0.26,2.76,23.2,16.6,-4.02,-9.24,10.8
315,1269,150.6628367,-34.0248967,12.6,7.2,-0.31,3.51,27.1,16.9,-5,-10.11,9.9
316,1273,150.6628433,-34.0248717,12.3,4.5,-0.37,4.34,29.5,16.9,-5.7,-10.78,8.4
317,1277,150.6628483,-34.0248467,11.4,3.7,-0.35,4.19,28.4,16.1,-5.51,-10.76,7.55
318,1281,150.6628533,-34.0248233,10.4,3.2,-0.23,3.92,26.8,15.3,-5.03,-10.25,6.8
319,1285,150.6628583,-34.0248,9.9,2.4,-0.1,4.04,27.7,15.4,-5.13,-10,6.15
320,1289,150.6628533,-34.0247783,9.3,1.7,-0.07,4.28,27.5,14.5,-5.24,-9.77,5.5
321,1293,150.6628333,-34.0247633,8.1,1.1,0.01,4.46,26.5,13.3,-5.15,-9.58,4.6
322,1297,150.6628083,-34.02476,8.2,0.8,0.01,4.45,25.8,13,-4.98,-9.36,4.5
323,1301,150.6627833,-34.0247683,9.5,1.5,-0.12,4.25,25.6,13.8,-4.93,-9.5,5.5
324,1305,150.6627667,-34.0247867,9.6,1.7,-0.08,4.33,26.1,14.2,-4.93,-9.37,5.65
325,1309,150.6627567,-34.02481,9.6,2.2,-0.06,4.29,25.7,13.7,-4.82,-9.26,5.9
326,1313,150.6627483,-34.0248333,8.4,2,0.15,4.04,24.4,13.8,-4.5,-8.75,5.2
327,1317,150.6627417,-34.02486,8.9,3.5,0.15,3.93,24.5,14,-4.33,-8.54,6.2
328,1321,150.662735,-34.0248867,10.4,3.5,0.14,3.8,25.8,15.9,-4.3,-8.52,6.95
329,1325,150.6627283,-34.0249133,11.2,3.7,-0.08,4.09,27.1,15.8,-4.86,-9.22,7.45
330,1329,150.66272,-34.0249417,12.1,3.4,-0.18,4.31,27.9,16.5,-5.04,-9.52,7.75
331,1333,150.6627117,-34.0249683,13.1,5.1,-0.24,3.52,25,16.6,-4.28,-9.11,9.1
332,1337,150.662705,-34.0249967,13.4,7.2,-0.27,2.75,21,16.3,-3.76,-8.91,10.3
333,1341,150.6627,-34.025025,12.8,9.5,-0.18,2.47,18.4,15.7,-3.35,-8.39,11.15
334,1345,150.6626933,-34.025055,12.7,8.7,-0.21,2.02,18.4,15,-3.02,-8.27,10.7
335,1349,150.662685,-34.0250833,12.7,8.7,-0.16,2.02,18.1,15.6,-2.84,-7.83,10.7
336,1353,150.6626767,-34.0251117,11.7,8.8,0.05,2.17,18.1,15.4,-2.81,-7.48,10.25
337,1357,150.66267,-34.0251417,12.5,9.3,-0.17,1.97,17.7,15.1,-2.91,-7.94,10.9
339,1363,150.6626483,-34.0252283,8.9,17.3,1.96,-0.2,15.1,1.9,-8.32,,13.1
340,1370,150.6626417,-34.0252567,5.8,17.3,2.94,2.5,14.6,-0.1,-8.54,,11.55
341,1376,150.6626333,-34.0252867,9.1,5.1,0.24,3.41,25.1,15.1,-4.66,-9.16,7.1
342,1380,150.6626267,-34.025315,9.4,5.8,0.28,3.6,25.4,15.9,-4.74,-9.12,7.6
343,1384,150.6626183,-34.025345,9.6,6.1,0.31,3.53,24.6,15.7,-4.49,-8.67,7.85
344,1388,150.66261,-34.0253733,10.4,7,0.26,3.23,23.3,15.1,-4.14,-8.17,8.7
345,1392,150.6626017,-34.0254033,10,7.8,0.25,2.89,21.8,14.8,-3.67,-7.7,8.9
346,1396,150.6625933,-34.0254317,10.5,8.8,0.25,2.43,19.9,14.7,-3.2,-7.34,9.65
347,1400,150.662585,-34.02546,10.7,9.1,0.22,1.92,17.8,14,-2.77,-7.13,9.9
348,1404,150.6625767,-34.02549,10.7,9.2,0.21,1.86,17.5,13.3,-2.78,-7.17,9.95
349,1408,150.6625583,-34.0255467,11.3,8.6,0.11,2.12,18.9,13.9,-3.11,-7.48,9.95
350,1415,150.6625517,-34.0255767,11,8.4,0.1,2.24,18.4,13.5,-3.09,-7.5,9.7
351,1419,150.6625433,-34.025605,10.3,7.9,0.17,2.08,17.9,13.4,-2.96,-7.36,9.1
352,1423,150.6625367,-34.025635,10,7.8,0.28,2.17,18.2,13.3,-2.99,-7.21,8.9
353,1427,150.66253,-34.0256633,9.2,7.6,0.39,2.25,17.7,13,-2.95,-6.9,8.4
354,1431,150.6625217,-34.0256917,9.1,7.7,0.48,2.28,17.7,13.3,-2.92,-6.66,8.4
355,1435,150.662515,-34.0257217,8.9,7.6,0.57,2.32,17,12,-2.82,-6.34,8.25
356,1439,150.6625083,-34.0257517,8.5,7.4,0.63,2.35,16.8,12,-2.76,-6.12,7.95
357,1443,150.6625033,-34.02578,7.8,7,0.67,2.36,16,11.5,-2.71,-5.95,7.4
358,1447,150.6624983,-34.0258083,7.6,7,0.7,2.39,14.9,10.7,-2.52,-5.53,7.3
359,1451,150.6624917,-34.0258367,7.5,6.5,0.6,2.24,13.9,10.3,-2.32,-5.27,7
360,1455,150.662485,-34.025865,8,6.8,0.49,2.11,13.7,10.1,-2.23,-5.18,7.4
361,1459,150.6624767,-34.0258917,7,6.4,0.54,2.19,13,9.3,-2.26,-5.14,6.7
362,1463,150.66247,-34.02592,6.4,5.3,0.66,2.37,13.2,9.3,-2.31,-5.04,5.85
363,1467,150.6624633,-34.0259483,5.2,5.2,0.65,2.41,13.3,8.6,-2.33,-5,5.2
364,1471,150.6624583,-34.025975,5.7,4.2,0.58,2.43,13,8.5,-2.28,-4.98,4.95
365,1475,150.6624533,-34.0260033,5.5,4.3,0.6,2.4,12.3,7.9,-2.18,-4.9,4.9
366,1479,150.66245,-34.0260317,5,3.9,0.59,2.36,11.5,7,-2.11,-4.81,4.45
367,1483,150.662445,-34.0260583,5.5,4.3,0.54,2.31,11,7.2,-2.02,-4.78,4.9
368,1487,150.66244,-34.0260867,4.9,3.9,0.61,2.42,11.3,7.5,-2.11,-4.75,4.4
369,1491,150.6624367,-34.0261133,4.4,3.9,0.67,2.57,11.4,6.5,-2.09,-4.63,4.15
370,1495,150.6624317,-34.02614,4.2,3.3,0.62,2.44,10.6,5.9,-2.01,-4.65,3.75
371,1499,150.6624267,-34.0261667,3.8,3.6,0.6,2.43,10.5,6.5,-2.01,-4.62,3.7
372,1503,150.66242,-34.0261933,3.6,3.3,0.65,2.43,10.5,6.3,-1.99,-4.51,3.45
373,1507,150.662415,-34.0262217,4.1,3.6,0.69,2.47,10.6,6.3,-2.03,-4.53,3.85
374,1511,150.66241,-34.0262483,4,3.5,0.7,2.53,11.2,6.4,-2.1,-4.59,3.75
375,1515,150.6624033,-34.0262767,4,3.6,0.7,2.52,11.7,7.2,-2.16,-4.74,3.8
376,1519,150.6623967,-34.026305,4.2,3.4,0.73,2.61,12.4,7.2,-2.27,-4.89,3.8
377,1523,150.6623917,-34.0263317,4.5,3.5,0.67,2.66,13.2,7.2,-2.4,-5.13,4
378,1527,150.6623867,-34.02636,4.3,2.7,0.67,2.74,13.6,7.2,-2.56,-5.34,3.5
379,1531,150.6623817,-34.026385,4.6,2.9,0.68,2.88,14,7.7,-2.67,-5.47,3.75
380,1535,150.6623733,-34.0264083,4.8,1.8,0.57,2.92,14.2,7.4,-2.84,-5.68,3.3
381,1539,150.6623533,-34.0264233,4,1.8,0.56,3.01,13.3,6.7,-2.89,-5.71,2.9
382,1543,150.6623283,-34.026425,3.9,1.5,0.53,2.98,13.1,6.2,-2.81,-5.66,2.7
383,1547,150.6623083,-34.0264133,3.3,1,0.63,2.98,12.9,5.9,-2.75,-5.53,2.15
384,1551,150.6623,-34.02639,3.1,1.5,0.67,3.18,13.5,6,-2.87,-5.53,2.3
385,1555,150.6623067,-34.0263667,3.2,1.3,0.65,3.18,13.3,6.1,-2.92,-5.66,2.25
386,1559,150.6623133,-34.0263417,2.5,0.5,0.7,3.14,14.3,6.4,-2.99,-5.59,1.5
387,1563,150.6623217,-34.0263133,-0.7,0.9,0.74,3.19,14.2,6.8,-2.97,-5.63,0.1
388,1567,150.6623283,-34.0262867,4.5,2,0.6,2.96,15.4,8.5,-2.81,-5.69,3.25
389,1571,150.6623333,-34.02626,4.9,2.8,0.61,2.86,15.1,8.5,-2.73,-5.57,3.85
390,1575,150.66234,-34.0262317,4.3,2.8,0.7,2.92,14.8,8.2,-2.69,-5.47,3.55
391,1579,150.6623467,-34.0262033,2.7,2.2,0.59,2.67,14,7.6,-2.5,-5.21,2.45
392,1583,150.6623533,-34.026175,3.2,2.3,0.6,2.52,12.7,7.3,-2.37,-5.22,2.75
393,1587,150.66236,-34.0261467,3.9,2.6,0.59,2.39,11.8,7,-2.24,-5.08,3.25
394,1591,150.6623667,-34.0261183,3.7,2.7,0.58,2.35,11.3,6.8,-2.14,-4.95,3.2
395,1595,150.6623717,-34.02609,3.3,2.9,0.57,2.24,11,6.7,-2.05,-4.87,3.1
396,1599,150.6623783,-34.02606,3.8,3,0.59,2.26,10.9,6.7,-1.99,-4.77,3.4
397,1603,150.6623833,-34.0260317,3.8,3.1,0.62,2.28,11,6.2,-1.96,-4.68,3.45
398,1607,150.6623883,-34.0260017,4.6,3.5,0.59,2.3,11.3,6.9,-2.03,-4.71,4.05
399,1611,150.662395,-34.0259733,5.1,3.9,0.56,2.33,11.4,7.6,-2.06,-4.77,4.5
400,1615,150.6624017,-34.0259433,4.7,4.2,0.6,2.31,11.3,7.8,-2.05,-4.82,4.45
401,1619,150.6624083,-34.0259133,5.4,4.5,0.58,2.37,11.8,7.6,-2.08,-4.84,4.95
402,1623,150.6624133,-34.0258833,5.7,4.9,0.61,2.33,12.7,8.5,-2.15,-4.84,5.3
403,1627,150.66242,-34.0258533,6.4,5,0.66,2.38,13.3,9,-2.25,-4.88,5.7
404,1631,150.6624283,-34.0258217,6.5,6,0.67,2.42,13.3,9.1,-2.29,-4.91,6.25
405,1635,150.662435,-34.0257917,6.9,6,0.62,2.34,13.3,9.4,-2.27,-4.88,6.45
406,1639,150.6624417,-34.0257617,7.6,6.7,0.57,2.18,14.1,10.4,-2.24,-5.05,7.15
407,1643,150.6624483,-34.0257317,7.3,6.7,0.67,2.09,14.2,10.6,-2.3,-5.27,7
408,1647,150.6624533,-34.0257017,7.6,6.1,0.56,2.1,15.4,10.6,-2.5,-5.68,6.85
409,1651,150.66246,-34.0256733,7.9,5.7,0.49,2.17,16.3,10.9,-2.73,-6.11,6.8
410,1655,150.6624683,-34.025645,8,5.7,0.48,2.28,17.4,11.4,-2.87,-6.35,6.85
411,1659,150.6624733,-34.025615,8.4,5.6,0.44,2.26,17.8,12,-2.95,-6.62,7
412,1663,150.66248,-34.025585,8.7,6,0.43,2.34,18.2,12.3,-3.04,-6.87,7.35
413,1667,150.6624867,-34.0255567,9.1,5.8,0.29,2.34,19,12.9,-3.2,-7.2,7.45
414,1671,150.6624933,-34.0255267,9.3,5.8,0.2,2.41,19.5,12.8,-3.35,-7.49,7.55
415,1675,150.6625017,-34.0254983,9.4,5.8,0.13,2.48,19.7,12.8,-3.43,-7.74,7.6
416,1679,150.6625083,-34.0254683,8.9,5.7,0.19,2.62,19.7,12.9,-3.46,-7.73,7.3
417,1683,150.662515,-34.02544,9.2,5.3,0.16,2.71,20,13,-3.53,-7.81,7.25
418,1687,150.6625217,-34.02541,9.2,5.4,0.12,2.56,19.5,12.8,-3.43,-7.84,7.3
419,1691,150.6625283,-34.0253817,9.6,5.2,0.06,2.45,19.8,13.2,-3.43,-7.96,7.4
420,1695,150.662535,-34.0253517,9.1,5.7,0.07,2.25,18.8,13.1,-3.3,-7.87,7.4
421,1699,150.6625417,-34.0253217,9.2,5.6,0.08,2.24,19.3,13.3,-3.31,-7.88,7.4
422,1703,150.6625483,-34.0252917,9,5.7,0.06,2.24,19.6,13.4,-3.42,-8.09,7.35
423,1707,150.6625533,-34.0252617,8.6,5.2,0.12,2.52,21.1,13.6,-3.75,-8.31,6.9
424,1711,150.66256,-34.0252317,8.7,5.2,0.18,2.94,22.8,13.7,-4.2,-8.6,6.95
425,1715,150.662565,-34.0252017,8.4,3.7,0.12,3.23,24.7,14.5,-4.66,-9.24,6.05
426,1719,150.66257,-34.0251717,8.4,3.1,0.03,3.53,25.3,14.3,-5.08,-9.87,5.75
427,1723,150.6625767,-34.0251417,7.8,2.3,0,3.44,25,13.1,-4.91,-9.76,5.05
428,1727,150.6625817,-34.0251117,7.2,2.2,0.09,3.28,23.9,12.9,-4.6,-9.33,4.7
429,1731,150.6625883,-34.0250817,7.3,2.6,0.13,3.21,23.2,12.7,-4.48,-9.21,4.95
430,1735,150.6625933,-34.0250517,7.5,2.7,0.08,3.11,22.3,12.5,-4.28,-9.12,5.1
431,1739,150.6626,-34.0250217,8.2,2.7,-0.07,2.9,22.2,12.7,-4.18,-9.2,5.45
433,1745,150.662615,-34.0249633,3,17.7,3.18,1.5,13.5,-0.2,-9.39,,10.35
434,1752,150.662635,-34.0248783,1.4,17.7,3.91,0.7,13.6,-1.8,-9.39,,9.55
435,1759,150.6626483,-34.0248267,1.9,17.7,3.73,0.2,14.6,0.1,-9.24,,9.8
436,1766,150.662655,-34.0248017,2.7,17.7,3.62,-2.5,14.6,0.1,-8.65,,10.2
437,1772,150.6626583,-34.0247767,8.8,3.4,0.25,3.13,21.4,13.4,-3.5,-7.6,6.1
438,1776,150.6626483,-34.0247533,12.6,4.2,0.05,3.26,25.4,17.3,-3.82,-8.03,8.4
439,1780,150.662625,-34.02474,12.2,5.9,0.08,3.54,25.7,17.6,-3.99,-8.12,9.05
440,1784,150.6625733,-34.024745,12.4,5,0.03,3.57,26,17.6,-4.11,-8.37,8.7
441,1791,150.66254,-34.024785,11.4,4,-0.03,3.55,25.4,16.9,-4.12,-8.58,7.7
442,1798,150.6625317,-34.02481,7.3,2.3,0.08,3.26,20,11.3,-3.66,-7.88,4.8
443,1802,150.6625267,-34.0248383,6.4,1.8,0.17,3.02,19,10.3,-3.41,-7.45,4.1
444,1806,150.66252,-34.0248667,6.3,1.3,0.33,3.07,19.7,11.2,-3.34,-7.12,3.8
445,1810,150.6625083,-34.0249267,8,1.3,0.08,3.24,22.4,12.5,-3.89,-7.97,4.65
446,1817,150.6625033,-34.024955,8,0.5,-0.14,3.65,24.4,13.1,-4.75,-9.53,4.25
447,1821,150.6624983,-34.0249833,7.4,0.7,-0.03,3.67,23.9,12.8,-4.67,-9.43,4.05
448,1828,150.6624833,-34.02507,8.5,1,-0.17,3.51,25,13.5,-4.98,-10.18,4.75
449,1835,150.6624733,-34.025125,6.9,1.3,0.17,3.55,25.4,13.9,-5.13,-10.02,4.1
450,1842,150.6624683,-34.0251517,7.9,1.9,-0.11,3.33,24.7,13.4,-5.03,-10.26,4.9
451,1846,150.6624633,-34.02518,7.6,1.8,-0.06,3.22,24.6,13.4,-4.96,-10.16,4.7
452,1850,150.6624583,-34.0252067,8.2,1.4,-0.09,3.31,25.1,14,-5.03,-10.17,4.8
453,1854,150.6624533,-34.0252333,8,2,-0.01,3.34,24.2,12.9,-4.84,-9.73,5
454,1858,150.6624483,-34.02526,7.6,1.9,0.13,3.21,23.4,12.8,-4.49,-9.04,4.75
455,1862,150.6624417,-34.025285,7.4,2.5,0.19,3.02,22.1,12.6,-4.12,-8.58,4.95
456,1866,150.662435,-34.0253117,6.7,2.3,0.23,2.85,21.3,12,-3.96,-8.38,4.5
457,1870,150.6624283,-34.0253367,6.9,2.3,0.2,2.89,21.2,12.1,-3.93,-8.43,4.6
458,1874,150.66242,-34.0253617,7.2,2.6,0.15,2.74,21,11.9,-3.94,-8.61,4.9
459,1878,150.6624117,-34.0253883,7.1,2.6,0.09,2.83,21.3,12.2,-4.07,-8.75,4.85
460,1882,150.662405,-34.0254133,7.3,2.1,0.07,2.99,21.3,12,-4.1,-8.63,4.7
461,1886,150.6624,-34.02544,7.2,2,0.08,3.05,21.3,11.9,-4.12,-8.59,4.6
462,1890,150.662395,-34.025465,6.9,2.6,0.13,3.19,21.1,11.6,-4.07,-8.36,4.75
463,1894,150.66239,-34.0254917,7.3,2.2,0.14,3.19,21.2,11.8,-3.96,-8.16,4.75
464,1898,150.6623833,-34.0255167,7.7,2.2,0.16,3.13,21.3,12.1,-3.86,-8.05,4.95
465,1902,150.6623783,-34.0255433,7.4,3.1,0.19,3,20.9,12.3,-3.74,-7.96,5.25
466,1906,150.6623717,-34.02557,7.7,3.3,0.15,2.88,20.3,12.1,-3.72,-8.1,5.5
467,1910,150.6623667,-34.0255967,6.7,2.9,0.2,2.82,19.8,11.8,-3.68,-8.01,4.8
468,1914,150.6623617,-34.0256217,6.4,2.7,0.3,2.75,19.5,11.2,-3.58,-7.79,4.55
469,1918,150.6623567,-34.02565,6.3,3.2,0.35,2.63,18.7,11.2,-3.38,-7.5,4.75
470,1922,150.6623517,-34.0256767,6.3,3.5,0.36,2.44,17.9,11,-3.15,-7.16,4.9
471,1926,150.6623467,-34.0257033,6.9,3.5,0.42,2.31,17.5,10.9,-3.03,-6.98,5.2
472,1930,150.66234,-34.0257283,6.9,3.9,0.47,2.27,17.2,10.8,-2.9,-6.68,5.4
473,1934,150.662335,-34.0257533,6.4,4.4,0.58,2.31,16.7,10.3,-2.73,-6.2,5.4
474,1938,150.66233,-34.0257783,7.2,5.3,0.64,2.27,16.1,10.7,-2.55,-5.82,6.25
476,1944,150.66232,-34.0258267,6,17.9,2.13,-3.2,11.1,3.2,-5.52,,11.95
477,1950,150.662315,-34.02585,7.6,5.9,0.68,2.41,15.1,10.5,-2.44,-5.13,6.75
478,1954,150.6623117,-34.025875,6.8,6.2,0.73,2.46,14.3,10.2,-2.38,-5.01,6.5
479,1958,150.6623067,-34.0259,6,5.8,0.8,2.56,13.7,9.2,-2.35,-4.85,5.9
480,1962,150.6623017,-34.025925,5.8,5.1,0.8,2.56,13.1,8.5,-2.28,-4.72,5.45
481,1966,150.6622983,-34.0259517,5.5,5.2,0.72,2.55,12.8,8.3,-2.24,-4.68,5.35
482,1970,150.6622917,-34.0260033,5.9,4.6,0.61,2.48,12.5,8.3,-2.18,-4.65,5.25
483,1977,150.6622817,-34.0260567,-17.5,1,0.36,2.06,11,6.3,-1.71,-4.48,-8.25
484,1984,150.6622767,-34.0260817,4.7,4,0.6,2.28,11.5,7.3,-2.1,-4.85,4.35
485,1988,150.6622717,-34.0261083,4,3.4,0.57,2.24,11.2,6.4,-2.1,-4.9,3.7
486,1992,150.662265,-34.026135,4.2,2.9,0.54,2.22,11.5,6.6,-2.13,-5.06,3.55
487,1996,150.66226,-34.0261617,3.8,2.3,0.55,2.24,12.1,7.1,-2.21,-5.19,3.05
488,2000,150.662255,-34.0261867,3.7,2,0.56,2.3,12.5,7.1,-2.26,-5.23,2.85
489,2004,150.66225,-34.0262133,3.5,1.5,0.56,2.36,13,7.3,-2.41,-5.41,2.5
490,2008,150.6622433,-34.0262383,3.7,1.9,0.57,2.58,14.3,7.1,-2.62,-5.52,2.8
491,2012,150.6622383,-34.0262633,3.4,1.8,0.59,2.82,15.3,7.7,-2.85,-5.65,2.6
492,2016,150.6622333,-34.02629,4,1.5,0.6,3.04,15.7,8.2,-2.97,-5.67,2.75
493,2020,150.6622283,-34.026315,3.8,1.9,0.64,3.04,15.9,8,-3.01,-5.71,2.85
494,2024,150.6622233,-34.0263383,3.4,2,0.67,3.09,16,8.5,-3.04,-5.76,2.7
495,2028,150.6622117,-34.026355,3.3,1.6,0.71,3.09,15.6,7.8,-3.04,-5.78,2.45
496,2032,150.6621967,-34.0263667,2.9,1.3,0.81,3.21,15.6,7.6,-3.1,-5.81,2.1
497,2036,150.662175,-34.0263717,3,1.2,0.65,3.15,15.1,6.6,-3.12,-5.81,2.1
498,2040,150.662155,-34.0263683,2.9,1.1,0.68,3.19,14.5,6,-3.08,-5.77,2
499,2044,150.6621383,-34.026355,3.1,1.2,0.67,3.2,14.1,6.1,-3.01,-5.67,2.15
500,2048,150.6621317,-34.0263367,3.6,1.6,0.6,3.19,14.1,6.3,-3,-5.68,2.6
501,2052,150.6621317,-34.026315,3.3,1.4,0.63,3.14,13.9,5.9,-2.96,-5.65,2.35
502,2056,150.6621383,-34.0262917,3.3,0.9,0.58,3.11,14.2,6.3,-3.05,-5.77,2.1
503,2060,150.662145,-34.0262683,3.3,1.3,0.6,3.07,15.2,7.1,-3.08,-5.93,2.3
504,2064,150.6621517,-34.0262433,3.7,1.7,0.65,3.13,15.9,8.1,-3.11,-5.93,2.7
505,2068,150.6621583,-34.0262183,4.1,1.6,0.65,3.05,16.5,8.3,-3.07,-5.92,2.85
506,2072,150.6621667,-34.026195,4.1,1.9,0.58,2.96,16.3,9,-3.02,-5.86,3
507,2076,150.6621733,-34.02617,4.3,1.5,0.55,2.91,15.9,8.2,-2.95,-5.8,2.9
508,2080,150.66218,-34.026145,4.4,1.5,0.48,2.86,15.3,7.5,-2.88,-5.76,2.95
509,2084,150.6621867,-34.0261217,4.3,1.4,0.48,2.81,14.7,7.2,-2.82,-5.74,2.85
510,2088,150.6621933,-34.0260967,3.8,1.3,0.53,2.76,14.2,7.4,-2.67,-5.6,2.55
511,2092,150.6622,-34.0260717,3.6,1.6,0.54,2.61,13.8,7.3,-2.55,-5.51,2.6
512,2096,150.6622067,-34.0260483,4,2.1,0.53,2.39,12.7,7,-2.29,-5.25,3.05
513,2100,150.6622133,-34.0260233,4.1,2.8,0.54,2.13,11.8,7.2,-2.11,-5.14,3.45
514,2104,150.66222,-34.0259983,4.4,2.9,0.59,2.13,11.8,7.2,-2.1,-5.03,3.65
