,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,1.5mHCPcon
58,238,150.6635667,-34.0235617,6,2.8,0.61,4.64,24.2,12.9,-4.27,-7.75,4.4
59,242,150.6635583,-34.0235833,6.8,2.8,0.47,4.3,24,12.9,-4.17,-7.98,4.8
60,246,150.66355,-34.0236067,8.1,3.3,0.18,3.88,22.5,12.6,-3.95,-8.2,5.7
61,250,150.6635433,-34.0236283,8.9,3.3,-0.04,3.33,22.2,12.9,-3.87,-8.64,6.1
62,254,150.663535,-34.0236517,9.4,3.3,-0.13,3.02,21.7,12.9,-3.72,-8.83,6.35
63,258,150.6635267,-34.0236733,10.1,3.8,-0.21,2.82,22.2,14.3,-3.7,-9.01,6.95
64,262,150.66352,-34.0236967,10.8,5.4,-0.17,2.5,20.6,14.5,-3.46,-9.03,8.1
65,266,150.66351,-34.0237167,11.6,6.2,-0.2,2.3,21.2,15,-3.47,-9.1,8.9
66,270,150.6635,-34.02374,13.7,6.7,-0.4,2.33,23.2,16.6,-3.72,-9.56,10.2
67,274,150.6634883,-34.0237633,14.9,8,-0.54,2.2,23.1,17.5,-3.66,-9.75,11.45
68,278,150.66348,-34.0237867,14.7,7.9,-0.4,2.17,23.4,18.4,-3.67,-9.75,11.3
69,282,150.6634717,-34.0238117,14.1,7.8,-0.16,2.4,24.4,18,-3.69,-9.63,10.95
70,286,150.663465,-34.0238383,14.2,7.6,-0.1,2.52,24.1,18.9,-3.56,-9.23,10.9
71,290,150.6634583,-34.0238667,13.2,8.2,-0.08,2.27,21.5,16.6,-3.31,-8.95,10.7
72,294,150.66345,-34.0238967,12.3,7.7,-0.02,2.12,20.5,15.7,-3.2,-8.61,10
73,298,150.6634417,-34.0239267,10.5,6.5,0.16,2.22,18.8,14.2,-2.95,-8.03,8.5
74,302,150.6634333,-34.0239583,10.1,6.3,0.15,2.14,18.2,13.2,-2.86,-7.73,8.2
75,306,150.663425,-34.02399,10.1,5.6,0.12,2.21,18.5,13.4,-2.88,-7.76,7.85
76,310,150.6634167,-34.0240217,9.9,5.7,0.13,2.25,18.6,13.2,-2.88,-7.7,7.8
77,314,150.6634083,-34.024055,10.3,5.7,0.06,2.18,18.8,13.7,-2.92,-7.88,8
78,318,150.6634,-34.024085,10.9,5.9,-0.1,2.12,19.3,13.8,-3.05,-8.24,8.4
79,322,150.6633933,-34.0241167,11.6,5.9,-0.13,2.01,19.6,14.3,-3.08,-8.41,8.75
80,326,150.663385,-34.0241467,17,7.6,0.01,1.84,48.4,28.2,-1.51,-6.14,12.3
83,338,150.6633583,-34.024245,12,6.2,-0.27,2.05,21.5,15.4,-3.47,-9.26,9.1
84,342,150.66335,-34.02428,12.3,6.6,-0.31,2.07,22.2,16,-3.61,-9.53,9.45
85,346,150.66334,-34.0243167,13.9,7.2,-0.44,2.14,23.5,17.1,-3.83,-10.1,10.55
86,350,150.66333,-34.024355,13.4,8.1,-0.41,2,22.1,16.9,-3.66,-9.89,10.75
87,354,150.66332,-34.0243917,13.9,8.9,-0.5,1.81,21.3,16.9,-3.56,-9.91,11.4
88,358,150.66331,-34.02443,12.9,8.9,-0.39,1.78,20.3,16.6,-3.5,-9.75,10.9
89,362,150.6632983,-34.0244683,12.8,9.1,-0.35,1.99,21.3,16.6,-3.61,-9.67,10.95
90,366,150.6632883,-34.0245067,12.7,9,-0.35,2.25,22.2,16.8,-3.83,-9.82,10.85
91,370,150.6632783,-34.024545,11.9,8.5,-0.16,2.49,22.9,16.9,-3.92,-9.65,10.2
92,374,150.6632667,-34.0245833,11.8,7.8,-0.21,2.92,25.4,16.9,-4.46,-10.18,9.8
93,378,150.6632567,-34.0246233,11.2,6.9,-0.06,3.37,27.1,17,-4.87,-10.48,9.05
94,382,150.6632467,-34.0246633,10.2,7,0.1,3.68,27.3,17,-5.08,-10.45,8.6
95,386,150.663235,-34.0247033,11,5.7,-0.03,3.57,28.3,16.6,-5.1,-10.44,8.35
96,390,150.6632233,-34.024745,9.9,4.9,-0.05,3.63,26.3,14.8,-5.02,-10.04,7.4
97,394,150.663215,-34.0247867,9.1,3.5,0.06,4.14,27.1,14.4,-5.24,-9.83,6.3
98,398,150.6632083,-34.02483,7,2.2,0.22,4.34,24.9,13,-4.98,-9.12,4.6
99,402,150.6632,-34.0248717,6.2,1,0.25,4.02,23,10.7,-4.59,-8.6,3.6
100,406,150.66319,-34.024915,6.1,0.4,0.27,4.04,23.5,11.1,-4.62,-8.81,3.25
101,410,150.6631783,-34.02496,7.3,1,0.19,4.11,25.5,12.8,-4.99,-9.59,4.15
102,414,150.6631667,-34.025005,8.1,1.9,0.01,4.08,26.6,13.9,-5.4,-10.38,5
103,418,150.6631567,-34.02505,8.6,3,-0.02,4.06,26.6,13.9,-5.42,-10.44,5.8
104,422,150.6631467,-34.0250967,8.3,4,0.12,3.56,22.8,12.9,-4.5,-9.32,6.15
105,426,150.663135,-34.0251433,6.2,6.1,0.58,2.73,17.3,11.5,-3.19,-7.4,6.15
106,430,150.6631233,-34.02519,7,8.7,0.72,2.23,14.6,11.7,-2.46,-6.3,7.85
107,434,150.66311,-34.02524,8.9,10.5,0.62,1.79,13.8,12,-2.16,-6.04,9.7
108,438,150.6630967,-34.0252883,8.2,10,0.67,1.96,14.2,11.5,-2.31,-6.06,9.1
109,442,150.6630833,-34.0253383,6.4,8.2,0.67,2.28,14.3,10.5,-2.55,-6.26,7.3
110,446,150.66307,-34.0253883,7.2,9.5,0.66,1.89,13.3,10.6,-2.15,-5.96,8.35
111,450,150.6630583,-34.0254367,8.2,10.2,0.68,1.59,12.4,11.1,-1.93,-5.73,9.2
112,454,150.6630467,-34.0254867,8.6,9.8,0.5,1.93,14.9,11.9,-2.57,-6.64,9.2
113,458,150.6630333,-34.025535,8.6,6.8,0.32,2.54,18.3,11.9,-3.4,-7.79,7.7
114,462,150.66302,-34.0255833,7,5.9,0.47,2.97,19.2,11.5,-3.63,-7.56,6.45
115,466,150.6630067,-34.0256333,7,5.8,0.53,3.04,18.5,11.3,-3.47,-7.06,6.4
116,470,150.6629933,-34.0256833,6.7,6.4,0.64,2.83,17.4,10.9,-3.07,-6.4,6.55
117,474,150.6629817,-34.0257317,6.7,7.5,0.79,2.79,16.5,10.7,-2.75,-5.67,7.1
118,478,150.6629683,-34.0257817,6,7.9,0.86,2.69,14.5,9.5,-2.4,-4.97,6.95
119,482,150.6629567,-34.0258317,5.4,8.2,0.9,2.38,12.3,7.9,-1.99,-4.5,6.8
120,486,150.662945,-34.0258817,5.5,7.6,0.82,2.28,11.8,8,-1.87,-4.49,6.55
121,490,150.6629333,-34.0259317,5.6,7.1,0.78,2.19,11.6,8.1,-1.84,-4.42,6.35
122,494,150.66292,-34.02598,5.7,6.7,0.64,2.01,11.3,7.6,-1.83,-4.66,6.2
123,498,150.6629083,-34.02603,4.8,5.3,0.66,2.21,11.8,7.3,-1.99,-4.79,5.05
124,502,150.662895,-34.0260783,4,4.2,0.71,2.49,11.8,6.8,-2.09,-4.65,4.1
