ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64
0,2.24,2.779999,3.24,3.79,4.28,4.62,4.83,5.03,5.15,5.13,5.09,5.170001,5.15,5.1,5.02,4.99,4.85,4.65,4.26,3.88,3.400001,2.92,2.45,1.94,1.38,1.04,0.52,-0.04000001,-0.6400001,-1.24,-1.78,-2.359999,-2.86,-3.27,-3.7,-3.99,-4.210001,-4.38,-4.62,-4.809999,-4.97,-5.05,-5.19,-5.28,-5.37,-5.3,-5.15,-4.92,-4.68,-4.32,-4.02,-3.45,-3.02,-2.61,-2.17,-1.77,-1.3,-0.7699999,-0.2,0.18,0.6199999,0.92,1.3,1.69
1,1.24,1.74,2.22,2.76,3.26,3.59,3.96,4.32,4.54,4.69,4.9,4.97,5.14,5.26,5.24,5.23,5.16,4.920001,4.68,4.48,4.21,3.920001,3.66,3.3,2.88,2.4,1.73,1.25,0.6,0.07,-0.46,-0.99,-1.52,-1.97,-2.52,-2.92,-3.27,-3.7,-4.14,-4.42,-4.71,-4.73,-4.849999,-5.12,-5.29,-5.38,-5.34,-5.34,-5.25,-5.129999,-4.79,-4.43,-4.11,-3.6,-3.1,-2.72,-2.22,-1.81,-1.44,-1.02,-0.63,-0.15,0.28,0.74
2,1.09,1.58,2.02,2.44,2.87,3.43,3.84,4.27,4.53,4.73,4.95,5.25,5.31,5.48,5.62,5.7,5.39,5.11,4.67,4.32,3.85,3.44,3.099999,2.87,2.67,2.36,1.96,1.48,0.91,0.4,-0.27,-0.92,-1.45,-1.93,-2.31,-2.7,-3.13,-3.52,-3.96,-4.4,-4.83,-5.059999,-5.239999,-5.18,-5.11,-5.09,-5.03,-4.9,-4.940001,-4.92,-4.9,-4.76,-4.48,-4.13,-3.600001,-2.99,-2.4,-1.84,-1.28,-0.8599998,-0.38,-0.04,0.32,0.63
3,1.51,2.0,2.36,2.76,3.07,3.46,3.66,4.02,4.33,4.69,4.95,5.21,5.32,5.38,5.3,5.43,5.33,5.14,4.87,4.45,4.11,3.7,3.33,2.9,2.49,1.91,1.48,1.0,0.61,0.1,-0.29,-0.7599999,-1.12,-1.74,-2.21,-2.74,-3.26,-3.84,-4.3,-4.66,-4.939999,-5.06,-4.97,-4.95,-4.840001,-4.81,-4.96,-5.2,-5.34,-5.29,-5.05,-4.76,-4.33,-3.78,-3.15,-2.64,-2.19,-1.84,-1.5,-1.12,-0.6900001,-0.1300001,0.34,0.98
4,1.42,1.83,2.23,2.61,2.92,3.33,3.82,4.29,4.67,5.09,5.37,5.579999,5.6,5.46,5.21,4.81,4.59,4.41,4.22,4.28,4.26,4.18,4.01,3.610001,2.99,2.27,1.51,0.8099999,0.21,-0.38,-0.7400001,-1.08,-1.41,-1.87,-2.39,-2.840001,-3.37,-3.820001,-4.24,-4.5,-4.6,-4.73,-4.88,-5.070001,-5.2,-5.36,-5.48,-5.53,-5.53,-5.24,-4.89,-4.4,-3.92,-3.39,-2.96,-2.59,-2.18,-1.85,-1.34,-0.88,-0.4,0.01,0.51,0.93
5,1.47,2.02,2.43,2.78,3.04,3.33,3.62,3.98,4.37,4.759999,5.11,5.51,5.549999,5.719999,5.63,5.38,5.16,4.85,4.55,4.39,4.2,4.0,3.72,3.38,2.9,2.31,1.7,0.95,0.44,-0.12,-0.57,-1.0,-1.42,-1.83,-2.13,-2.7,-3.25,-3.75,-4.2,-4.619999,-4.94,-4.98,-5.050001,-4.950001,-5.04,-5.12,-5.22,-5.14,-5.15,-5.059999,-4.849999,-4.49,-4.04,-3.62,-3.29,-2.87,-2.43,-2.02,-1.65,-1.49,-0.94,-0.35,0.32,0.8699999
6,0.93,1.58,2.32,2.99,3.45,3.83,4.01,4.11,4.23,4.42,4.690001,5.03,5.279999,5.42,5.510001,5.36,5.070001,4.73,4.39,4.08,4.03,3.93,3.75,3.69,3.41,2.81,2.11,1.17,0.22,-0.6499999,-1.31,-1.72,-1.94,-2.07,-2.18,-2.41,-2.67,-2.94,-3.51,-4.21,-4.860001,-5.2,-5.61,-5.6,-5.58,-5.32,-5.04,-4.91,-4.74,-4.61,-4.58,-4.400001,-4.16,-3.91,-3.51,-2.9,-2.17,-1.63,-1.1,-0.8700001,-0.57,-0.38,-0.12,0.34
7,0.9899999,1.37,1.69,2.24,2.79,3.42,4.03,4.56,4.96,5.19,5.32,5.33,5.23,5.05,5.070001,5.130001,5.14,5.03,4.849999,4.64,4.34,3.98,3.61,3.11,2.72,2.18,1.67,1.11,0.64,0.22,-0.32,-0.8999999,-1.54,-2.2,-2.73,-3.26,-3.64,-3.88,-4.04,-4.13,-4.37,-4.52,-4.77,-4.97,-5.14,-5.26,-5.26,-5.25,-5.11,-4.92,-4.73,-4.490001,-4.13,-3.82,-3.460001,-2.95,-2.48,-1.83,-1.25,-0.73,-0.23,0.13,0.44,0.7
8,1.1,1.52,2.02,2.53,3.1,3.52,4.08,4.45,4.88,5.11,5.22,5.23,5.210001,5.19,5.189999,5.24,5.2,5.09,4.909999,4.64,4.2,3.73,3.25,2.8,2.4,2.03,1.72,1.25,0.7799999,0.2,-0.34,-1.08,-1.74,-2.41,-2.91,-3.19,-3.41,-3.6,-3.820001,-4.09,-4.33,-4.55,-4.78,-5.03,-5.23,-5.36,-5.36,-5.289999,-5.17,-4.89,-4.570001,-4.280001,-4.0,-3.67,-3.25,-2.83,-2.39,-1.94,-1.49,-1.08,-0.63,-0.15,0.3,0.72
9,1.46,1.79,2.08,2.58,3.01,3.41,3.82,4.14,4.420001,4.75,5.06,5.219999,5.4,5.44,5.56,5.479999,5.27,5.0,4.74,4.4,4.08,3.69,3.27,3.03,2.7,2.29,1.83,1.4,0.76,0.26,-0.37,-1.03,-1.69,-2.18,-2.73,-3.08,-3.49,-3.69,-3.900001,-4.16,-4.55,-4.77,-5.1,-5.25,-5.38,-5.44,-5.26,-5.18,-4.95,-4.78,-4.6,-4.47,-4.17,-3.9,-3.57,-3.07,-2.63,-2.12,-1.36,-0.86,-0.43,0.08999997,0.5599999,1.16
10,1.13,1.67,2.06,2.5,3.01,3.48,3.87,4.28,4.59,4.87,5.079999,5.29,5.309999,5.32,5.36,5.29,5.2,5.02,4.82,4.56,4.2,3.93,3.48,2.95,2.49,2.0,1.51,1.09,0.6299999,0.2,-0.38,-0.9400001,-1.51,-2.08,-2.69,-3.2,-3.52,-3.78,-4.07,-4.22,-4.48,-4.53,-4.67,-4.9,-5.029999,-5.189999,-5.209999,-5.2,-5.0,-4.96,-4.74,-4.45,-4.110001,-3.65,-3.17,-2.8,-2.26,-1.78,-1.47,-1.06,-0.73,-0.25,0.05999999,0.63
11,1.24,1.66,2.15,2.53,2.92,3.4,3.9,4.33,4.83,5.170001,5.49,5.489999,5.409999,5.25,5.13,5.01,4.930001,4.88,4.88,4.74,4.63,4.24,3.69,3.07,2.42,1.87,1.42,1.13,0.7400001,0.44,0.12,-0.25,-0.76,-1.48,-2.27,-3.07,-3.680001,-4.3,-4.68,-4.86,-4.92,-4.88,-4.9,-4.91,-5.04,-5.09,-5.17,-5.36,-5.38,-5.219999,-5.049999,-4.69,-4.15,-3.7,-3.25,-2.84,-2.45,-2.0,-1.6,-1.18,-0.7799999,-0.25,0.24,0.73
12,1.05,1.41,1.86,2.34,2.96,3.45,4.0,4.34,4.61,4.879999,4.9,4.920001,5.0,5.09,5.16,5.28,5.32,5.229999,4.95,4.78,4.38,3.82,3.35,2.89,2.56,2.16,1.92,1.59,1.21,0.8300001,0.3100001,-0.29,-1.0,-1.72,-2.41,-3.11,-3.53,-3.97,-4.19,-4.3,-4.47,-4.62,-4.82,-5.02,-5.36,-5.5,-5.59,-5.56,-5.400001,-5.12,-4.78,-4.41,-4.07,-3.76,-3.340001,-2.95,-2.64,-2.17,-1.73,-1.1,-0.48,-0.06000001,0.37,0.6999999
13,0.94,1.55,2.14,2.81,3.33,3.72,4.190001,4.54,4.78,4.99,5.229999,5.219999,5.189999,5.079999,5.079999,5.01,4.880001,4.81,4.84,4.68,4.58,4.35,3.94,3.470001,2.9,2.23,1.51,0.9,0.49,0.01,-0.49,-0.99,-1.42,-1.83,-2.37,-2.71,-3.2,-3.720001,-4.24,-4.55,-4.86,-4.98,-4.950001,-4.99,-4.96,-5.05,-5.0,-5.07,-5.04,-5.039999,-4.78,-4.59,-4.37,-3.86,-3.44,-2.89,-2.36,-1.86,-1.39,-1.02,-0.74,-0.45,-0.08999998,0.41
14,0.9799999,1.49,2.05,2.6,3.1,3.52,3.99,4.2,4.5,4.750001,4.9,5.1,5.24,5.4,5.549999,5.65,5.660001,5.53,5.26,4.86,4.37,3.88,3.29,2.77,2.33,2.05,1.7,1.31,0.89,0.51,-0.02999999,-0.6800001,-1.24,-1.9,-2.48,-2.9,-3.37,-3.71,-4.06,-4.45,-4.74,-4.91,-5.08,-5.17,-5.219999,-5.24,-5.26,-5.16,-5.11,-4.849999,-4.69,-4.45,-4.1,-3.78,-3.49,-3.01,-2.56,-2.12,-1.68,-1.27,-0.7800001,-0.31,0.06000001,0.49
15,1.34,1.8,2.17,2.56,2.98,3.4,3.78,4.29,4.72,5.01,5.17,5.4,5.58,5.6,5.489999,5.27,5.159999,4.91,4.82,4.63,4.56,4.390001,4.1,3.64,3.11,2.56,1.92,1.2,0.52,-0.04,-0.69,-1.15,-1.66,-2.01,-2.58,-3.03,-3.49,-3.950001,-4.38,-4.76,-5.09,-5.25,-5.37,-5.4,-5.26,-5.159999,-5.16,-5.05,-4.87,-4.75,-4.6,-4.36,-4.08,-3.7,-3.46,-3.02,-2.73,-2.26,-1.79,-1.29,-0.8199999,-0.17,0.31,0.9499999
16,1.61,2.19,2.63,2.96,3.28,3.43,3.6,3.82,4.11,4.44,4.84,5.2,5.57,5.8,5.83,5.65,5.41,5.08,4.75,4.39,4.08,3.68,3.34,3.06,2.76,2.43,1.86,1.39,0.8599998,0.24,-0.42,-1.15,-1.69,-2.17,-2.62,-3.01,-3.31,-3.62,-3.96,-3.96,-4.32,-4.629999,-4.989999,-5.18,-5.4,-5.39,-5.380001,-5.280001,-4.930001,-4.68,-4.33,-4.0,-3.74,-3.61,-3.35,-3.11,-2.89,-2.57,-2.2,-1.72,-1.09,-0.51,0.21,0.8099999
17,1.1,1.8,2.39,3.03,3.46,3.88,4.08,4.3,4.420001,4.6,4.829999,4.96,5.14,5.22,5.37,5.42,5.289999,5.13,5.01,4.66,4.32,3.880001,3.450001,2.93,2.59,2.18,1.69,1.2,0.72,0.23,-0.28,-0.75,-1.4,-1.82,-2.24,-2.85,-3.43,-3.89,-4.24,-4.55,-4.76,-4.85,-4.89,-4.99,-5.09,-5.19,-5.24,-5.219999,-5.16,-5.15,-4.88,-4.559999,-4.07,-3.63,-3.14,-2.75,-2.28,-1.85,-1.68,-1.27,-0.9300001,-0.45,-0.06000001,0.6
