,Time,Lon,Lat,Reading1,Reading2,Reading3,Reading4,Reading5,Reading6,Reading7,Reading8,Anal_1_5
0,1443,150.6629317,-34.02595,5.4,8.7,0.52,1.83,11.2,7.2,-2.15,-3.05,8.3
1,1447,150.6629217,-34.025985,5.9,8.9,0.39,1.65,11.1,7.2,-2.13,-3.27,8.5
2,1451,150.6629133,-34.02602,5.7,8.4,0.36,1.7,11.7,8.0,-2.24,-3.45,8.7
3,1455,150.662905,-34.0260583,4.9,7.9,0.46,2.01,12.1,7.4,-2.39,-3.39,8.5
4,1459,150.662895,-34.026095,4.2,6.5,0.46,2.12,11.8,7.0,-2.41,-3.33,8.0
5,1463,150.6628867,-34.0261333,4.3,6.9,0.37,2.09,11.8,7.4,-2.41,-3.43,8.05
6,1467,150.6628767,-34.0261717,3.3,6.2,0.34,1.9,11.0,6.7,-2.28,-3.33,7.15
7,1471,150.6628667,-34.02621,4.2,6.1,0.34,1.94,11.1,6.8,-2.25,-3.29,7.65
8,1475,150.6628583,-34.02625,4.6,6.2,0.36,1.91,11.3,6.8,-2.22,-3.33,7.95
9,1479,150.66285,-34.0262883,4.7,6.6,0.32,1.82,10.9,7.1,-2.16,-3.34,7.8
10,1483,150.6628417,-34.0263267,5.0,6.2,0.25,1.66,11.1,6.9,-2.24,-3.61,8.05
11,1487,150.6628333,-34.0263617,5.6,6.1,0.15,1.71,12.1,8.0,-2.4,-3.91,8.85
12,1491,150.6628283,-34.0263933,6.5,6.6,0.05,1.65,12.0,8.0,-2.42,-4.03,9.25
13,1495,150.6628217,-34.0264217,6.4,6.4,0.02,1.74,12.2,7.9,-2.58,-4.26,9.3
14,1499,150.6628167,-34.0264433,6.0,6.0,0.01,1.78,12.3,7.8,-2.59,-4.36,9.15
15,1503,150.66281,-34.026465,6.1,6.1,0.05,1.75,12.4,7.9,-2.63,-4.37,9.25
16,1507,150.6628033,-34.0264867,5.6,5.7,0.03,1.78,12.0,7.4,-2.65,-4.38,8.8
17,1511,150.6627967,-34.0265083,5.6,5.2,0.0,1.75,11.9,7.2,-2.63,-4.43,8.75
18,1515,150.6627917,-34.02653,5.6,5.0,-0.03,1.73,12.1,7.0,-2.66,-4.49,8.85
19,1519,150.6627867,-34.0265517,4.7,4.6,0.05,1.77,11.7,6.7,-2.62,-4.33,8.2
20,1523,150.6627783,-34.0265717,4.7,4.1,0.03,1.85,11.5,6.3,-2.65,-4.3,8.1
21,1527,150.6627633,-34.026585,1.7,3.7,0.14,1.91,10.3,5.7,-2.55,-4.12,6.0
22,1531,150.6627433,-34.02659,4.0,4.1,0.12,1.93,11.0,6.0,-2.6,-4.18,7.5
23,1535,150.662725,-34.0265833,3.8,4.3,0.26,2.09,11.3,6.0,-2.67,-4.08,7.55
24,1539,150.662715,-34.02657,4.5,4.7,0.23,2.2,11.5,5.6,-2.71,-4.1,8.0
25,1543,150.6627133,-34.0265533,4.5,4.6,0.17,2.28,11.8,5.8,-2.79,-4.23,8.15
26,1547,150.6627167,-34.0265367,4.1,4.0,0.23,2.29,12.1,5.9,-2.77,-4.18,8.1
27,1551,150.6627217,-34.0265183,3.4,4.1,0.31,2.32,12.2,6.0,-2.83,-4.12,7.8
28,1555,150.6627267,-34.0264983,3.4,3.5,0.33,2.37,13.3,6.4,-2.93,-4.13,8.35
29,1559,150.6627317,-34.0264783,3.3,3.7,0.32,2.36,13.1,6.6,-2.9,-4.17,8.2
30,1563,150.6627367,-34.0264583,3.5,3.9,0.25,2.2,12.6,6.8,-2.86,-4.27,8.05
31,1567,150.6627417,-34.0264367,3.4,4.0,0.27,2.16,12.7,7.1,-2.83,-4.24,8.05
32,1571,150.6627467,-34.0264133,4.6,4.4,0.18,2.13,13.4,7.7,-2.88,-4.38,9.0
33,1575,150.6627533,-34.0263917,3.9,4.5,0.24,2.15,13.1,7.2,-2.86,-4.35,8.5
34,1579,150.6627583,-34.02637,4.2,4.5,0.32,2.23,13.4,7.1,-2.87,-4.3,8.8
35,1583,150.6627633,-34.0263483,4.0,4.9,0.37,2.21,13.1,7.4,-2.82,-4.15,8.55
36,1587,150.6627683,-34.0263267,4.0,4.8,0.33,2.13,12.3,7.0,-2.68,-3.99,8.15
37,1591,150.662775,-34.0263067,4.4,5.2,0.26,2.05,12.0,6.9,-2.62,-3.99,8.2
38,1595,150.66278,-34.026285,4.4,5.2,0.26,2.03,11.7,7.1,-2.56,-3.93,8.05
39,1599,150.6627867,-34.0262617,4.0,5.2,0.28,1.89,11.2,7.0,-2.42,-3.8,7.6
40,1603,150.6627917,-34.02624,4.2,5.8,0.28,1.85,10.9,7.0,-2.31,-3.6,7.55
41,1607,150.6627967,-34.0262183,4.1,5.2,0.29,1.83,10.8,6.4,-2.27,-3.52,7.45
42,1611,150.6628033,-34.0261967,4.0,5.1,0.31,1.87,10.7,6.3,-2.26,-3.42,7.35
43,1615,150.6628083,-34.026175,3.8,5.8,0.33,1.9,10.7,6.1,-2.24,-3.33,7.25
44,1619,150.6628133,-34.0261517,3.9,5.3,0.33,1.95,10.4,6.1,-2.23,-3.25,7.15
45,1623,150.6628183,-34.0261283,4.1,5.6,0.34,1.95,10.3,6.0,-2.23,-3.26,7.2
46,1627,150.662825,-34.0261067,3.9,5.5,0.35,1.96,10.5,6.1,-2.23,-3.21,7.2
47,1631,150.6628317,-34.0260833,4.3,5.9,0.36,1.97,10.8,6.6,-2.28,-3.25,7.55
48,1635,150.6628383,-34.0260617,4.7,6.5,0.37,2.1,11.8,7.0,-2.43,-3.35,8.25
49,1639,150.662845,-34.0260383,4.6,6.5,0.42,2.14,11.8,6.8,-2.41,-3.26,8.2
50,1643,150.66285,-34.0260167,4.9,6.5,0.42,2.17,11.9,7.2,-2.44,-3.29,8.4
51,1647,150.6628583,-34.025995,4.6,6.7,0.45,2.23,12.3,7.4,-2.5,-3.33,8.45
52,1651,150.662865,-34.025975,4.7,6.8,0.43,2.27,12.6,7.3,-2.57,-3.38,8.65
53,1655,150.6628683,-34.025955,4.7,6.6,0.46,2.31,12.6,7.4,-2.56,-3.39,8.65
54,1659,150.6628633,-34.0259367,4.7,6.8,0.48,2.22,12.3,7.3,-2.49,-3.36,8.5
55,1663,150.66285,-34.0259233,4.6,7.3,0.49,2.19,12.1,7.8,-2.5,-3.37,8.35
56,1667,150.66283,-34.0259183,5.2,7.4,0.43,2.18,12.1,7.4,-2.48,-3.42,8.65
57,1671,150.66281,-34.02592,4.7,7.6,0.53,2.2,11.9,7.4,-2.43,-3.33,8.3
58,1675,150.6627933,-34.02593,5.1,8.0,0.55,2.16,12.2,7.3,-2.44,-3.3,8.65
59,1679,150.662785,-34.025945,5.6,8.6,0.43,2.1,12.2,7.8,-2.45,-3.41,8.9
60,1683,150.66278,-34.0259633,4.8,7.9,0.48,2.1,12.9,7.5,-2.42,-3.35,8.85
61,1687,150.6627767,-34.0259817,5.2,7.3,0.44,2.12,12.4,7.4,-2.46,-3.41,8.8
62,1691,150.6627733,-34.026,5.1,7.3,0.41,2.14,12.5,7.9,-2.5,-3.45,8.8
63,1695,150.66277,-34.0260183,4.9,7.0,0.42,2.19,12.5,7.7,-2.47,-3.41,8.7
64,1699,150.6627667,-34.0260367,4.2,6.8,0.45,2.16,12.6,7.5,-2.42,-3.28,8.4
65,1703,150.6627633,-34.026055,4.5,6.8,0.45,2.16,12.3,7.5,-2.43,-3.3,8.4
66,1707,150.6627617,-34.026075,4.6,6.8,0.44,2.2,12.3,7.4,-2.43,-3.29,8.45
67,1711,150.66276,-34.0260933,4.3,6.7,0.46,2.21,11.9,7.1,-2.41,-3.22,8.1
68,1715,150.6627567,-34.0261133,4.5,6.5,0.42,2.23,11.7,6.7,-2.4,-3.26,8.1
69,1719,150.6627517,-34.0261317,4.2,6.4,0.43,2.16,11.5,6.7,-2.41,-3.3,7.85
70,1723,150.6627483,-34.0261517,4.2,5.8,0.43,2.26,11.3,6.6,-2.42,-3.19,7.75
71,1727,150.6627433,-34.0261717,4.4,6.1,0.39,2.16,10.8,6.3,-2.32,-3.2,7.6
72,1731,150.66274,-34.0261917,4.2,5.5,0.35,2.0,10.3,5.8,-2.22,-3.16,7.25
73,1735,150.6627367,-34.0262117,4.1,5.4,0.34,1.96,9.9,5.8,-2.16,-3.16,7.0
74,1739,150.6627333,-34.0262317,3.6,5.5,0.35,1.88,9.7,5.7,-2.15,-3.12,6.65
75,1743,150.66273,-34.0262517,3.8,5.3,0.36,1.91,9.9,5.7,-2.17,-3.12,6.85
76,1747,150.6627267,-34.0262733,3.2,5.4,0.35,1.95,10.2,6.0,-2.2,-3.2,6.7
77,1751,150.6627233,-34.0262933,3.4,5.1,0.38,1.98,10.2,5.8,-2.22,-3.21,6.8
78,1755,150.6627183,-34.026315,3.4,5.7,0.35,1.94,10.5,6.2,-2.25,-3.28,6.95
79,1759,150.6627133,-34.026335,4.0,5.3,0.28,1.86,10.8,6.5,-2.29,-3.46,7.4
80,1763,150.6627083,-34.0263567,3.5,4.9,0.27,1.95,11.1,6.1,-2.42,-3.62,7.3
81,1767,150.662705,-34.0263783,3.6,4.7,0.32,2.01,11.4,6.1,-2.46,-3.66,7.5
82,1771,150.6627,-34.0264,3.8,5.1,0.34,2.1,11.8,6.8,-2.56,-3.77,7.8
83,1775,150.662695,-34.02642,4.0,4.4,0.31,2.1,12.0,6.5,-2.62,-3.85,8.0
84,1779,150.66269,-34.0264417,4.0,4.4,0.29,2.13,12.2,6.6,-2.73,-4.05,8.1
85,1783,150.662685,-34.0264633,3.8,4.3,0.29,2.18,12.8,6.9,-2.87,-4.21,8.3
86,1787,150.66268,-34.0264833,3.7,3.8,0.24,2.22,12.3,6.2,-2.88,-4.23,8.0
87,1791,150.6626767,-34.0265033,4.0,4.4,0.15,2.13,12.6,6.9,-2.88,-4.3,8.3
88,1795,150.6626717,-34.0265233,3.8,3.8,0.21,2.13,12.2,6.7,-2.84,-4.24,8.0
89,1799,150.6626667,-34.0265417,3.5,3.7,0.24,2.26,13.0,6.6,-2.96,-4.24,8.25
90,1803,150.662655,-34.026555,3.0,3.6,0.32,2.39,12.8,6.3,-2.93,-4.14,7.9
91,1807,150.6626367,-34.0265583,3.2,3.9,0.27,2.38,12.9,6.3,-2.95,-4.17,8.05
92,1811,150.6626217,-34.0265533,3.0,3.5,0.4,2.49,12.5,5.9,-2.9,-3.99,7.75
93,1815,150.6626117,-34.02654,3.1,4.0,0.47,2.66,11.9,5.6,-2.89,-4.02,7.5
94,1819,150.6626117,-34.0265267,3.5,4.6,0.46,2.72,11.4,4.7,-2.84,-3.89,7.45
95,1823,150.6626167,-34.0265117,3.1,4.6,0.48,2.81,11.2,4.9,-2.87,-3.92,7.15
96,1827,150.6626217,-34.0264967,2.7,4.1,0.42,2.7,11.7,4.9,-2.89,-3.95,7.2
97,1831,150.6626283,-34.02648,2.4,3.4,0.43,2.57,12.2,5.4,-2.91,-3.98,7.3
98,1835,150.6626333,-34.026465,2.4,3.0,0.34,2.41,12.2,6.0,-2.89,-4.03,7.3
99,1839,150.66264,-34.0264483,2.7,3.6,0.35,2.34,12.3,5.7,-2.82,-4.03,7.5
100,1843,150.6626467,-34.0264317,2.8,3.3,0.35,2.31,12.7,6.3,-2.88,-4.05,7.75
101,1847,150.6626517,-34.026415,2.3,3.4,0.28,2.25,12.3,6.0,-2.85,-4.04,7.3
102,1851,150.6626583,-34.0263967,3.7,3.8,0.14,2.15,12.5,6.3,-2.89,-4.31,8.1
103,1855,150.662665,-34.0263767,3.4,4.0,0.33,2.29,12.8,6.3,-2.91,-4.15,8.1
104,1859,150.6626717,-34.0263567,4.0,4.1,0.28,2.31,13.4,7.1,-2.92,-4.21,8.7
105,1863,150.6626783,-34.0263367,3.8,4.4,0.31,2.23,13.0,6.8,-2.8,-4.03,8.4
106,1867,150.662685,-34.0263167,4.0,4.7,0.33,2.18,12.5,7.1,-2.69,-3.89,8.25
107,1871,150.6626917,-34.0262967,4.3,4.6,0.33,2.15,12.1,6.8,-2.55,-3.7,8.2
108,1875,150.6626967,-34.026275,4.1,4.9,0.3,2.01,11.2,6.8,-2.41,-3.56,7.65
109,1879,150.6627017,-34.0262533,3.8,5.0,0.31,1.93,10.6,6.4,-2.28,-3.41,7.2
110,1883,150.6627083,-34.0262317,3.5,5.1,0.27,1.89,10.0,6.0,-2.21,-3.3,6.75
111,1887,150.6627133,-34.0262083,4.0,5.1,0.31,1.9,10.1,6.1,-2.19,-3.26,7.05
112,1891,150.6627183,-34.0261867,3.6,5.1,0.35,1.94,10.0,5.7,-2.19,-3.17,6.8
113,1895,150.6627233,-34.0261633,3.4,5.1,0.32,1.95,9.9,5.5,-2.18,-3.17,6.65
114,1899,150.6627267,-34.02614,3.8,5.3,0.36,1.95,9.8,5.8,-2.15,-3.06,6.8
115,1903,150.6627333,-34.0261167,4.1,5.6,0.33,1.86,9.7,6.0,-2.1,-3.06,6.9
116,1907,150.6627383,-34.0260933,3.6,5.4,0.36,1.89,10.1,6.0,-2.11,-3.04,6.85
117,1911,150.6627433,-34.0260683,4.0,5.8,0.35,1.97,10.5,6.1,-2.22,-3.11,7.25
118,1915,150.66275,-34.026045,3.9,5.8,0.39,2.12,11.4,6.3,-2.35,-3.16,7.65
119,1919,150.6627567,-34.0260217,4.6,6.3,0.38,2.13,11.8,7.0,-2.32,-3.19,8.2
120,1923,150.6627617,-34.026,4.6,6.9,0.37,2.05,11.9,7.0,-2.35,-3.25,8.25
121,1927,150.6627683,-34.0259783,4.5,7.1,0.4,2.1,12.1,7.4,-2.39,-3.21,8.3
122,1931,150.662775,-34.0259583,4.6,6.4,0.4,2.13,12.2,7.3,-2.4,-3.27,8.4
123,1935,150.6627767,-34.02594,5.2,6.8,0.38,2.09,12.4,7.4,-2.41,-3.32,8.8
124,1939,150.6627683,-34.0259233,5.3,6.6,0.42,2.12,12.4,7.7,-2.45,-3.38,8.85
125,1943,150.6627517,-34.025915,5.1,7.2,0.41,2.22,12.8,7.4,-2.5,-3.4,8.95
126,1947,150.6627317,-34.025915,5.1,7.0,0.41,2.29,12.3,7.3,-2.48,-3.41,8.7
127,1951,150.662715,-34.025925,4.8,7.2,0.49,2.29,12.2,7.0,-2.45,-3.36,8.5
128,1955,150.6627017,-34.0259383,5.0,7.6,0.55,2.32,11.9,7.1,-2.4,-3.34,8.45
129,1959,150.6626967,-34.0259533,5.3,7.3,0.48,2.32,12.2,7.1,-2.46,-3.34,8.75
130,1963,150.6626933,-34.0259717,4.4,7.1,0.42,2.18,12.1,7.5,-2.43,-3.39,8.25
131,1967,150.66269,-34.0259883,4.8,7.2,0.42,2.1,12.2,7.7,-2.39,-3.29,8.5
132,1971,150.6626867,-34.0260067,4.9,7.6,0.4,2.07,12.3,7.6,-2.37,-3.27,8.6
133,1975,150.6626833,-34.026025,4.5,6.6,0.37,2.08,12.5,7.2,-2.42,-3.37,8.5
134,1979,150.66268,-34.0260433,4.4,6.5,0.38,2.13,12.3,7.3,-2.42,-3.36,8.35
135,1983,150.662675,-34.0260617,4.6,6.8,0.37,2.16,12.1,7.0,-2.4,-3.34,8.35
136,1987,150.6626717,-34.02608,4.3,6.3,0.39,2.15,11.6,6.8,-2.33,-3.24,7.95
137,1991,150.6626683,-34.0261,4.3,6.4,0.38,2.02,11.2,6.9,-2.27,-3.18,7.75
138,1995,150.6626633,-34.02612,4.7,6.1,0.36,2.06,11.2,6.7,-2.27,-3.15,7.95
139,1999,150.66266,-34.02614,4.8,6.1,0.39,2.14,10.9,6.4,-2.32,-3.08,7.85
140,2003,150.6626567,-34.02616,4.3,6.0,0.39,2.13,10.0,6.1,-2.23,-3.04,7.15
141,2007,150.6626517,-34.02618,4.0,6.1,0.38,2.07,9.8,5.8,-2.2,-3.04,6.9
142,2011,150.6626467,-34.0262017,4.0,5.6,0.37,2.03,9.6,5.3,-2.17,-3.09,6.8
143,2015,150.6626417,-34.0262233,3.7,5.7,0.39,2.0,9.6,5.9,-2.16,-3.08,6.65
144,2019,150.6626383,-34.0262433,3.4,5.2,0.41,2.03,9.6,5.3,-2.16,-3.01,6.5
145,2023,150.6626317,-34.026265,3.5,5.5,0.43,2.02,9.5,5.4,-2.17,-3.02,6.5
146,2027,150.6626267,-34.0262867,3.0,5.4,0.47,2.1,9.9,5.4,-2.23,-3.03,6.45
147,2031,150.66262,-34.0263083,3.0,5.1,0.45,2.11,10.1,5.7,-2.2,-3.01,6.55
148,2035,150.662615,-34.02633,3.3,5.1,0.42,2.05,10.0,5.7,-2.21,-3.1,6.65
149,2039,150.6626083,-34.0263517,3.1,5.1,0.42,2.05,10.4,6.3,-2.28,-3.25,6.75
150,2043,150.6626033,-34.0263733,3.5,5.1,0.4,2.09,11.2,6.3,-2.36,-3.38,7.35
151,2047,150.6625983,-34.026395,3.7,5.1,0.35,2.11,11.8,6.3,-2.51,-3.58,7.75
152,2051,150.6625917,-34.0264183,3.8,5.2,0.38,2.24,12.7,6.8,-2.74,-3.84,8.25
153,2055,150.6625867,-34.0264383,2.1,4.1,0.24,2.31,13.3,6.8,-2.93,-4.1,7.7
154,2059,150.66258,-34.02646,3.6,4.5,0.31,2.41,13.5,6.7,-3.0,-4.14,8.55
155,2063,150.662575,-34.0264817,3.6,3.5,0.31,2.38,12.8,6.0,-2.93,-4.07,8.2
156,2067,150.6625683,-34.0265017,3.1,3.9,0.27,2.28,12.1,5.8,-2.85,-4.07,7.6
157,2071,150.6625617,-34.0265217,2.7,3.5,0.34,2.33,12.3,5.9,-2.85,-3.95,7.5
158,2075,150.6625533,-34.02654,2.8,3.3,0.34,2.37,12.2,5.6,-2.87,-3.99,7.5
159,2079,150.662535,-34.0265483,2.4,3.3,0.37,2.38,12.0,5.3,-2.88,-4.0,7.2
160,2083,150.662515,-34.0265483,2.1,3.5,0.48,2.46,12.5,5.2,-2.81,-3.75,7.3
161,2087,150.6624983,-34.02654,2.6,3.7,0.4,2.46,11.5,5.3,-2.81,-3.83,7.05
162,2091,150.6624917,-34.026525,2.8,4.0,0.48,2.58,11.2,4.6,-2.8,-3.7,7.0
163,2095,150.662495,-34.0265067,2.8,4.0,0.5,2.67,11.1,5.0,-2.78,-3.73,6.95
164,2099,150.6625,-34.02649,2.7,4.3,0.46,2.6,11.7,5.5,-2.85,-3.77,7.2
165,2103,150.6625067,-34.0264717,2.7,3.6,0.43,2.55,12.1,5.7,-2.87,-3.84,7.4
166,2107,150.6625117,-34.0264517,2.4,3.4,0.47,2.47,12.3,5.8,-2.86,-3.84,7.35
167,2111,150.6625167,-34.0264317,2.7,3.6,0.36,2.39,12.3,5.6,-2.9,-3.92,7.5
168,2115,150.6625217,-34.02641,2.6,3.7,0.35,2.41,12.5,5.7,-2.89,-3.88,7.55
169,2119,150.6625283,-34.0263867,2.8,3.9,0.39,2.44,12.6,6.4,-2.88,-3.89,7.7
