Latitude,Longitude,Accuracy,Reading,Time 
-34.02222392,150.66382146,10.0,0.0585,Wed Nov 01 14:32:23 AEDT 2017
-34.02221979,150.66380569,10.0,0.0614,Wed Nov 01 14:32:25 AEDT 2017
-34.02221601,150.66379754,9.0,0.0603,Wed Nov 01 14:32:27 AEDT 2017
-34.02220711,150.66378027,10.0,0.0557,Wed Nov 01 14:32:30 AEDT 2017
-34.02220289,150.66376222,10.0,0.0539,Wed Nov 01 14:32:32 AEDT 2017
-34.02219762,150.66374391,10.0,0.0634,Wed Nov 01 14:32:34 AEDT 2017
-34.02219414,150.66371475,9.0,0.0646,Wed Nov 01 14:32:37 AEDT 2017
-34.02218814,150.6636846,9.0,0.0627,Wed Nov 01 14:32:39 AEDT 2017
-34.02217809,150.66365014,9.0,0.06,Wed Nov 01 14:32:41 AEDT 2017
-34.02216566,150.66358935,11.0,0.0577,Wed Nov 01 14:32:44 AEDT 2017
-34.0221519,150.66355283,10.0,0.0615,Wed Nov 01 14:32:46 AEDT 2017
-34.02213028,150.66351656,10.0,0.0547,Wed Nov 01 14:32:48 AEDT 2017
-34.02210601,150.66346094,10.0,0.0521,Wed Nov 01 14:32:51 AEDT 2017
-34.022095,150.66342214,10.0,0.0597,Wed Nov 01 14:32:53 AEDT 2017
-34.02208346,150.6633777,10.0,0.0506,Wed Nov 01 14:32:55 AEDT 2017
-34.02207985,150.6633167,10.0,0.0628,Wed Nov 01 14:32:58 AEDT 2017
-34.02208441,150.66327722,10.0,0.069,Wed Nov 01 14:33:00 AEDT 2017
-34.02207825,150.66323207,11.0,0.0613,Wed Nov 01 14:33:02 AEDT 2017
-34.02206487,150.66315773,10.0,0.0631,Wed Nov 01 14:33:05 AEDT 2017
-34.02206009,150.66311179,10.0,0.0641,Wed Nov 01 14:33:07 AEDT 2017
-34.02205459,150.66306953,11.0,0.0646,Wed Nov 01 14:33:09 AEDT 2017
-34.02202758,150.66299713,11.0,0.0664,Wed Nov 01 14:33:12 AEDT 2017
-34.02201609,150.66296713,10.0,0.0585,Wed Nov 01 14:33:14 AEDT 2017
-34.02201484,150.66295355,10.0,0.0635,Wed Nov 01 14:33:16 AEDT 2017
-34.02202904,150.66295024,11.0,0.0564,Wed Nov 01 14:33:19 AEDT 2017
-34.02203956,150.66299959,10.0,0.0561,Wed Nov 01 14:33:21 AEDT 2017
-34.02204076,150.66300303,9.0,0.0521,Wed Nov 01 14:33:24 AEDT 2017
-34.02204076,150.66301126,9.0,0.0539,Wed Nov 01 14:33:26 AEDT 2017
-34.02204773,150.66303399,10.0,0.0621,Wed Nov 01 14:33:28 AEDT 2017
-34.02205619,150.66309819,10.0,0.0619,Wed Nov 01 14:33:31 AEDT 2017
-34.02205524,150.66314495,11.0,0.0693,Wed Nov 01 14:33:33 AEDT 2017
-34.02205368,150.66319726,11.0,0.06620001,Wed Nov 01 14:33:35 AEDT 2017
-34.02205274,150.66327467,11.0,0.0634,Wed Nov 01 14:33:38 AEDT 2017
-34.02205984,150.6633261,12.0,0.0635,Wed Nov 01 14:33:40 AEDT 2017
-34.02208679,150.66337342,12.0,0.0569,Wed Nov 01 14:33:42 AEDT 2017
-34.02212242,150.66344534,12.0,0.0584,Wed Nov 01 14:33:45 AEDT 2017
-34.02212934,150.66349592,13.0,0.0574,Wed Nov 01 14:33:47 AEDT 2017
-34.02214658,150.66354276,13.0,0.05809999,Wed Nov 01 14:33:49 AEDT 2017
-34.0221175,150.66363251,13.0,0.0545,Wed Nov 01 14:33:52 AEDT 2017
-34.02209728,150.66368445,14.0,0.0651,Wed Nov 01 14:33:54 AEDT 2017
