,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag
62,251,150.66347,-34.022125,3.7,6.6,0.28,0.74,2.8,3.6,-0.53,-1.64
63,255,150.66345,-34.0221217,4.2,6.6,0.29,0.67,2.9,3.7,-0.52,-1.62
64,259,150.6634317,-34.0221183,3.7,6.6,0.27,0.7,2.8,3.7,-0.52,-1.62
65,263,150.6634117,-34.022115,4.2,6.6,0.26,0.66,3.1,3.9,-0.52,-1.6
66,267,150.6633917,-34.02211,3.9,6.5,0.27,0.68,3.9,4.3,-0.53,-1.65
67,271,150.6633717,-34.022105,4.8,6.0,0.28,0.72,4.0,4.8,-0.52,-1.61
68,275,150.6633517,-34.0221,4.4,6.5,0.27,0.71,3.3,3.9,-0.52,-1.63
69,279,150.6633317,-34.022095,3.7,6.6,0.29,0.71,3.0,4.0,-0.51,-1.61
70,283,150.6633117,-34.0220917,3.9,6.6,0.29,0.68,3.3,4.1,-0.52,-1.63
71,287,150.66329,-34.0220883,4.0,6.4,0.27,0.68,3.7,4.4,-0.52,-1.64
72,291,150.66327,-34.022085,4.2,6.6,0.28,0.71,3.9,4.5,-0.51,-1.6
73,295,150.6632467,-34.0220833,4.4,6.6,0.28,0.71,3.8,4.8,-0.49,-1.58
74,299,150.6632267,-34.0220817,4.3,6.5,0.29,0.66,3.9,4.2,-0.49,-1.58
75,303,150.663205,-34.02208,4.8,6.8,0.28,0.63,4.3,4.8,-0.51,-1.63
76,307,150.6631833,-34.0220767,4.5,6.7,0.29,0.68,3.9,4.6,-0.5,-1.6
77,311,150.66316,-34.0220733,4.4,6.3,0.28,0.66,3.9,4.3,-0.5,-1.6
78,315,150.6631383,-34.02207,4.7,6.4,0.29,0.66,3.5,4.6,-0.5,-1.67
79,319,150.6631167,-34.0220667,4.4,6.9,0.28,0.66,3.6,4.2,-0.5,-1.64
80,323,150.663095,-34.0220633,4.4,7.2,0.27,0.58,3.4,4.4,-0.5,-1.66
81,327,150.6630733,-34.02206,4.5,7.0,0.26,0.66,3.6,4.6,-0.52,-1.69
82,331,150.6630517,-34.022055,4.6,6.8,0.26,0.59,3.9,4.9,-0.52,-1.73
83,335,150.6630283,-34.0220517,5.0,7.1,0.24,0.6,3.6,4.5,-0.51,-1.7
84,339,150.6630067,-34.0220483,4.9,7.2,0.25,0.6,3.4,4.6,-0.49,-1.67
85,343,150.6629883,-34.0220433,5.1,7.6,0.24,0.58,3.2,4.4,-0.51,-1.73
86,347,150.6629767,-34.0220333,5.0,7.4,0.24,0.61,3.6,4.8,-0.51,-1.74
87,351,150.6629717,-34.0220217,5.2,7.8,0.25,0.65,4.0,5.5,-0.51,-1.75
88,355,150.6629733,-34.02201,5.2,8.4,0.27,0.65,3.6,5.0,-0.5,-1.81
89,359,150.6629817,-34.022,5.7,8.5,0.28,0.7,3.3,4.8,-0.47,-1.68
90,363,150.662995,-34.0219933,5.8,8.7,0.3,0.79,3.3,4.8,-0.47,-1.7
91,367,150.6630117,-34.0219933,6.2,9.1,0.32,0.85,3.5,4.8,-0.47,-1.66
92,371,150.6630283,-34.021995,6.2,9.7,0.31,0.88,3.4,4.9,-0.5,-1.72
93,375,150.6630433,-34.022,5.8,8.7,0.28,0.82,3.5,4.5,-0.5,-1.75
94,379,150.6630617,-34.022005,5.6,8.4,0.26,0.66,3.7,5.3,-0.5,-1.72
95,383,150.6630783,-34.0220083,5.8,8.2,0.24,0.6,3.9,5.5,-0.49,-1.74
96,387,150.6630983,-34.0220133,5.3,8.1,0.23,0.58,3.8,5.3,-0.49,-1.72
97,391,150.6631183,-34.0220167,5.0,8.0,0.25,0.55,3.6,5.4,-0.48,-1.71
98,395,150.6631383,-34.0220217,4.9,7.5,0.25,0.6,3.4,4.6,-0.49,-1.73
99,399,150.6631583,-34.022025,5.2,7.6,0.25,0.63,3.9,4.6,-0.5,-1.74
100,403,150.6631783,-34.0220317,4.6,6.9,0.27,0.59,3.7,4.7,-0.47,-1.66
101,407,150.6632,-34.0220367,4.5,6.9,0.27,0.6,3.6,4.5,-0.47,-1.62
102,411,150.6632217,-34.0220417,-1.3,5.9,0.38,0.66,2.6,3.5,-0.45,-1.58
103,415,150.6632433,-34.0220467,4.5,6.3,0.27,0.64,3.6,4.6,-0.47,-1.63
104,419,150.663265,-34.02205,4.3,6.9,0.26,0.65,3.3,4.4,-0.47,-1.61
105,423,150.6632883,-34.022055,4.4,6.4,0.26,0.62,3.6,4.3,-0.46,-1.55
106,427,150.66331,-34.02206,4.1,6.7,0.25,0.64,3.3,4.7,-0.47,-1.54
107,431,150.663335,-34.022065,4.5,6.6,0.25,0.64,3.5,4.0,-0.48,-1.56
108,435,150.6633583,-34.0220683,4.0,6.9,0.25,0.64,3.3,4.2,-0.48,-1.6
109,439,150.6633833,-34.0220733,4.4,6.9,0.25,0.67,3.5,4.7,-0.48,-1.63
110,443,150.6634083,-34.0220783,4.6,6.6,0.26,0.66,3.6,4.4,-0.48,-1.63
111,447,150.6634333,-34.0220833,4.2,6.2,0.26,0.67,3.5,4.6,-0.49,-1.63
112,451,150.66346,-34.0220883,4.2,6.0,0.26,0.64,3.2,4.4,-0.49,-1.57
113,455,150.663485,-34.0220933,4.3,6.6,0.27,0.67,3.4,4.6,-0.48,-1.58
114,459,150.6635117,-34.0221,4.6,5.8,0.27,0.63,3.9,4.7,-0.48,-1.56
115,463,150.6635367,-34.022105,4.1,6.4,0.27,0.69,3.2,4.3,-0.48,-1.6
116,467,150.6635633,-34.0221117,3.9,6.7,0.26,0.66,2.8,3.6,-0.51,-1.62
117,471,150.66359,-34.0221167,4.0,6.0,0.27,0.68,2.9,3.5,-0.52,-1.61
118,475,150.6636167,-34.0221233,3.8,6.3,0.27,0.69,2.9,3.9,-0.53,-1.65
119,479,150.6636433,-34.0221283,4.2,6.4,0.27,0.7,3.1,3.8,-0.55,-1.71
120,483,150.66367,-34.0221333,3.8,5.7,0.29,0.71,3.0,3.9,-0.54,-1.7
121,487,150.663695,-34.0221383,3.4,6.4,0.29,0.68,3.0,3.5,-0.54,-1.69
122,491,150.6637217,-34.022145,3.6,6.1,0.29,0.7,3.0,3.9,-0.56,-1.72
123,495,150.663745,-34.02215,3.3,5.9,0.31,0.72,3.1,3.9,-0.57,-1.72
124,499,150.663765,-34.0221583,3.4,5.8,0.31,0.73,3.2,3.5,-0.59,-1.75
125,503,150.663785,-34.0221633,3.5,5.6,0.31,0.77,3.2,3.4,-0.63,-1.78
126,507,150.6638017,-34.0221633,3.5,6.2,0.31,0.78,2.9,3.1,-0.64,-1.79
127,511,150.6638167,-34.0221583,3.3,6.3,0.28,0.77,3.2,3.6,-0.64,-1.73
128,515,150.6638267,-34.0221483,3.6,6.0,0.31,0.82,3.4,3.7,-0.65,-1.77
129,519,150.66383,-34.0221367,3.6,5.5,0.32,0.9,4.4,3.4,-0.69,-1.79
130,523,150.6638283,-34.0221233,4.3,5.0,0.28,0.95,3.9,2.9,-0.66,-1.74
131,527,150.66382,-34.0221133,4.1,6.7,0.32,0.93,3.1,3.9,-0.63,-1.76
132,531,150.6638067,-34.022105,4.2,6.6,0.33,0.93,3.2,3.5,-0.6,-1.68
133,535,150.66379,-34.0221,3.8,6.8,0.35,0.91,2.6,3.4,-0.56,-1.67
134,539,150.6637733,-34.0220967,3.7,6.6,0.32,0.83,2.5,3.1,-0.54,-1.63
135,543,150.6637567,-34.0220933,3.4,6.4,0.31,0.74,2.6,3.4,-0.53,-1.65
136,547,150.6637383,-34.02209,3.5,5.9,0.28,0.73,2.5,3.4,-0.53,-1.64
137,551,150.6637183,-34.022085,3.3,5.4,0.27,0.71,2.7,3.8,-0.55,-1.66
138,555,150.6637,-34.0220817,3.3,5.9,0.27,0.68,2.9,3.5,-0.55,-1.67
139,559,150.6636783,-34.0220783,3.4,6.2,0.27,0.66,2.6,3.2,-0.54,-1.69
140,563,150.6636583,-34.0220733,3.6,5.8,0.27,0.68,3.1,3.9,-0.56,-1.69
141,567,150.6636367,-34.0220683,1.4,5.5,0.28,0.71,3.1,3.7,-0.56,-1.65
142,571,150.6636133,-34.022065,3.3,6.0,0.28,0.67,2.8,3.9,-0.52,-1.64
143,575,150.66359,-34.02206,3.1,5.8,0.28,0.67,3.0,4.0,-0.51,-1.63
144,579,150.6635667,-34.022055,3.4,6.0,0.28,0.66,2.8,3.9,-0.51,-1.67
