Lon,Lat,ID,0-20,20-40,40-60,60-80,80-100
150.6636602,-34.02211404,C1 1,0.1338740466,0.1251132373,0.1371583102,0.1377605971,0.1835188712
150.6633521,-34.02195563,C1 2,0.1265668936,0.1444100823,0.1200631868,0.1616461692,0.179541342
150.6620655,-34.02598659,C2 1,0.03321272734,0.2105666083,0.1448222353,0.1913113544,0.1947248209
150.662528,-34.02636717,C2 2,0.1359106514,0.1251458206,0.1412924691,0.1319380285,0.132120408
150.6627567,-34.0260267,C2 3,0.1800637279,0.1942995765,0.1950927359,0.1978113947,0.2122981795
